"ID","Up_regulated"
"hsa-miR-197-3p","PALM2-AKAP2,CDK17,ANTXR2,KDR,PTGER3,HIGD1B,RAB23,AKAP13,SLCO2A1,PJA2,TRPC4,ELK3,CDC42EP3,SETD7,CDC20,CALCRL,CLIC2,SOX7,DIXDC1,TBL1X,AVPR1A,LINGO2,C16orf59,OLFML2A,LDB2,PALLD,LRCH1,AKT3,ZAK,LEPR,ADAMTSL1,PPP1R12A,KCNMA1,SNCA,CACNA1C,ENPEP,ECE2,ABCG2,TMEM200B,TEK,TRIM9,FRMD6,SVIL,KIAA1644,STAT5B,LCN6,RHOJ,ASAM,MITF"
"hsa-miR-148a-3p","SDHAF2"
"hsa-miR-21-3p","AURKA,BAK1,BUB1,MYBL2"
"hsa-miR-22-3p","MANF,FAM175A,TMEM63B,GPRASP2,C21orf34,PABPC5,C14orf28,RASSF8,CASP12"
"hsa-miR-145-3p","KCNAB3"
"hsa-miR-16-5p","SAP30L,AURKA,HN1,PKMYT1,ESPL1,FAM54A,C1orf135,FANCA,PJA2,RRM2,FOXM1,UBE2C,NCAPG,CDC20,LRRK2,APBB1,KCNJ8,CENPF,TTK,KIF2C,C16orf59,TMEM109,LRCH1,AKT3,BUB1,CBX7,ECE2,SVIL,STAT5B,PBK,MYBL2"
"hsa-miR-29c-5p","DMRTC1"
"hsa-miR-3653","OR2L3"
"hsa-miR-26b-3p","HOXC8"
"hsa-miR-34a-5p","HOXB13"
"hsa-miR-423-3p","ANP32E"
"hsa-miR-127-5p","VWC2"
"hsa-miR-32-5p","CXorf36,PKMYT1,NEXN,ANTXR2,FANCA,TIMP2,PJA2,RRM2,TIMP3,DMD,SPARCL1,MICAL2,ARHGAP6,TACC1,MYCT1,PPP1R12B,SETD7,CLIC4,ITPR1,LMOD1,CCDC80,CDC20,ST5,LRRK2,PCDHGA4,MID2,SH3BGRL,CLIC2,SOX7,FOXN3,DIXDC1,PMP22,DSTN,FERMT2,C16orf59,SYNPO2,LRCH1,FGF2,AKT3,ZAK,PGM5,ZEB1,RERG,TMEM55A,ADAMTSL1,GNAL,PPP1R12A,KCNMA1,SLC24A3,CACNA1C,KANK2,ECE2,ZCCHC24,FRMD6,SVIL,STAT5B,TNS1,MYOCD,SGCA,ABCC9,RHOJ,ASAM,MYBL2,SORBS1,MITF,RECK"
"hsa-miR-671-5p","ARHGEF6,GLT8D2,MFAP4,NXPH3,FOXN3,C16orf59,C7orf58,LAYN,CBX7,CYBRD1,CD302"
"hsa-miR-200a-5p","C10orf35,TIMM17A,HAND2,TSHZ3,PABPC5,C16orf59,RAMP1,TMEM200B,KIAA1644"
"hsa-miR-29a-3p","FFAR1"
"hsa-miR-96-5p","TMEM206,PRAME"
"hsa-miR-92a-3p","PALM2-AKAP2,CXorf36,FLT4,PKMYT1,ANTXR2,KDR,RAB23,AKAP13,SLCO2A1,TIMP2,KLHL38,SNRK,SPARCL1,FLI1,ELK3,MYCT1,SETD7,NCAPG,CALCRL,CLIC2,SOX7,DIXDC1,KLHL13,AVPR1A,C16orf59,TIE1,PALLD,LRCH1,FGF2,AKT3,ZAK,ZEB1,PRDM8,GAB1,KCNMA1,NPY1R,CACNA1C,ENPEP,ABCG2,TMEM200B,PKD2,SVIL,KIAA1644,STAT5B,PBK,RHOJ,ASAM,MST4,MITF,MBNL1"
"hsa-miR-598","MAP4K2"
"hsa-miR-195-5p","OXER1,CPZ,WNT4"
"hsa-miR-25-3p","RSPO4"
"hsa-miR-15b-3p","CXorf36,FLT4,SLCO2A1,TIMP2,GIMAP6,SNRK,GPM6A,SPARCL1,FLI1,ERVFRDE1,GIMAP8,MYCT1,SETD7,CALCRL,PDE8B,CLIC2,ABCB1,KLHL13,STARD8,C16orf59,TIE1,LDB2,ERG,LRCH1,FGF2,CLEC14A,AKT3,ZEB1,GPR116,PRDM8,GAB1,CACNA1C,EMCN,ABCG2,S1PR1,RHOJ,MITF,ARHGAP31,ZNF366"
"hsa-miR-200a-3p","MEIS3,FOXM1,RGMA,CNRIP1,OSR2,C1orf70,SLC24A3,RHOJ,GPR124"
"hsa-miR-199b-3p","KCNS2,FOXL2"
"hsa-miR-93-5p","AURKA,HN1,PKMYT1,ANTXR2,ESPL1,FAM54A,C1orf135,FANCA,TIMP2,RRM2,TIMM17A,KLHL38,MEIS3,FOXM1,KCTD12,NCAPG,CDC20,KCNJ8,ADAMTS5,FOXN3,KPNA2,RFC2,CENPF,CNRIP1,TTK,KIF2C,C16orf59,TMEM109,HTR2B,FGF2,AKT3,ZEB1,PRDM8,TENC1,OIP5,MASP1,BUB1,CBX7,XPO5,C1orf112,ECE2,STAT5B,PBK,TCEAL7,RHOJ,MYBL2,ZNF695"
"hsa-miR-3605-3p","ARHGAP24"
"hsa-miR-424-5p","ASIP"
"hsa-miR-340-5p","PTPRN2"
"hsa-miR-374a-3p","C12orf56"
"hsa-miR-1301","SASS6,CCDC99"
"hsa-miR-145-5p","C1orf183"
"hsa-miR-19b-1-5p","CIDEC"
"hsa-miR-107","CXorf36,GIMAP6,GPM6A,NEDD4,FLI1,SHE,GIMAP8,PEAR1,CYYR1,PDE8B,ABCB1,TIE1,ERG,CLEC14A,GPR116,S1PR1,TLL1,ARHGAP31,ZNF366"
"hsa-miR-542-3p","C20orf203"
"hsa-let-7e-3p","SEPT3"
"hsa-miR-24-3p","LOC100133920"
"hsa-miR-126-5p","LOC731779"
"hsa-miR-3127-5p","C17orf105"
"hsa-miR-141-3p","PLS1,CDCP1"
"hsa-miR-505-5p","NPSR1"
"hsa-miR-185-5p","C10orf35,HAND2,TSHZ3,FOXL2,SNCAIP,NRXN2"
"hsa-miR-20a-5p","FAM70B,HGF"
"hsa-miR-532-3p","EDIL3,CXorf36,SRL,NEXN,CNN1,TIMP2,PJA2,TGFB3,TIMP3,CSRP1,DMD,SPARCL1,MICAL2,SYNPO,CSPG4,ARHGAP6,TNFAIP8L3,TACC1,MYCT1,PPP1R12B,TGFBR3,SETD7,TPM1,CLIC4,MSRB3,ITPR1,CCDC80,PRKG1,LONRF2,CAV1,ACTA2,LIMS2,KLHL4,DSTN,CAMK2G,CHRDL1,FERMT2,KCNMB1,SYNPO2,CFL2,FAM69A,ADARB1,LRCH1,FGF2,LOC401093,RERG,BNC2,ADAMTSL1,MYH11,AOC3,APOLD1,GNAL,PPP1R12A,KCNMA1,EHBP1L1,EMCN,TLN1,SLMAP,SVIL,TNS1,ABCC9,WSCD2,SORBS1,RECK"
"hsa-miR-9-5p","GPR98"
"hsa-miR-100-5p","CHGB"
"hsa-miR-29c-3p","UTF1"
"hsa-miR-15a-5p","CPEB1"
"hsa-miR-22-5p","LOC286002"
"hsa-miR-1180","HPGDS"
"hsa-let-7d-3p","PALM2-AKAP2,CXorf36,CDK17,ANTXR2,HIGD1B,AKAP13,SLCO2A1,PJA2,SNRK,SPARCL1,FLI1,CDH13,ELK3,MYCT1,SETD7,CALCRL,CLIC2,ABCB1,SOX7,LDB2,PALLD,LRCH1,BNC2,ADAMTSL1,PPP1R12A,KCNMA1,WISP1,CACNA1C,EMCN,ABCG2,TEK,FRMD6,MITF,LIFR,ARHGAP31"
"hsa-miR-125a-5p","TRIM2"
"hsa-miR-28-3p","LIN28B"
"hsa-miR-139-5p","SCN4B"
"hsa-let-7f-5p","PCDHB2"
"hsa-miR-151a-5p","PDS5A"
"hsa-miR-140-3p","OLFML1,PROS1,PID1,CAV2,ASPA,PODN,GNG11,SH3D19,FAM13C,ADH1A,ADH1B"
"hsa-miR-27b-3p","CFC1B"
"hsa-miR-324-5p","HN1,ESPL1,GLT8D2,FANCA,PJA2,RRM2,TIMP3,GPM6A,SPARCL1,MYCT1,NEURL1B,GPRASP2,CDC20,MID2,PDE8B,KCNJ8,PMP22,C14orf28,CNRIP1,KIF2C,KIAA1462,CRTAP,TMEM109,PGM5P2,LRCH1,TXNIP,PGM5,ZEB1,TMEM55A,LAYN,ADAMTSL1,MAMDC2,PPP1R12A,CBX7,KANK2,FRMD6,STAT5B,MYBL2,RECK"
"hsa-miR-191-5p","PKMYT1,RRM2,FOXM1,NCAPG,CDC20,RFC2,CENPF,KIF2C,C16orf59,AKT3,OIP5,BUB1,ECE2,PBK,RHOJ,MYBL2"
"hsa-miR-199b-5p","PKD1L2"
"hsa-miR-708-5p","GPR158"
"hsa-miR-200b-3p","TGFB3,PHYHIP,MID2,PDE5A,KIAA1462,C10orf72,HAAO,LTBP4"
"hsa-miR-425-3p","DPYSL3,RAB23,RAP2C,ASPN,MBNL1"
"hsa-miR-769-3p","TIMP2,ECM2,FOXN3,EDNRB,FGF2,FBXO32"
"hsa-miR-342-5p","EDIL3,SRL,PLN,NEXN,JAM2,ANO6,PJA2,ITGB1BP2,DMD,TAGLN,TNFAIP8L3,PPP1R12B,MSRB3,LMOD1,SH3BGRL,PTRF,LIMS2,DSTN,CAMK2G,NPTN,SYNPO2,KCNB1,CFL2,RERG,TMEM55A,LRRC8C,MYH11,GNAL,CALD1,PPP1R12A,FEZ2,MYLK,NPY5R,TNS1,FAM26E,ABCC9,SORBS1"
"hsa-miR-1307-3p","AURKA,HN1,LRRN4CL,PKMYT1,ANTXR2,NOL11,ESPL1,FAM54A,C1orf135,TMEM63B,FANCA,TIMP2,RRM2,TIMM17A,KLHL38,FOXM1,KCTD12,SH3BP5,UBE2C,SETD7,NCAPG,CDC20,LRRK2,CLIC2,KCNJ8,ADAMTS5,FOXN3,DIXDC1,KPNA2,PMP22,RFC2,CENPF,TTK,KIF2C,C16orf59,CRTAP,TMEM109,C5orf4,HTR2B,LRCH1,FGF2,AKT3,ZAK,SBDS,ZEB1,PRDM8,OIP5,MASP1,BUB1,CBX7,CACNA1C,ECE2,ZCCHC24,SVIL,STAT5B,PBK,TCEAL7,RHOJ,ASAM,MYBL2,MITF,FBXO32,ZNF695"
"hsa-miR-106b-5p","PALM2-AKAP2,CXorf36,SAP30L,CDK17,ARHGEF6,AURKA,HN1,STON1,LRRN4CL,PKMYT1,ANTXR2,JAM2,DPYSL3,ESPL1,PLXDC1,RAB23,FAM54A,ANO6,NKAPL,VIPR2,C1orf135,TMEM63B,FANCA,TIMP2,PJA2,RRM2,TIMP3,MFAP4,C10orf35,FXYD6,GIMAP6,KLHL38,SNRK,GPM6A,NEDD4,SPARCL1,VGLL3,FLI1,MICAL2,FOXM1,TRPC4,TSTA3,ARHGAP6,SH3BP5,TACC1,RGMA,GPRASP1,MYCT1,PPP1R12B,TGFBR3,SETD7,ITM2A,PCDHGA2,CLIC4,NCAPG,GPRASP2,LMOD1,AKAP2,CDC20,LRRK2,APBB1,C21orf34,MID2,HLF,SH3BGRL,NXPH3,PDE8B,CLIC2,KCNJ8,ABCB1,SOX7,C4orf12,ADAMTS5,FOXN3,DIXDC1,C14orf28,RFC2,KLHL13,TBL1X,CENPF,CNRIP1,TTK,AVPR1A,KIF2C,KIAA1462,NECAB1,C16orf59,CRTAP,TIE1,TMEM109,HTR2B,C16orf45,OLFML2A,LDB2,PALLD,ANKRD29,KLHL33,C7orf58,LRCH1,FGF2,AKT3,ZAK,SBDS,PGM5,LEPR,ZEB1,PRDM8,RERG,BNC2,TENC1,TMEM55A,ADAMTSL1,GAB1,MASP1,MAMDC2,CALD1,SELP,PPP1R12A,KCNMA1,SLC24A3,BUB1,CBX7,SNCA,HEG1,CACNA1C,ENPEP,KANK2,EMCN,CYBRD1,ECE2,ABCG2,ZCCHC24,TMEM200B,FEZ2,TEK,TRIM9,PCDHGA6,SVIL,KIAA1644,STAT5B,SMOC2,PBK,ADCY2,SDPR,TCEAL7,RHOJ,ASAM,MYBL2,ZNF483,MITF,FBXO32"
"hsa-miR-141-5p","CXorf36,FLT4,KDR,ELTD1,RAB23,AKAP13,SLCO2A1,TIMP2,GIMAP6,SNRK,SPARCL1,FLI1,KCTD12,MMRN2,ELK3,GIMAP8,MYCT1,SETD7,NEURL1B,PEAR1,CLIC2,ABCB1,KLHL13,KANK3,AVPR1A,C16orf59,TIE1,FGF2,CLEC14A,AKT3,GPR116,TMEM204,KCNMA1,CACNA1C,ECE2,ABCG2,TMEM200B,KIAA1644,ESAM,RHOJ,MITF,ARHGAP31,ZNF366,ROBO4"
"hsa-let-7g-3p","PDLIM3,TSPAN2,FAM69A,FGF2,FHL1,ZCCHC24"
"hsa-miR-590-5p","CXorf36,HN1,NEXN,JAM2,ESPL1,PJA2,MEF2C,FXYD6,DMD,GPM6A,SPARCL1,MMRN2,SHE,TACC1,MYCT1,NEURL1B,GPRASP2,LMOD1,PEAR1,MID2,PDE8B,PMP22,C14orf28,KCNA1,DSTN,CAPN11,KIAA1462,SYNPO2,PGM5P2,LRCH1,TXNIP,PGM5,ZEB1,BNC2,SYT15,TMEM55A,CASP12,ADAMTSL1,MAMDC2,GNAL,PPP1R12A,KCNMA1,NPY1R,KANK2,EMCN,MAOB,NPY5R,STAT5B,TNS1,ESAM,S1PR1,ABCC9,SORBS1,ARHGAP31"
"hsa-miR-491-5p","FAM157B"
"hsa-miR-1287","HOXB8"
"hsa-miR-140-5p","FLJ23867"
"hsa-miR-106b-3p","PALM2-AKAP2,CXorf36,CDK17,PKMYT1,ANTXR2,PCDHGA5,FANCA,TIMP2,PJA2,RRM2,TIMP3,SNRK,GPM6A,SPARCL1,TSTA3,TACC1,RGMA,GPRASP1,MYCT1,SETD7,CLIC4,NCAPG,GPRASP2,CDC20,LRRK2,C21orf34,HLF,PDE8B,CLIC2,ABCB1,SOX7,C4orf12,DIXDC1,TBL1X,CENPF,KIF2C,KIAA1462,C16orf59,OLFML2A,LDB2,PALLD,KLHL33,LRCH1,FGF2,AKT3,ZAK,PGM5,ZEB1,TENC1,TMEM55A,ADAMTSL1,PPP1R12A,KCNMA1,SLC24A3,CACNA1C,ENPEP,KANK2,EMCN,ECE2,PCDHB4,TEK,SVIL,STAT5B,PBK,RHOJ,ASAM,MYBL2,MST4,ZNF483,MITF,ENPP2,C1orf21,FBXO32"
