"ID","Up_regulated"
"hsa-miR-29b-2-5p","FAM63A"
"hsa-miR-199b-5p","MAPK8IP2"
"hsa-miR-486-5p","SLC17A7,CLEC3B,CD34,CXCR7,GYPC,LRRN4CL,PI16,CD248,SCARA5,XPNPEP2,CFD,GDF10,ATOH8,CYB5R3,MFAP4,MFAP5,ST6GALNAC6,LOC572558,LGI4,MMRN2,GPR133,IGFBP6,NDN,FAM149A,GPBAR1,CCDC80,PLAC9,TFE3,ADAMTSL4,RNASE1,CFH,FAM180B,PTRF,FBLN2,C1QTNF1,PID1,XG,NPR1,CNRIP1,F10,FADS3,LHFP,GPR146,CRTAP,FBLN5,SERPINF1,BST1,ANGPTL2,GNG11,EHD2,ARHGEF15,PCOLCE2,GSN,TMBIM1,PDE2A,TNXB,EBF3,DCN"
"hsa-miR-660-5p","ZMYND8"
"hsa-miR-28-3p","ZNF467"
"hsa-miR-9-5p","C1orf135"
"hsa-miR-335-3p","PALM2-AKAP2,CPA1,NPR2,GYPC,LRRN4CL,AFAP1L1,C14orf139,LOC401052,ANTXR2,CELF2,LOC90586,LPL,CD36,DTX1,C7orf41,ANO6,AKR1C3,DMGDH,NKAPL,MEST,LAMA4,CAT,FZD4,CLDND2,MESTIT1,ECM2,TK2,C2CD2,F8,AKR1C1,FABP4,NRN1,GNAI1,PNPLA2,AQPEP,CD99L2,EPB42,WASF3,SH3GLB1,ST6GALNAC6,GPR109A,ITSN1,MAP7D3,ELMOD3,KCNIP2,GLDN,CCDC3,CDC14B,AKAP12,EPB41L2,DAAM2,CAMK1,TTC7B,TGFBR2,ITIH5,C17orf103,ANXA5,CIDEC,EPAS1,PTPRM,SPTBN1,VEGFB,GPR34,VKORC1L1,MOSC1,MDH1,NDN,TYRO3,FAM149A,GPBAR1,PDE11A,PHLDB1,CEBPA,CDO1,BMPER,ANGPT1,RBPMS2,GABARAPL1,TFE3,CAV1,AKR1C2,MGLL,ANXA1,FRMD1,ABCD2,C3orf55,CA4,NAT8L,LEP,KLB,KANK1,RFTN1,GPD1,PLIN4,HRASLS5,PTRF,DDR2,MMD,PID1,LRP1,FOXN3,MCAM,CCDC69,PPAP2A,GYG2,MRAS,FAM89A,LIPE,ITGA7,SPATA9,NPR1,TMEM37,TMEM140,CAV2,CHRDL1,FERMT2,FADS3,AQP7,MYO1C,ITGB1BP1,VIM,UGP2,GPR146,SVEP1,CRTAP,ASPA,FBLN5,C2orf84,TMEM132C,ACSM5,CES1,SLC7A10,ABCA1,PLA2G16,AIFM2,C7orf58,LOC339524,HEPACAM,PCSK5,FREM1,GCOM1,HEPN1,NMT2,TUSC5,CDH5,ANGPTL2,DHDDS,TMEM170B,GNG11,SH3D19,PPARG,GPR116,PPP1R1A,STBD1,BHMT2,TENC1,VAMP3,SOD3,EHD2,SLC19A3,PCOLCE2,ALDH1A1,DOCK11,APBB1IP,AOC3,G0S2,PLXNA4,MRAP,LOC158376,GNG2,C14orf49,GPX3,SGK2,GLYAT,TMBIM1,TMEM22,PDE2A,ACAA2,PCYOX1,PDZD2,TEK,SLC9A9,PLIN1,CCDC36,SIK2,RBP7,TIMP4,ACO1,TLN2,EBF3,RETSAT,PALM,RDH5,EHBP1,TNS1"
"hsa-miR-183-5p","TMEM63B,LHFP,VIP,GIPC2"
"hsa-miR-497-5p","NKAIN1"
"hsa-miR-30e-3p","RNF208"
"hsa-miR-99a-5p","CHST9,PAK7,ITPRIPL1,PDE1C,DST,SAMD5,KIT,PIK3C2G,KY,SLC13A2,MYLK"
"hsa-miR-196a-5p","HOXC10"
"hsa-miR-145-5p","CHL1,CDC14B,H2AFY,LHFP,LDB2,GIPC2,LEPR,PLSCR4"
"hsa-miR-199b-3p","COL10A1"
"hsa-miR-155-5p","IL4I1"
"hsa-miR-629-5p","SHCBP1"
"hsa-miR-195-5p","GRIA4,SFRP1,PAK7,GRAMD3,PAK3,CLDN19,RYR3,TP63,PDE1C,DST,FAM196B,SAMD5,SEMA5A,GPM6B,RASSF6,SCN2A,PIK3C2G,KY"
"hsa-miR-193a-5p","ADIPOQ,LOC283392,CNTFR,CIDEC,TYRO3,CEBPA,NAT8L,LIPE,NPR1,PPP1R1A,TMBIM1,RDH5"
"hsa-miR-1301","FAM49B"
