"ID","Up_regulated"
"hsa-miR-215","SLC6A18,CYP4A11"
"hsa-miR-29c-3p","ACSS3"
"hsa-miR-671-3p","RERGL,MSTN"
"hsa-miR-98-5p","CCL14-CCL15,HNF1A,VIL1,GLYCTK,BBOX1,TUBAL3,ALDH4A1,SLC47A1,GYPA,BAIAP2L2,KHDRBS2,GSTA1,NPC1L1,SLC47A2,USH1C,AK3L1,DMGDH,C11orf90,GDPD3,DAB2,ALDOB,FGFR4,GATM,CIDEB,GGTLC1,ABCC6P2,GGT1,TFEC,FAM132A,CIRH1A,CTXN3,MT1F,DEPDC7,FUT6,ACSBG2,KHK,RNF186,CAPN3,TNNI1,SFXN2,ART4,LOC144776,PKLR,SLC2A9,SPNS3,ACY3,SLC6A13,NYX,DNAJC16,FABP1,CLDN2,RNF183,C18orf56,BHMT,DNAJC12,SLC22A4,MYOM3,GGTLC2,C8orf80,CYP8B1,SHMT1,MTMR11,PHYHIP,HAO2,ABCC6P1,MYOM2,HHLA2,CRYBB3,SLC22A18AS,THPO,GLB1L,PDZK1IP1,AKR1A1,RBP5,GPD1,ABHD12B,TTPA,AOX1,RAB7L1,AGXT2,AGMAT,TACR3,PBLD,OR2T10,ANXA13,GLYATL1,C19orf21,LOC389332,ASPDH,NRXN2,CYP2B6,C1orf106,PROC,LOC285768,LRP2,EHHADH,SLC17A4,FMO1,RGL1,A1CF,DTX4,GIPC2,TRIM15,HPD,BST1,ALDH6A1,CRYAA,GBA3,LRRC7,LOC148709,HMX2,LOC647309,ACSF2,FCAMR,BHMT2,PDZD3,TRIM10,PDZK1,DDC,LOC340094,AQP7P3,TTBK1,ANPEP,KCNK10,C14orf73,CCL15,TMEM132E,PIPOX,MYLK4,CDKN1C,ALAD,TMEM200A,ENPEP,C19orf69,AMDHD1,KLK5,C9orf66,GLYAT,MSRA,ACSM2A,ETNK2,PC,ANKS4B,ACMSD,PPP1R16B,SLC22A1,HNF4A,NGEF,CFI,ZNF804B,CDHR2,ABAT,TTC38,PNPLA1,PEPD,C7orf10"
"hsa-miR-425-5p","IFNA16"
"hsa-miR-10a-5p","CCL14-CCL15,HNF1A,VIL1,GLYCTK,BBOX1,TUBAL3,ALDH4A1,GYPA,BAIAP2L2,KHDRBS2,GSTA1,NPC1L1,SLC2A5,SLC47A2,USH1C,AK3L1,DMGDH,C11orf90,GDPD3,DAB2,ALDOB,FGFR4,GATM,CIDEB,ABCC6P2,TMEM150B,TFEC,FAM132A,CIRH1A,CTXN3,MT1F,DEPDC7,FUT6,ACSBG2,KHK,RNF186,CAPN3,TNNI1,SFXN2,ART4,LOC144776,PKLR,SLC2A9,SPNS3,ACY3,SLC6A13,NYX,DNAJC16,FABP1,CLDN2,RNF183,C18orf56,BHMT,DNAJC12,SLC22A4,MYOM3,C8orf80,CYP8B1,SHMT1,CALML4,MTMR11,PHYHIP,HAO2,ABCC6P1,MYOM2,HHLA2,CRYBB3,SLC22A18AS,THPO,GLB1L,PDZK1IP1,AKR1A1,RBP5,GPD1,SPAG5,ABHD12B,AOX1,RAB7L1,AGXT2,AGMAT,TACR3,PBLD,OR2T10,ANXA13,GLYATL1,C19orf21,LOC389332,ASPDH,NRXN2,CYP2B6,C3orf30,PROC,C6orf122,LOC285768,LRP2,EHHADH,SLC17A4,FMO1,RGL1,A1CF,GIPC2,TRIM15,HPD,BST1,ALDH6A1,CRYAA,GBA3,LRRC7,LOC148709,HMX2,LOC647309,ACSF2,FCAMR,BHMT2,PDZD3,TRIM10,PDZK1,DDC,AQP7P3,TTBK1,ANPEP,KCNK10,C14orf73,CCL15,TMEM132E,PIPOX,CDKN1C,ALAD,TMEM200A,ENPEP,C19orf69,AMDHD1,KLK5,C9orf66,GLYAT,MSRA,ACSM2A,ETNK2,PC,ANKS4B,ACMSD,PPP1R16B,HNF4A,NGEF,CFI,ZNF804B,CDHR2,CCDC150,ABAT,TTC38,PNPLA1,PEPD,C7orf10"
"hsa-miR-1296","CDA"
"hsa-miR-320a","C2orf88"
"hsa-let-7c","OR13C2"
"hsa-miR-27a-5p","FOSB"
"hsa-miR-338-3p","TMEM207"
"hsa-miR-30a-5p","ASRGL1,SCNN1G,LOC153328,C2orf62"
"hsa-miR-204-5p","CCL14-CCL15,CPA1,UGT1A7,HNF1A,VIL1,GLYCTK,BBOX1,ALDH4A1,BAIAP2L2,KHDRBS2,USH1C,DAB2,ABCC6P2,TMEM150B,TFEC,FAM132A,CTXN3,MT1F,ACSBG2,CAPN3,TNNI1,SPNS3,ACY3,DNAJC16,COLEC11,MYOM3,CALML4,PHYHIP,HAO2,ABCC6P1,MYOM2,FRMD1,RBP5,RAB7L1,AGMAT,PBLD,ASPDH,NRXN2,MT1H,FMO1,RGL1,A1CF,GIPC2,TRIM15,BST1,GBA3,LRRC7,HMX2,BHMT2,PDZD3,TRIM10,TTBK1,HRSP12,C14orf73,CCL15,PIPOX,ALAD,C19orf69,AMDHD1,MSRA,ETNK2,ANKS4B,PPP1R16B,NPHS2,HNF4A,NGEF,ZNF804B,ABAT,LOC283314,PNPLA1,C7orf10"
"hsa-miR-22-3p","EDIL3,PLCB1,GPM6A,RGS7BP,LOC400927,CLDN19,PHACTR1,C5orf38,AIF1L,IRX1,SUSD4,GDF3,FOXC1,MUC15"
"hsa-miR-508-3p","SPEF1,SPNS3,MYOM3,RALYL,ABHD12B,RAB7L1,LRRC48,BST1,PDZD3,TTBK1,C14orf73,NGEF,CFI,PNPLA1"
"hsa-miR-1266","NLRC5"
"hsa-miR-199b-3p","SPON1"
"hsa-miR-141-5p","NUCB2"
"hsa-miR-30c-5p","ESX1"
"hsa-miR-185-3p","TMEM229A"
"hsa-miR-181d","C2orf39"
"hsa-miR-874","SPNS2,FLJ32063,PLCB1,WDR65,PROM1,DOC2B,C5orf38,IGFBP2,TLR5,CELSR2,IRX1,TRIL,WDR78,PPP1R1A,DOCK11,FIGNL2,PDILT,FOXJ1,IRX5,GPRIN2"
"hsa-miR-29c-5p","TMEM38A,SERPINI1"
"hsa-miR-125a-5p","C3P1"
"hsa-miR-26b-3p","PRELP,CHRD"
"hsa-miR-99b-3p","SIDT1"
"hsa-miR-455-3p","TUBAL3,DDN,KHDRBS2,ALDOB,CIRH1A,CTXN3,CLIC5,TNNI1,FGF1,SFXN2,FABP1,CRHBP,C18orf56,TYRO3,TRIM54,MYOM2,CRYBB3,SLC22A18AS,GPD1,SPAG5,KLK7,TTPA,PBLD,C1orf125,CYP2B6,C3orf30,LOC285768,HPD,CRYAA,LRRC7,LOC148709,HMX2,UPP2,KLK5,C9orf66,ZNF804B,CCDC150,PTPRO,SOST,TTC38,ST6GALNAC3"
"hsa-miR-141-3p","KLK15"
"hsa-miR-130a-3p","RIPPLY1"
"hsa-miR-1180","GADL1,WNK4,SIM2,F11,FIGNL2,PRKCQ"
"hsa-miR-24-3p","LOC286002"
"hsa-miR-107","CSNK2A1P"
"hsa-miR-96-5p","ALPI,USH1G,GCM1"
"hsa-miR-30c-2-3p","ASRGL1,SCNN1G,IGFBP2,C21orf62,SOSTDC1,C2orf62,TMEM178"
"hsa-miR-505-5p","CLDN2,SLC22A4,KCNK5,THPO,PDZK1IP1,ANXA13,NRXN2,LRP2,RGL1,TMEM132E,TMEM200A,ACSM2A"
"hsa-miR-628-5p","PADI2,SLC4A8,MFSD4"
"hsa-miR-125b-5p","NKX6-1"
