"ID","Up_regulated"
"hsa-miR-199a-5p","FAIM2"
"hsa-miR-194-5p","UPB1,GIPC2,HNF4A"
"hsa-miR-532-5p","ELOVL2"
"hsa-let-7e-3p","PITX2"
"hsa-miR-19a-3p","LTB4R"
"hsa-miR-203a","EPN3,HOXB5,AQP2,GLTP,CDH16,CLUL1,DNASE1,DTX1,EVPL,AFAP1L2,CADM1,GALNT6,CDKL2,EPB41L4B,RAP1GAP,TMEM30B,GSTM3,LOH12CR2,GNAI1,C15orf56,NUDT4,TMEM45B,PRDM16,GPR110,MFAP3L,GALNT3,TRAM1L1,CLDN19,ATXN10,CNP,KLHL14,CLCNKA,FAM171A1,MPPED2,PROX1,LOC25845,GPBAR1,TSPAN8,GRHL2,ZNF44,CLDN10,SIM2,NAT8L,EHF,ERMP1,OPHN1,RALBP1,MRPL33,C14orf4,AIF1L,DLG3,TLR5,SRGAP3,RNF43,RAB25,MYO3B,COBLL1,HOXB6,LIPH,IRX1,ESRRB,SUSD4,HOXB8,EPCAM,MPP7,USP44,SLC4A8,MFSD4,OR7E91P,MAL2,C14orf50,CCDC160,VWA2,HOXB9,IRX2,AK7,ABCA13,FOXC1,LYPD6B,MUC15,C2orf15,TSPAN6,MRPS6,SLC9A3,C2orf65,MAL,UXS1,AMPH,DNM3,PAQR8,C17orf108,PRKCQ,RANBP3L,PRPSAP1,C10orf55,TSPYL5"
"hsa-miR-191-5p","WDR90,MZF1"
"hsa-miR-10b-3p","IFI30"
"hsa-miR-200a-3p","C9orf152"
"hsa-miR-200b-3p","EPN3,HOXB5,AQP2,GLTP,CDH16,GAL3ST3,CLUL1,DTX1,EVPL,C7orf41,AFAP1L2,CADM1,GALNT6,CDKL2,PLEKHB1,EPB41L4B,RAP1GAP,TMEM30B,GSTM3,LOH12CR2,GNAI1,EMID2,C15orf56,NUDT4,TMEM45B,GPR110,MFAP3L,GALNT3,TRAM1L1,ST6GAL1,CLDN19,ATXN10,CNP,KLHL14,CLCNKA,FAM171A1,MPPED2,LOC25845,GPBAR1,TSPAN8,CAPS,GRHL2,ZNF44,CLDN10,C21orf34,SIM2,EHF,ERMP1,LOC400043,RALBP1,HOXB2,MRPL33,C14orf4,AIF1L,TLR5,SRGAP3,RNF43,RAB25,MMS19,MYO3B,COBLL1,HOXB6,LIPH,IRX1,SUSD4,HOXB8,EPCAM,MPP7,USP44,SLC4A8,SYT7,MAL2,C14orf50,WNT7B,CCDC160,VWA2,HOXB9,IRX2,AK7,C17orf88,GABRA2,ABCA13,FOXC1,LYPD6B,MUC15,C2orf15,TSPAN6,MRPS6,SLC9A3,C2orf65,MAL,C20orf151,UXS1,VWA3B,AMPH,DNM3,DLX3,PAQR8,AQP3,C17orf108,AMFR,PRKCQ,MFSD6L,RANBP3L,PRPSAP1,C10orf55,TSPYL5"
"hsa-let-7e-5p","AHSA2"
"hsa-miR-151a-3p","TMEM66"
