"ID","Up_regulated"
"hsa-miR-218-5p","LYPLA2P1"
"hsa-miR-181a-3p","ALOX5AP"
"hsa-miR-324-3p","ITFG1"
"hsa-miR-362-3p","PTGER3"
"hsa-miR-125a-5p","JAM2"
"hsa-miR-96-5p","LTB4R"
"hsa-miR-185-5p","PDF"
"hsa-miR-532-3p","GRM1"
"hsa-miR-30b-3p","C22orf36"
"hsa-miR-199a-5p","RERGL"
"hsa-miR-1307-3p","ROS1"
"hsa-miR-127-3p","SFRP1"
"hsa-miR-19b-3p","FER1L6"
"hsa-miR-29a-5p","RIMS2"
"hsa-miR-29c-5p","PAK7"
"hsa-miR-181c-5p","GK"
"hsa-miR-200b-3p","CCDC144B"
"hsa-miR-196b-5p","HOXA9"
"hsa-miR-342-5p","NUDT4"
"hsa-miR-199b-3p","LRRTM3"
"hsa-miR-21-5p","ITGA8"
"hsa-miR-502-3p","PRDM16"
"hsa-miR-125b-2-3p","MACC1"
"hsa-miR-30a-3p","PUS1"
"hsa-miR-101-5p","DPY19L1"
"hsa-miR-423-5p","CNIH2"
"hsa-miR-27b-5p","UBFD1"
"hsa-miR-204-5p","ACY3"
"hsa-miR-379-5p","GALNS"
"hsa-miR-193b-3p","ACAD9"
"hsa-miR-10b-3p","DACH1"
"hsa-miR-769-5p","MMP17"
"hsa-miR-181d","MMP20"
"hsa-miR-338-3p","DUSP9"
"hsa-miR-130a-3p","DDX19B"
"hsa-miR-140-5p","CBLL1"
"hsa-miR-625-3p","SLC2A12"
"hsa-miR-500a-3p","DNAJC11"
"hsa-miR-99a-5p","KDM3A"
"hsa-let-7b-5p","ABCE1"
"hsa-miR-362-5p","GP2"
"hsa-miR-320a","CTNNBL1"
"hsa-miR-126-5p","TNNT2"
"hsa-miR-28-5p","H1F0"
"hsa-let-7i-5p","TRPM6"
"hsa-miR-181a-5p","EDA2R"
"hsa-let-7a-3p","PSMD14"
"hsa-miR-193a-5p","FGD1"
"hsa-miR-365a-3p","TREML1"
"hsa-miR-660-5p","STC1"
"hsa-miR-196a-5p","PVT1"
"hsa-let-7c","ABI3BP"
"hsa-miR-20a-5p","PARM1"
"hsa-miR-29b-3p","SH3RF3"
"hsa-miR-152","FAM128B"
"hsa-miR-744-5p","VAT1"
"hsa-miR-345-5p","LAMB1"
"hsa-miR-34a-5p","FOLH1"
"hsa-miR-190a","REP15"
"hsa-miR-148a-3p","EFNA2"
"hsa-miR-30e-5p","NNMT"
"hsa-miR-146a-5p","SYN3"
"hsa-miR-21-3p","SPSB4"
"hsa-miR-30b-5p","C1orf64"
"hsa-miR-186-5p","PCLO"
"hsa-miR-874","SERPINA4"
"hsa-miR-92b-3p","CACNA2D4"
"hsa-miR-93-5p","GJA3"
"hsa-miR-25-3p","HMGB3"
"hsa-let-7e-3p","WDR60"
"hsa-miR-1180","BIVM"
"hsa-miR-500b","C11orf92"
"hsa-miR-99b-5p","MDH1B"
"hsa-miR-125b-5p","UCN"
"hsa-miR-188-5p","HCRTR2"
"hsa-miR-589-5p","PLA2R1"
"hsa-miR-181c-3p","CYP4A11"
"hsa-miR-132-3p","DNAJC5B"
"hsa-miR-99b-3p","RNF157"
"hsa-miR-200c-3p","EPDR1"
"hsa-miR-671-5p","TMEM86B"
"hsa-miR-145-5p","PDZRN4"
"hsa-let-7a-5p","PA2G4"
"hsa-miR-29a-3p","VPS4A"
"hsa-miR-195-5p","NFASC"
"hsa-miR-17-3p","YARS2"
"hsa-miR-423-3p","FMO4"
"hsa-miR-30a-5p","ADPRHL2"
"hsa-miR-10a-5p","POU3F4"
"hsa-miR-126-3p","SLC37A4"
"hsa-let-7e-5p","C1orf186"
"hsa-miR-10b-5p","TEK"
"hsa-miR-26a-5p","NPEPPS"
"hsa-miR-30c-2-3p","HDGF"
"hsa-miR-584-5p","SH3TC2"
"hsa-miR-3615","IGF2BP2"
"hsa-miR-361-5p","CASC4"
"hsa-miR-424-5p","PODXL"
"hsa-miR-145-3p","FOLR3"
"hsa-miR-139-5p","INPP5J"
"hsa-miR-140-3p","CASK"
"hsa-miR-1976","ITGAX"
"hsa-miR-1266","TADA3"
