"ID","Up_regulated"
"hsa-miR-125b-5p","GDEP"
"hsa-miR-10a-5p","SPRR2B"
"hsa-miR-199a-5p","KCNN4,SRPX2,SYTL2,C10orf55"
"hsa-miR-576-5p","PKMYT1,ESPL1,BCL2L12,RRM2,PTPRA,SKA3,CDC6,TK1,EPR1,ORC6L,FANCI,DTYMK,RCC1,WDR62,ECE2,C17orf53,CDCA5"
"hsa-miR-151a-3p","C1orf126,C10orf55"
"hsa-miR-29b-1-5p","ZNF525,SNHG1,GEN1,DDX55,SFRS1,TRIM8,C12orf66"
"hsa-miR-374a-3p","XK,EFS"
"hsa-miR-30a-5p","CLEC1B,F8,S100A3,LILRA5,CD5L"
"hsa-miR-27a-3p","PON2"
"hsa-miR-186-5p","CHD1L,TIMM17A,RBM34,PDIA3"
"hsa-miR-142-3p","CDK8,LOC221710,CDK2,TWF1,PUS7L,NIT2,UNG,HARBI1,RPAP3,SLC12A8"
"hsa-miR-181c-5p","KCNN4,SYTL2"
"hsa-miR-100-5p","RGS7"
"hsa-miR-423-5p","OR1L3"
"hsa-miR-425-3p","PKMYT1,ANLN,BCL2L12,FKBP10,YKT6,UHRF1,IMMT,NR2C2AP,ME3,TK1,NOXA1,EIF3B,DUS1L,SLC25A10,MYO19,ECE2,C12orf66,IRF3,PPP1R14B,CYB5R2"
"hsa-miR-143-3p","PALM2-AKAP2,MANF,MGC27382,GRASP,GRK5,ACADL,EDN1,ODAM,GPM6A,ADCY8,HTR3C,CLEC1A,COPG,WWC2,GPIHBP1,DACH1,EPAS1,FLAD1,YKT6,OTUD1,C13orf15,CAV1,CALCRL,KLF9,ALDH18A1,TK1,CRTAC1,ALG3,HYAL2,ITPRIP,EDNRB,PTPN21,NECAB1,C20orf202,LDB2,SLC6A4,RS1,TRIM27,RTKN2,F2RL3,CLDN5,ANKRD1,ADRB2,RCC1,BTNL9,LOC158376,TNR,NCKAP5,ECE2,EMP2,SDPR,CD300LG,S1PR1,PPP1R14B,SH3GL3,FAM46B,STXBP6"
"hsa-miR-146b-5p","CEACAM8"
"hsa-miR-17-5p","PALM2-AKAP2,CXorf36,SCN7A,AFAP1L1,TSPAN18,ABCA8,CHD1L,MDGA1,FIGF,TCF21,MMRN1,PTPRB,PRSS35,GRK5,MFAP4,TIMM17A,SCUBE1,ADRA1D,GPM6A,PRKAA1,RSPO4,RBM34,KAL1,C1QTNF7,MMRN2,ENO1,PCDH10,DCC,BAI3,PGM3,C13orf15,SRPX,CASKIN2,PEAR1,CAV1,CYYR1,NDST1,IL34,HYAL2,NPR1,ZSCAN16,USHBP1,FIBIN,C12orf69,SVEP1,TIE1,NOTCH4,MGAT3,SYNPO2,MYH2,GGT7,OLA1,MYH10,GRIK4,CLEC14A,CDH5,SNRPE,ABCA9,VWF,MASP1,MAMDC2,AOC3,SFRS1,GRIA1,SLIT2,HEATR7A,PDE2A,ADAMTS8,EMP2,SLIT3,RPE,NMUR1,NOVA2,POLR2H,ROBO4"
"hsa-miR-27b-5p","WDR3,ALDOC,DNAJB6,EZH2,PUS7"
"hsa-miR-181b-5p","HBG1"
"hsa-let-7a-5p","PALM2-AKAP2,TSPAN18,EFNA3,MRPL42,SEH1L,FIGF,BMPR2,MRPL3,VTA1,CD93,FAM43A,KAL1,COPG,WWC2,AGER,FLAD1,CDK2,DEK,UHRF1,BCL6B,CAV1,NUSAP1,PTPRQ,DTL,ABI3BP,ALG3,NPR1,SLITRK2,KANK3,ZNF528,PRKCE,CHRDL1,USHBP1,GYPE,SVEP1,TIE1,NOTCH4,SEMA5A,CHAF1B,LDB2,GEN1,C10orf116,LTBP4,CDH5,RTKN2,HDAC2,PCDH12,ABCA9,ARHGEF15,MAMDC2,TEK,EZH2,PCCB,SLIT3,RPE,LSG1,ADH1B,STXBP6"
"hsa-miR-30c-5p","MANF,TIMM17A,PRKAA1,VTA1,RNMT,SIPA1L1,LMAN1,IPO9,BRIX1,GOLPH3"
"hsa-miR-140-3p","CHD1L,SLMO1,DENR,BMPR2,TIMM17A,VTA1,RBM34,INTS7,PSMD11,KIAA1383,CENPL,FANCB,PLAC9,NOL10,RPL7L1,MRPL19,NDST1,IQSEC3,NPR1,KANK3,ZSCAN16,MGAT3,OLA1,MYH10,DDX55,GRIK4,DTYMK,CDH5,SNRPE,PCDH12,MYL6B,MAMDC2,ST3GAL3,AOC3,IPO9,LOC100286793,DNAH14,HMGN1,SLIT3,RPE,DUS4L,CDCA3,RPAP3,POLR2H"
"hsa-miR-486-5p","GJA8,ARC"
"hsa-miR-141-3p","CCT4,APTX,KARS,TMSB10,RNMT,TPI1,SIPA1L1,DONSON"
"hsa-miR-145-5p","DENR,CTBP2,KIF20B,RBM34,INTS7,IL34,WDR12,ZSCAN16,PUS7L,XRCC5,OLA1,CHUK,TDRKH,TAF1A,RPE,RPAP3"
"hsa-miR-34a-5p","PALM2-AKAP2,SCN7A,ABCA8,JAM2,MDGA1,FIGF,TCF21,KCNIP1,BDH1,GRK5,MFAP4,TBX4,FAM43A,ARHGAP6,C1QTNF7,CDH13,MMRN2,COPG,WWC2,GATA5,GPIHBP1,BAI3,MYCT1,TGFBR3,PRELP,C13orf15,SRPX,PEAR1,BCL6B,CAV1,RSPO1,ACVRL1,CYYR1,ABI3BP,FXYD1,NPR1,CHRDL1,FIBIN,PTPN21,SVEP1,NOTCH4,SEMA5A,DUS1L,ADARB1,PRX,MYH10,GSTM5,GRIK4,SGCG,CLEC14A,INMT,LTBP4,CDH5,RTKN2,ABCA9,VWF,FMO2,ADRB2,MASP1,MAMDC2,AOC3,GRIA1,LRRN3,SLIT2,NCKAP5,GPX3,ADAMTS8,SLIT3,ADRA1A,CALN1,CD300LG,S1PR1,ADH1B,MYL3"
"hsa-let-7e-5p","METTL3,SPIN3,NPTN"
"hsa-miR-361-5p","SEH1L,GGCX,RBM34,KIAA1383,MORC4,GGT7"
"hsa-miR-141-5p","PALM2-AKAP2,CLEC3B,MANF,JAM2,HIGD1B,ACADL,BMPR2,MFAP4,FHL5,PRKG2,KAL1,ARHGAP6,MMRN2,CLEC1A,COPG,WWC2,GPIHBP1,GIMAP8,DACH1,EPAS1,MYCT1,TGFBR3,C13orf15,PDE1C,PEAR1,OR5E1P,CSRNP1,CAV1,CA4,CALCRL,CYYR1,FAM189A1,IQSEC3,IL34,TK1,KANK3,ITPRIP,PRKCE,USHBP1,EDNRB,KIAA1462,NOTCH4,FOXF1,EMR3,LDB2,ADARB1,PRX,MYH10,DDX55,GRIK4,SGCG,CLEC14A,GCOM1,CDH5,RTKN2,VWF,LOC400804,TAL1,MASP1,MAMDC2,AOC3,C2orf71,OTC,GRRP1,FAM167B,GPX3,EMCN,TEK,SLIT3,ST8SIA6,CD300LG,ADH1B,COX4I2,STXBP6,MYL3,ROBO4"
"hsa-let-7f-5p","BCL2L12,ACADL,COPG,YKT6,POLE,ALDH18A1,TK1,ALG3,EIF3B,NECAB1,LDB2,C11orf84,RTKN2,RCC1,MGC87042,ECE2,NSUN5,IRF3,INPPL1,PPP1R14B"
"hsa-miR-24-2-5p","FAM86D,SSR1,MST1R,SDCBP2,ICA1,C9orf41,XRCC6"
"hsa-miR-152","HBA2,SLC4A1"
"hsa-miR-29c-5p","NCRNA00028,MYH1,ANKRD34C"
"hsa-miR-598","UTP14A,NKRF,OLA1"
"hsa-miR-106b-3p","ANXA8L1"
"hsa-miR-145-3p","ENO1,TMEM150C,FKBP10,ITGAV,NPTN"
"hsa-miR-1287","GPR56,TTC9,TNFRSF21"
"hsa-miR-146b-3p","CDK8,TMEM117,TWF1,PUS7L,ECE2"
"hsa-miR-199b-5p","CHPF"
"hsa-miR-221-3p","CARD11"
"hsa-miR-103a-3p","MYO15A,NOXA1"
"hsa-miR-361-3p","RUNDC3B,ABCB1,LCN6"
"hsa-miR-93-3p","ESCO2,ESPL1,ZWINT,TOP2A,KNTC1,POLA2,SKA3,MCM6,YKT6,FANCB,UHRF1,POLE,DTL,KIF4A,RAD54L,RACGAP1,EIF3B,HOXB7,CHAF1B,GTSE1,KPNB1,FANCI,FEN1,MYO19,KIF18B,ASPM,SFRS1,LOC100286793,PRIM1,NCAPG2,POLQ,C9orf100,DEPDC1B,RPAP3"
"hsa-miR-29a-3p","CDH15"
