"ID","Up_regulated"
"hsa-miR-29b-3p","FST"
"hsa-miR-330-5p","MAGEA2"
"hsa-miR-100-5p","ALOX5AP,BIRC5,NLRC4,KIF23,STAC,VSIG4,PLK1,MS4A7,MSR1,EPR1,ALOX5,SPN,MRC1,FBP1,NCAPH,PRC1"
"hsa-miR-20a-5p","PLEKHG4"
"hsa-miR-27a-5p","JUND"
"hsa-miR-424-5p","ART1"
"hsa-miR-339-5p","ME1,GCLM"
"hsa-miR-200c-5p","AK3L1"
"hsa-miR-7-1-3p","CNN1,LDB3,DES"
"hsa-miR-181a-5p","BIRC5,KIF23,TSPAN12,GPM6A,ARHGAP29,CDC6,CAV1,PLK1,TK1,FRMD3,KIF4A,PTPN21,RNASE4,GCOM1,RTKN2,ARRB1,RAD51,BLM,NCAPH,MYBL2"
"hsa-miR-218-5p","SH2D1B"
"hsa-miR-452-5p","UGT1A9"
"hsa-miR-146b-3p","EGR3"
"hsa-miR-330-3p","TMEM186"
"hsa-miR-200a-5p","KIAA1522"
"hsa-miR-151a-5p","TMEM213"
"hsa-miR-126-5p","PKMYT1,BIRC5,SFTPA2,KIF23,TDRD10,MCM10,SPTBN2,CDC6,CDC20,CAV1,PLK1,KIF4A,TTK,EPR1,PARD6B,CFL2,CLDN18,SELENBP1,ZWILCH,SLC39A8,CENPA,C17orf53,RAD51,TIMELESS,BLM,ESAM,NCAPH,MYBL2,KIF11,PRC1,ARHGAP11A"
"hsa-miR-145-3p","LRFN4"
"hsa-miR-26a-5p","BTNL8"
"hsa-miR-30d-5p","CDC45,ESCO2,GINS2,AURKA,PKMYT1,SPOCK2,BIRC5,C20orf56,KIF23,GRK5,TDRD10,CLIC5,SKA3,MCM10,CDCA2,GPR133,BUB1B,SLC1A1,AGER,UBE2C,GRAMD2,CDC6,CCDC85A,LMO7,CCBE1,C3orf26,CDC20,CAV1,SYNE1,CCNB2,PLK1,ERCC6L,TK1,CENPI,CDK1,KIF4A,TTK,EPR1,PTPN21,RAB11FIP1,CNTN6,KIF20A,CLDN18,H2AFX,RS1,DENND3,FANCI,EXO1,FHL1,DLGAP5,RTKN2,C6orf174,HDAC1,FAM189A2,OIP5,ADRB2,UBE2T,ESYT3,CHEK1,BUB1,CENPA,C11orf9,RAD51,TIMELESS,BLM,EMP2,EPB41L5,LIMCH1,TNS1,POLQ,NCAPH,CDCA3,MYBL2,XRCC2,KIF11,CENPE,OVCH2,PRC1,ARHGAP11A,HJURP"
"hsa-miR-500a-5p","H1F0"
"hsa-miR-200c-3p","MSL3L2"
"hsa-miR-20a-3p","ANP32B"
"hsa-miR-101-3p","SCN1A"
