"ID","Up_regulated"
"hsa-let-7f-5p","CCDC136,DPYSL3,KCNH2,STAC,CAMK2G,CHRDL1,UBXN10,STK33"
"hsa-let-7b-3p","PREP"
"hsa-miR-23b-3p","ZNF560"
"hsa-miR-203a","CCDC89,ADRB3,DPYSL3,EIF4E3,DMGDH,FXYD6,CHRDL1,FERMT2,ANGPTL1,LOC399959,DMC1"
"hsa-miR-200c-3p","CCDC136,NPR2,SLC47A1,FHOD3,DNAJB5,C18orf34,CCDC89,ADRB3,DPYSL3,SPOCK3,EIF4E3,RAB9B,DMGDH,GRK5,BEND6,FXYD6,ANK2,TBX4,IL33,KCNH2,ITSN1,MAP7D3,FAM92A1,PTGIS,STAC,FAM18A,GPR133,CNTFR,GATA5,SMOC1,ATRNL1,ASB2,NEURL1B,TBX5,ANGPT1,DZIP1,HMGCLL1,TSLP,CAV1,FLNA,PLCL1,KCNJ3,LARGE,ADCY5,KCNJ8,LOC284276,MAP1A,PTGS1,JAZF1,TBL1X,KLHL10,SSTR2,NTRK1,CAMK2G,CHRDL1,FERMT2,KCNMB1,ANGPTL1,STARD8,NRK,FOXF2,FLNC,UBXN10,PGM5P2,IRAK3,MKX,C7orf58,FGF2,GSTM5,DTNA,CLIP3,GCOM1,C7,ANKDD1A,RASL12,BHMT2,MAP3K12,HIF3A,MYH11,KIAA1614,TMEM35,LRFN5,AOC3,TTBK1,NELL2,ITGA5,LRRN3,RASGRF2,RNF112,MAMLD1,FAM107A,TMEM200B,SLMAP,FRMD6,SVIL,MYLK,SLIT3,EPHA7,AMPH,SLC8A1,LOC399959,RHOJ,DMC1,C1orf114,C7orf51,GPR161,RGS22,CHN1,PRKCB,STK33,PLCD4,HRH2"
"hsa-miR-330-5p","PRR7"
"hsa-miR-10a-5p","HOXB5,C3orf36,DCAF12L1,C6orf105,AQP2,AKR1B1,LPL,LOC643486,LAPTM4A,PNMT,CYSLTR2,KCNA4,ROS1,LOC100240735,POU3F3,FLJ45983,SLCO2A1,SP6,PAX2,LPCAT2,RHOBTB2,SEMG1,GSTM3,FUT6,SH2D1B,AQPEP,GPX6,PRDM16,PAQR5,FCRLB,SPINK2,VWA5B2,PON3,ZNF185,GRXCR1,SLC34A2,POR,PJA1,KCNQ1,BCMO1,SLC2A9,PALM3,LOC100189589,ACSL6,HOXD3,KLHL14,AMOT,FAM107B,SNAP25,IRF5,PATE3,ACE,EMX2OS,SULT1A2,RIPPLY1,CDO1,CPB2,ACPL2,ERBB4,TWF1,ANO1,CYP4F8,EMX2,FLJ10357,FAM176A,MCF2,POU2F3,PTGES,KRT24,TMEM171,STAC2,TMEM101,KCNS1,CRTAC1,ST6GALNAC4,KCNJ16,FRMD3,AIF1L,GAS2L1,ANXA13,SAG,KCNJ5,PATE1,LHX1,MRO,HOXB6,HOXB7,MUC6,PORCN,C20orf202,SYT9,SERPINA1,PATE4,SIM1,SLC31A2,NFYB,HOXB8,SLC24A4,NDRG4,WWC3,PRPS2,ANXA9,UNC5B,SLC26A3,CA2,FUT3,KIRREL3,PIK3C2G,AJAP1,APOB48R,HOXB9,CES7,LHFPL1,TRPM5,SLC9A1,KCP,QPRT,GLIS3,GRAMD1B,CHEK1,WNT9B,RASL10B,LOC84856,SLC16A12,ABCG2,MFSD2A,C1orf186,CDK18,SERPINA5,LOC100192378,CRYZ,PATE2,SLC41A2,CLU,SLC28A3,PIP,SEMG2,ABHD6,PAQR8,FDX1,PAX8,SULT2A1,PGAP2,PLA2G4A,KCNJ1,TLR2"
"hsa-miR-146b-3p","TSPAN18,TPSG1,ABCC4"
"hsa-miR-103a-3p","EPHA10,TMLHE,DPH2,KAT2A,FAM54B,MST4,MTMR8"
"hsa-miR-152","FLJ45244,MXD3"
