description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj              |genes
Pathways in cancer                                           |hsa05200     |139        |736       |398       |61686         |29.27119974874372  |1.0888199999999997e-164|3.157579999999999e-162|CHUK,FRAT2,ADCY6,CDKN1B,CDKN1A,CDK6,CDK4,CDH1,CDC42,BCL2L11,AKT3,KEAP1,CCNE1,CCND3,CCND2,CCNA2,CBL,CCNE2,CASP3,NCOA1,CAMK2D,PIK3R3,FZD4,FZD1,NCOA3,FZD5,CXCR4,WNT7A,WNT1,VHL,VEGFA,TRAF6,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TCF7,STAT5B,STAT5A,STAT4,STAT3,SP1,SMO,SLC2A1,SKP2,RPS6KB1,BCL2,CCND1,RET,BAK1,RB1,RARB,RAF1,RAD51,RAC1,PTEN,MAP2K1,MAPK9,MAPK1,PRKACB,PPARG,PIK3R2,PIK3CD,PIM1,PDGFRB,PDGFRA,NRAS,NOTCH2,NOTCH1,NFKB1,MYC,MMP9,MMP2,MMP1,MITF,MET,SMAD4,SMAD3,SMAD2,LRP6,RHOA,LAMC2,LAMC1,KRAS,KIT,AR,JAK3,JAK2,JAK1,ITGB1,ITGAV,ITGA3,ITGA6,IL13,IL6R,IL6,IKBKB,IGF1R,IGF1,IFNG,BIRC5,XIAP,BIRC2,HIF1A,HDAC2,GSK3B,GNAI3,GNAI2,MTOR,ALK,ABL1,FOS,FOXO1,FGFR3,FGF2,AKT2,AKT1,MECOM,ETS1,ESR2,ESR1,ERBB2,EPAS1,EGFR,TCF7L1,EDN1,E2F3,E2F2,E2F1,DVL3,DLL4,CTBP2,WNT4,CSF1R,CRK,COL4A2,COL4A1,BBC3
MicroRNAs in cancer                                          |hsa05206     |84         |736       |140       |61686         |50.287499999999994 |6.731669999999999e-125 |9.760929999999997e-123|ZFPM2,SIRT1,DICER1,CDKN1B,CDKN1A,CDK6,CDC25C,CDC25A,PAK4,BCL2L11,HDAC5,ZEB2,HDAC4,CCNG1,CCNE1,CCND2,CCNE2,CASP3,IRS2,PIK3R3,RECK,HMGA2,VIM,EZR,VEGFA,UBE2I,TP53,TIMP3,TGFB2,ZEB1,STAT3,SOX4,BMI1,SHC1,BCL2L2,BCL2,CCND1,BAK1,RAF1,PTEN,MAP2K1,MAPK1,PLAU,PIK3R2,PIK3CD,PIM1,PDGFRB,PDGFRA,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MYC,MMP16,MMP9,MET,MCL1,MARCKS,RHOA,STMN1,KRAS,ITGB3,IRS1,IKBKB,HDAC2,hsa-let-7c,MTOR,ABL1,FGFR3,EZH2,ERBB3,ERBB2,BMF,EGFR,E2F3,E2F2,E2F1,DNMT3B,DNMT3A,DNMT1,DDIT4,CRK,PDCD4
Proteoglycans in cancer                                      |hsa05205     |73         |736       |160       |61686         |38.239453125000004 |2.0347499999999994e-96 |1.9669299999999997e-94|RRAS2,CDKN1A,CDC42,AKT3,CBL,CAV1,CASP3,CAMK2D,PIK3R3,FZD4,FZD1,FZD5,WNT7A,WNT1,EZR,VEGFA,ACTG1,TWIST1,TP53,TNF,TLR2,TIMP3,TIAM1,TGFB2,TGFB1,STAT3,SRC,SMO,SLC9A1,RPS6KB1,CCND1,RAF1,RAC1,PXN,MAP2K1,MAPK1,PRKACB,PLAU,PIK3R2,PIK3CD,PAK1,NRAS,MYC,MMP9,MMP2,MET,SMAD2,RHOA,KRAS,KDR,ITPR1,ITGB3,ITGB1,ITGAV,IGF1R,IGF1,HIF1A,GPC3,MTOR,FGF2,AKT2,AKT1,ESR1,ERBB3,ERBB2,EGFR,HBEGF,WNT4,MAPK14,PLCE1,PDCD4,COL1A2,COL1A1
PI3K-Akt signaling pathway                                   |hsa04151     |82         |736       |240       |61686         |28.635937499999997 |1.6439699999999996e-95 |1.1918799999999999e-93|CHUK,PHLPP1,PHLPP2,CDKN1B,CDKN1A,CDK6,CDK4,BCL2L11,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNE2,PIK3R3,YWHAG,VEGFA,TP53,TLR2,BDNF,RPS6KB1,BCL2,CCND1,RAF1,RAC1,PTEN,MAP2K1,MAPK1,PPP2R2A,PPP2CB,PIK3R2,PIK3CG,PIK3CD,PDGFRB,PDGFRA,NTRK2,NRAS,NFKB1,MYC,MYB,MET,MCL1,LAMC2,LAMC1,KRAS,KIT,KDR,JAK3,JAK2,JAK1,ITGB3,ITGB1,ITGAV,ITGA3,IRS1,ITGA6,INSR,IL6R,IL6,IKBKB,IGF1R,IGF1,GSK3B,MTOR,FOXO3,FGFR3,FGF2,AKT2,AKT1,ERBB3,ERBB2,EIF4EBP1,EIF4E,EGFR,DDIT4,CSF1R,CSF1,CREB1,COL4A2,COL4A1,COL1A2,COL1A1
Human papillomavirus infection                               |hsa05165     |77         |736       |203       |61686         |31.79094827586207  |6.770109999999998e-94  |3.926659999999999e-92 |CHUK,CDKN1B,CDKN1A,CDK6,CDK4,CDC42,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNA2,CCNE2,CASP3,TRADD,PIK3R3,FZD4,FZD1,FZD5,WNT7A,WNT1,VEGFA,TP53,TNF,TCF7,RPS6KB1,CCND1,BAK1,RB1,RAF1,PXN,PTEN,ATR,MAP2K1,MAPK1,PRKACB,PPP2R2A,PPP2CB,PKM,PIK3R2,PIK3CD,PDGFRB,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MX1,LFNG,LAMC2,LAMC1,KRAS,JAK1,ITGB3,ITGB1,ITGAV,ITGA3,ITGA6,IKBKB,HLA-G,HDAC2,GSK3B,MTOR,FOXO1,AKT2,AKT1,EIF4EBP1,EGFR,TCF7L1,E2F1,DVL3,WNT4,CREB1,COL4A2,COL4A1,COL1A2,COL1A1
Cellular senescence                                          |hsa04218     |58         |736       |120       |61686         |40.509375          |1.3222499999999996e-78 |6.390869999999998e-77 |SIRT1,CHEK1,RRAS2,CDKN1A,CDK6,TRAF3IP2,CDK4,CDC25A,AKT3,CCNE1,CCND3,CCND2,CCNB1,CCNA2,CCNE2,BTRC,PIK3R3,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,CCND1,RB1,RAF1,PTEN,ATR,MAP2K1,MAPK1,PIK3R2,PIK3CD,SERPINE1,ATM,NRAS,NFKB1,NFATC3,MYC,MYBL2,SMAD3,SMAD2,KRAS,ITPR1,IL6,HLA-G,MTOR,FOXO3,FOXO1,FOXM1,AKT2,AKT1,ETS1,EIF4EBP1,E2F5,E2F3,E2F2,E2F1,MAPK14,HIPK2
Human cytomegalovirus infection                              |hsa05163     |64         |736       |175       |61686         |30.65142857142857  |7.543279999999997e-77  |3.1250699999999993e-75|CHUK,ADCY6,CDKN1A,CDK6,CDK4,AKT3,CREB5,CASP3,TRADD,PIK3R3,CXCR4,VEGFA,TP53,TNF,STAT3,SRC,SP1,CCL5,CCL4,CCL2,RPS6KB1,CCND1,BAK1,RB1,RAF1,RAC1,PXN,MAP2K1,MAPK1,PRKACB,PIK3R2,PIK3CD,PDGFRA,NRAS,NFKB1,NFATC3,MYC,RHOA,KRAS,JAK1,ITPR1,ITGB3,ITGAV,IL10RA,CXCR2,IL6R,IL6,IKBKB,HLA-G,GSK3B,GNAI3,GNAI2,MTOR,AKT2,PTK2B,AKT1,EIF4EBP1,EGFR,E2F3,E2F2,E2F1,MAPK14,CRK,CREB1
Breast cancer                                                |hsa05224     |53         |736       |103       |61686         |43.126820388349515 |7.680339999999998e-74  |2.7841199999999996e-72|FRAT2,CDKN1A,CDK6,CDK4,AKT3,NCOA1,PIK3R3,FZD4,FZD1,NCOA3,FZD5,WNT7A,WNT1,TP53,TCF7,SP1,SHC1,RPS6KB1,CCND1,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,NOTCH2,NOTCH1,MYC,LRP6,KRAS,KIT,IGF1R,IGF1,GSK3B,MTOR,FOS,FGF2,AKT2,AKT1,ESR2,ESR1,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,DVL3,DLL4,WNT4
Human T-cell leukemia virus 1 infection                      |hsa05166     |61         |736       |167       |61686         |30.614146706586823 |3.11563e-73            |1.0039299999999998e-71|CHUK,ADCY6,CHEK1,CDKN1A,CDK4,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNA2,CCNE2,NRP1,PIK3R3,TP53,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT5B,STAT5A,SLC2A1,CCND1,RB1,PTEN,ATR,MAP2K1,MAPK9,MAPK1,PRKACB,PIK3R2,PIK3CD,ATM,NRAS,NFKB1,NFATC3,MYC,SMAD4,SMAD3,SMAD2,MAD2L1,KRAS,JAK3,JAK1,IL6,IKBKB,XIAP,ICAM1,HLA-G,FOS,AKT2,AKT1,ETS1,EGR1,TLN2,E2F3,E2F2,E2F1,VAC14,CREB1
Gastric cancer                                               |hsa05226     |53         |736       |106       |61686         |41.90625           |6.12071e-73            |1.7750099999999996e-71|FRAT2,CDX2,CDKN1B,CDKN1A,CDH1,AKT3,CCNE1,CCNE2,PIK3R3,FZD4,FZD1,FZD5,WNT7A,WNT1,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TCF7,SHC1,RPS6KB1,BCL2,CCND1,BAK1,RB1,RARB,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,MYC,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,GSK3B,MTOR,FGF2,AKT2,AKT1,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,DVL3,WNT4
