KEGG pathway;p-value;#genes;#miRNAs
Protein processing in endoplasmic reticulum;2.3766286198e-14;140;48
Proteoglycans in cancer;1.35201061766e-13;155;48
Cell cycle;2.00582066711e-13;105;46
Viral carcinogenesis;2.95733988118e-11;155;46
Renal cell carcinoma;1.73396348317e-10;59;45
Adherens junction;2.92344938851e-09;62;47
Ubiquitin mediated proteolysis;4.45733958236e-09;111;47
Pathways in cancer;1.26971248525e-06;275;49
Chronic myeloid leukemia;1.28608283717e-06;61;47
Lysine degradation;6.07690653693e-06;38;44
Hippo signaling pathway;6.07690653693e-06;105;47
Endocytosis;6.07690653693e-06;151;48
Prostate cancer;9.99591999164e-06;72;46
Colorectal cancer;2.04174815076e-05;52;44
Pancreatic cancer;2.04793951096e-05;54;44
Focal adhesion;2.61331768835e-05;151;48
Thyroid hormone signaling pathway;3.29414100611e-05;88;47
Glioma;4.04043724442e-05;50;47
RNA transport;4.52310890194e-05;125;49
Non-alcoholic fatty liver disease (NAFLD);6.05098409637e-05;112;47
TNF signaling pathway;8.27836615989e-05;80;47
N-Glycan biosynthesis;0.000103752230119;36;36
p53 signaling pathway;0.000103752230119;55;45
Transcriptional misregulation in cancer;0.000103752230119;120;45
Axon guidance;0.000104100612479;91;45
FoxO signaling pathway;0.000146240603209;98;46
mTOR signaling pathway;0.000198760957053;49;45
TGF-beta signaling pathway;0.000202186492332;58;44
Other types of O-glycan biosynthesis;0.000301925485391;22;31
Neurotrophin signaling pathway;0.000321777917816;89;47
Non-small cell lung cancer;0.00033609867227;45;45
Hepatitis B;0.000345376840549;98;46
Epstein-Barr virus infection;0.000375610920019;144;48
Oocyte meiosis;0.000464641521624;79;47
Small cell lung cancer;0.000528808099757;66;47
Glycosaminoglycan biosynthesis - keratan sulfate;0.000671518860396;11;25
Spliceosome;0.000671518860396;97;47
Bladder cancer;0.000991414297802;32;43
Thyroid cancer;0.00145814529224;24;40
ErbB signaling pathway;0.00145814529224;63;48
NF-kappa B signaling pathway;0.0015205379579;57;45
Estrogen signaling pathway;0.00158740979942;70;47
Central carbon metabolism in cancer;0.00169299226696;51;46
Prion diseases;0.00190081031337;19;39
Shigellosis;0.00190081031337;47;44
Phosphatidylinositol signaling system;0.00196504919478;59;44
Sphingolipid signaling pathway;0.00222628360783;83;46
Wnt signaling pathway;0.00224740005653;98;45
mRNA surveillance pathway;0.00261636516667;68;46
Bacterial invasion of epithelial cells;0.00273163063411;54;45
Endometrial cancer;0.00290311475898;40;46
Alzheimer's disease;0.00348207368455;115;47
2-Oxocarboxylic acid metabolism;0.00693234233806;12;17
Signaling pathways regulating pluripotency of stem cells;0.00768425806753;96;48
HIF-1 signaling pathway;0.0125802511024;75;48
Acute myeloid leukemia;0.0127431130742;42;44
Notch signaling pathway;0.0133281306608;37;41
Inositol phosphate metabolism;0.0135853233354;44;41
RNA degradation;0.0150070847899;57;47
MAPK signaling pathway;0.0156186056283;167;48
Regulation of actin cytoskeleton;0.0156186056283;138;48
HTLV-I infection;0.0158559578219;171;48
Huntington's disease;0.0181054428269;123;46
Lysosome;0.0184035823653;81;44
Fc gamma R-mediated phagocytosis;0.018824621114;64;44
VEGF signaling pathway;0.0191238793007;45;42
Citrate cycle (TCA cycle);0.0214090999126;23;27
Pyrimidine metabolism;0.0214090999126;72;40
Nucleotide excision repair;0.0231525315729;33;38
Choline metabolism in cancer;0.0275768130463;70;44
Chagas disease (American trypanosomiasis);0.0335842738626;69;45
Steroid biosynthesis;0.0384110643921;13;28
Epithelial cell signaling in Helicobacter pylori infection;0.0405341621484;48;42
Pathogenic Escherichia coli infection;0.0406382170171;40;43
