description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Pathways in cancer                                           |hsa05200     |203        |1355      |414       |61686         |22.32250922509225  |1.1300899999999993e-222|3.4467599999999978e-220|CKS2,CHUK,CDKN2A,CDKN1B,CDKN1A,CDK6,CDK4,TXNRD2,CDH1,CDC42,RASGRP1,BCL2L11,AKT3,ROCK2,CCNE1,CCND3,CCND2,CCNA2,CCNE2,RUNX1,CASP9,CASP8,CASP7,CASP3,FADD,NCOA1,CAMK2D,PIK3R3,CUL2,FZD7,FZD6,FZD4,FZD1,AXIN2,NCOA3,CXCR4,WNT7A,WNT2,WNT1,VHL,VEGFA,TRAF6,TRAF5,TPM3,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRCA2,BRAF,TCF7,STAT5B,STAT3,STAT1,BMP4,SPI1,SP1,BMP2,SOS1,SMO,SLC2A1,SKP2,CXCL12,RXRA,RPS6KB1,BCL2,CCND1,ROCK1,BAX,RET,RELA,BAK1,RB1,RARB,RARA,RAF1,RAD51,RAC1,PTGS2,PTEN,PTCH1,MAP2K1,MAPK9,MAPK1,PPARG,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,NRAS,NOTCH4,NOTCH2,NOTCH1,NOS2,NFKBIA,NFKB1,NFE2L2,MYC,MSH3,MSH2,MMP9,MMP2,MMP1,MLH1,MET,MDM2,SMAD4,SMAD3,SMAD2,LRP6,RHOA,LAMC2,LAMC1,KRAS,KIT,AR,JUN,JAK3,JAK2,JAK1,ITGB1,ITGAV,FASLG,ITGA3,FAS,ITGA6,IL13,IL12A,CXCL8,IL7,IL6R,IL6,IL4,IL2,IKBKB,IGF2,IGF1R,IGF1,IFNG,BIRC5,XIAP,BIRC2,HSP90AA1,APC,HRAS,APAF1,HIF1A,HGF,HDAC2,HDAC1,MSH6,GSK3B,GRB2,GNAI2,GLI3,MTOR,ABL1,FOS,FN1,FOXO1,FH,FGFR3,FGFR1,FGF9,FGF5,FGF2,AKT2,AKT1,MECOM,EGLN3,ETS1,ESR2,ESR1,ERBB2,EPAS1,AGTR1,EGFR,JAG1,TCF7L1,EDN1,WNT10A,E2F3,E2F2,E2F1,DVL3,DAPK3,EGLN1,DLL4,WNT4,SUFU,CSF1R,LEF1,CRKL,CRK,DLL1,COL4A2,COL4A1
MicroRNAs in cancer                                          |hsa05206     |117        |1355      |150       |61686         |35.50928413284132  |5.289909999999999e-164 |8.067109999999998e-162 |ZFPM2,SIRT1,DICER1,CDKN2A,CDKN1B,CDKN1A,CDK6,IGF2BP1,CDC25A,PAK4,SPRY2,CD44,BCL2L11,HDAC5,ZEB2,HDAC4,KIF23,CCNE1,CCND2,CCNE2,CASP3,IRS2,SOCS1,TP63,PIK3R3,RECK,HMGA2,VIM,EZR,VEGFA,UBE2I,TPM1,TP53,TIMP3,THBS1,TGFB2,ZEB1,BRCA1,STAT3,BMPR2,SOX4,SOS1,BMI1,FSCN1,SHC1,BCL2L2,BCL2,CCND1,ROCK1,BAK1,RDX,RAF1,PTGS2,PTEN,MAP2K1,MAPK7,MAPK1,PRKCE,PIK3R2,PIK3R1,PIK3CD,PIK3CA,SERPINB5,ABCB1,PDGFRB,PDGFRA,PDGFB,PDGFA,ATM,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB1,MYC,ABCC1,MMP16,MMP9,MET,MDM4,MDM2,MCL1,MARCKS,RHOA,STMN1,KRAS,ITGB3,ITGA5,IRS1,IKBKB,APC,HRAS,HOXD10,HNRNPK,HDAC2,HDAC1,GRB2,MTOR,ABL1,FGFR3,TRIM71,EZH2,ERBB3,ERBB2,SLC45A3,EGFR,E2F3,E2F2,E2F1,DNMT3B,DNMT3A,DNMT1,DDIT4,CRKL,CRK,PDCD4,FOXP1
PI3K-Akt signaling pathway                                   |hsa04151     |123        |1355      |253       |61686         |22.13257296209326  |1.9644799999999993e-133|1.9972199999999996e-131|CHUK,PHLPP1,PHLPP2,CDKN1B,CDKN1A,CDK6,CDK4,BCL2L11,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNE2,CASP9,PIK3R3,TCL1A,YWHAZ,VEGFA,TP53,TLR4,TLR2,THBS1,TEK,BRCA1,STK11,SOS1,BDNF,RXRA,RPS6KB1,BCL2,CCND1,RELA,RBL2,RAF1,RAC1,PTEN,MAP2K1,MAPK1,PRKAA2,PRKAA1,PPP2R5E,PPP2R2A,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,NTRK2,NTF3,NRAS,NFKB1,MYC,MYB,MET,MDM2,MCL1,LAMC2,LAMC1,KRAS,KIT,KDR,JAK3,JAK2,JAK1,ITGB8,ITGB3,ITGB1,ITGAV,FASLG,ITGA7,ITGA5,ITGA3,IRS1,ITGA6,INSR,IL7,IL6R,IL6,IL4,IL2,IKBKB,IGF2,IGF1R,IGF1,IFNB1,HSP90AA1,HRAS,HGF,ANGPT2,GSK3B,GRB2,MTOR,FN1,FLT1,FOXO3,FGFR3,FGFR1,FGF9,FGF5,FGF2,AKT2,AKT1,ERBB4,ERBB3,ERBB2,EIF4EBP1,EIF4E,EPHA2,EGFR,PDGFC,DDIT4,CSF1R,CSF1,CREB1,COL4A2,COL4A1,COL1A2,COL1A1
Proteoglycans in cancer                                      |hsa05205     |101        |1355      |168       |61686         |27.369030047443335 |1.4643799999999997e-122|1.1165899999999997e-120|CDKN1A,CDC42,CD44,AKT3,ROCK2,CAV1,CASP3,CAMK2D,PIK3R3,FZD7,FZD6,FZD4,FZD1,WNT7A,WNT2,WNT1,EZR,VEGFA,ACTG1,TWIST1,TP53,TNF,TLR4,TLR2,TIMP3,TIAM1,THBS1,TGFB2,TGFB1,BRAF,STAT3,SRC,SOS1,SMO,SLC9A1,SDC1,ACTB,RPS6KB1,CCND1,ROCK1,RDX,RAF1,RAC1,PXN,PTCH1,MAP2K1,MAPK1,PPP1CC,PLAUR,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PAK1,NRAS,MYC,MSN,MMP9,MMP2,MET,MDM2,SMAD2,RHOA,KRAS,KDR,ITPR1,ITGB3,ITGB1,ITGAV,FASLG,ITGA5,FAS,IGF2,IGF1R,IGF1,HSPB2,HRAS,HOXD10,HIF1A,HGF,ANK3,GRB2,MTOR,FN1,FGFR1,FGF2,AKT2,AKT1,ESR1,ERBB4,ERBB3,ERBB2,EGFR,WNT10A,NANOG,WNT4,MAPK14,PLCE1,PDCD4,COL1A2,COL1A1
MAPK signaling pathway                                       |hsa04010     |109        |1355      |217       |61686         |22.867257299301105 |2.8738399999999994e-120|1.7530399999999998e-118|CHUK,DUSP10,MAP3K2,CDC42,TAB1,RASGRP1,AKT3,MAPK8IP1,MAP4K4,RPS6KA4,CASP3,MAP4K3,CACNB3,MAP3K12,VEGFA,TRAF6,TP53,TNF,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,TEK,BRAF,MAP3K7,SOS1,BDNF,MAP2K4,RELA,RASA1,RAP1B,RAF1,RAC1,PTPN7,MAP2K6,MAP2K3,MAP2K1,MAPK9,MAPK7,MAPK1,PPP3CA,PPM1B,PDGFRB,PDGFRA,PDGFB,PDGFA,PAK1,NTRK2,NTF3,NRAS,NFKB1,NFATC3,NFATC1,NF1,MYD88,MYC,MAP3K11,MET,MAP3K5,MEF2C,STMN1,KRAS,KIT,KDR,PLA2G4B,JUND,JUN,FASLG,FAS,IRAK1,INSR,IL1B,IKBKB,IGF2,IGF1R,IGF1,HRAS,HGF,ANGPT2,GRB2,FOS,FLT1,FGFR3,FGFR1,FGF9,FGF5,FGF2,AKT2,AKT1,MECOM,ERBB4,ERBB3,ERBB2,EPHA2,EGFR,DUSP5,DUSP4,DUSP2,DUSP1,PDGFC,DAXX,NLK,CSF1R,CSF1,MAPK14,CRKL,CRK,MAP3K8
Human papillomavirus infection                               |hsa05165     |106        |1355      |211       |61686         |22.87024011472342  |5.78705e-117           |2.9417499999999997e-115|CHUK,CDKN1B,CDKN1A,CDK6,CDK4,CDC42,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNA2,CCNE2,CASP8,CASP3,FADD,PIK3R3,FZD7,FZD6,FZD4,FZD1,AXIN2,WNT7A,WNT2,WNT1,VEGFA,TP53,TNF,TLR3,THBS1,TCF7,STAT1,SOS1,RPS6KB1,CCND1,BAX,RELA,BAK1,RBL2,RBL1,RB1,RAF1,PXN,PTGS2,PTEN,ATR,MAP2K1,MAPK1,PPP2R5E,PPP2R2A,PKM,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PDGFRB,ATM,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB1,MX1,MDM2,LFNG,LAMC2,LAMC1,KRAS,JAK1,ITGB8,ITGB3,ITGB1,ITGAV,FASLG,ITGA7,ITGA5,ITGA3,FAS,ITGA6,IKBKB,IFNB1,APC,HRAS,HLA-G,HDAC2,HDAC1,GSK3B,GRB2,MTOR,FN1,FOXO1,AKT2,AKT1,EIF4EBP1,EGFR,JAG1,TCF7L1,WNT10A,E2F1,DVL3,WNT4,CREB1,COL4A2,COL4A1,COL1A2,COL1A1
Hepatitis B                                                  |hsa05161     |85         |1355      |141       |61686         |27.443982099395463 |2.4050199999999997e-103|1.0479e-101            |DDX58,CHUK,CDKN1A,TAB1,AKT3,CREB5,CCNE1,CCNA2,CCNE2,CASP9,CASP8,CASP3,FADD,PIK3R3,YWHAZ,TRAF6,TP53,TNF,TLR4,TLR3,TLR2,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,MAP3K7,STAT5B,STAT3,STAT1,SRC,SOS1,MAP2K4,BCL2,BAX,RELA,RB1,RAF1,MAP2K6,MAP2K3,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,NRAS,NFKBIA,NFKB1,NFATC3,NFATC1,MYD88,MYC,MMP9,SMAD4,SMAD3,KRAS,JUN,JAK3,JAK2,JAK1,FASLG,FAS,IRAK1,CXCL8,IL6,IKBKB,IFNB1,BIRC5,HRAS,APAF1,GRB2,TICAM2,FOS,AKT2,AKT1,TIRAP,EGR2,E2F3,E2F2,E2F1,MAPK14,CREB1
Breast cancer                                                |hsa05224     |76         |1355      |112       |61686         |30.89177648919346  |1.5420799999999997e-98 |5.879189999999998e-97  |CDKN1A,CDK6,CDK4,AKT3,NCOA1,TNFSF11,PIK3R3,FZD7,FZD6,FZD4,FZD1,AXIN2,NCOA3,WNT7A,WNT2,WNT1,TP53,BRCA2,BRAF,TCF7,BRCA1,SP1,SOS1,SHC1,RPS6KB1,CCND1,BAX,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PGR,NRAS,NOTCH4,NOTCH2,NOTCH1,MYC,LRP6,KRAS,KIT,JUN,IGF1R,IGF1,APC,HRAS,GSK3B,GRB2,MTOR,FOS,FGFR1,FGF9,FGF5,FGF2,AKT2,AKT1,ESR2,ESR1,ERBB2,EGFR,JAG1,TCF7L1,WNT10A,E2F3,E2F2,E2F1,DVL3,DLL4,WNT4,LEF1,DLL1
Human cytomegalovirus infection                              |hsa05163     |87         |1355      |177       |61686         |22.37655888423291  |5.997559999999999e-95  |2.0325099999999997e-93 |CHUK,CDKN2A,CDKN1A,CDK6,CDK4,AKT3,CREB5,ROCK2,CASP9,CASP8,CASP3,FADD,PIK3R3,CXCR4,VEGFA,TRAF5,TP53,TNF,TAP1,STAT3,SRC,SP1,SOS1,CXCL12,CCL5,CCL4,RPS6KB1,CCND1,ROCK1,BAX,RELA,BAK1,RB1,RAF1,RAC1,PXN,PTGS2,MAP2K6,MAP2K1,MAPK1,PPP3CA,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PDGFRA,NRAS,NFKBIA,NFKB1,NFATC3,NFATC1,MYC,MDM2,RHOA,KRAS,JAK1,ITPR1,ITGB3,ITGAV,FASLG,FAS,IL10RA,CXCR2,CXCL8,IL6R,IL6,IL1B,IKBKB,IFNB1,HRAS,HLA-G,GSK3B,GRB2,GNAI2,MTOR,AKT2,AKT1,EIF4EBP1,EGFR,E2F3,E2F2,E2F1,MAPK14,CRKL,CRK,CREB1,CCR1
Cellular senescence                                          |hsa04218     |75         |1355      |125       |61686         |27.314833948339484 |4.919669999999999e-91  |1.5004999999999997e-89 |SIRT1,CHEK1,CDKN2A,CDKN1A,CDK6,TRAF3IP2,CDK4,CDC25A,HIPK3,AKT3,CCNE1,CCND3,CCND2,CCNA2,CCNE2,BTRC,PIK3R3,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,CCND1,RELA,RBL2,RBL1,RBBP4,RB1,RAF1,PTEN,ATR,MAP2K6,MAP2K3,MAP2K1,MAPK1,PPP3CA,PPP1CC,PIK3R2,PIK3R1,PIK3CD,PIK3CA,SERPINE1,ATM,NRAS,NFKB1,NFATC3,NFATC1,MYC,MDM2,SMAD3,SMAD2,KRAS,ITPR1,CXCL8,IL6,IGFBP3,HRAS,HLA-G,GATA4,MTOR,HIPK1,FOXO3,FOXO1,FOXM1,AKT2,AKT1,ETS1,EIF4EBP1,E2F5,E2F3,E2F2,E2F1,MAPK14,HIPK2
