description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Pathways in cancer                                           |hsa05200     |217        |1493      |418       |61686         |21.449158272897126 |5.7028899999999975e-236|1.7735999999999992e-233|CKS2,CHUK,FRAT2,ADCY1,CDKN2B,CDKN2A,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,TXNRD2,CDH1,CDC42,RASGRP1,BCL2L11,AKT3,KEAP1,ROCK2,CCNE1,CCND3,CCND2,CCNA2,RPS6KA5,CCNE2,RUNX1,CASP9,CASP8,CASP7,CASP3,FADD,NCOA1,CAMK2D,FZD7,FZD6,FZD4,AXIN2,NCOA3,FZD5,CXCR4,PAX8,WNT10B,WNT7A,WNT1,VHL,VEGFC,VEGFA,TRAF6,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,TCF7,STAT6,STAT5B,STAT5A,STAT4,STAT3,STAT1,SPI1,SP1,BMP2,SLC2A1,SKP2,CXCL12,RXRA,RPS6KB1,BCL2L1,BCL2,CCND1,ROCK1,BAX,RET,RELA,RB1,RARB,RARA,RAF1,RAD51,RAC1,PTGS2,PTGER4,PTEN,PTCH1,MAP2K1,MAPK9,MAPK1,PRKCA,PRKACB,PPARG,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PDGFRB,PDGFRA,PDGFB,PDGFA,NRAS,NOTCH4,NOTCH2,NOTCH1,NOS2,NKX3-1,NFKB2,NFKB1,NFE2L2,MYC,MSH2,MMP9,MMP2,MLH1,MITF,MET,ARNT,MDM2,SMAD4,SMAD3,SMAD2,LRP6,RHOA,LAMC2,LAMC1,KRAS,KIT,AR,JUN,JAK2,JAK1,ITGB1,ITGAV,FASLG,ITGA3,ITGA6,IL13RA1,IL13,IL12B,IL12A,CXCL8,IL7,IL6R,IL6,IL4,IL2,IKBKB,IGF2,IGF1R,IGF1,IFNGR1,IFNG,BIRC5,XIAP,APC,HES1,HRAS,APAF1,HMOX1,HIF1A,HGF,HDAC1,MSH6,GSK3B,GRB2,GLI3,MTOR,ABL1,FOS,FN1,FOXO1,FGFR3,FGFR1,FGF9,FGF7,FGF2,AKT2,AKT1,MECOM,EGLN3,ETS1,ESR2,ESR1,ERBB2,WNT3A,EPAS1,AGTR1,EGFR,JAG1,TCF7L1,EDNRA,EDN1,LPAR1,WNT10A,E2F3,E2F2,E2F1,DVL2,DVL1,DAPK3,DAPK1,EGLN1,DLL4,CTNNB1,CTBP2,WNT4,SUFU,CSF1R,LEF1,CRKL,CRK,DLL1,COL4A2,COL4A1,BBC3
MicroRNAs in cancer                                          |hsa05206     |121        |1493      |152       |61686         |32.89035675256461  |2.1002699999999996e-166|3.265909999999999e-164 |ZFPM2,SIRT1,DICER1,CDKN2A,CDKN1B,CDKN1A,CDK6,IGF2BP1,CDC25C,CDC25B,CDC25A,PAK4,SPRY2,CD44,BCL2L11,ZEB2,HDAC4,CCNG1,CCNE1,CCND2,RPS6KA5,CCNE2,CASP3,SOCS1,TP63,RECK,HMGA2,VIM,VEGFA,UBE2I,TPM1,TP53,TIMP3,THBS1,TGFB2,ZEB1,BRCA1,STAT3,ST14,BMPR2,SOX4,BMI1,FSCN1,SHC1,BCL2,CCND1,ROCK1,RAF1,PTGS2,PTEN,MAP2K1,MAPK7,MAPK1,PRKCA,PLAU,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,SERPINB5,ABCB1,PDGFRB,PDGFRA,PDGFB,PDGFA,ATM,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB1,MYC,ABCC1,MMP16,MMP9,MET,MDM4,MDM2,MCL1,MARCKS,RHOA,STMN1,KRAS,ITGB3,ITGA5,IRS1,IKBKB,APC,HRAS,HNRNPK,HMOX1,HDAC1,MIRLET7D,hsa-let-7c,GRB2,MTOR,ABL1,FGFR3,TRIM71,EZH2,ERBB3,ERBB2,BMF,WNT3A,SLC45A3,EGFR,E2F3,E2F2,E2F1,DNMT3B,DNMT3A,DNMT1,RPTOR,CYP1B1,DDIT4,CRKL,CRK,PDCD4,GLS2,FOXP1
PI3K-Akt signaling pathway                                   |hsa04151     |125        |1493      |254       |61686         |20.33307666749292  |4.130169999999999e-131 |4.281609999999998e-129 |SGK3,CHUK,PHLPP1,PHLPP2,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,BCL2L11,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNE2,CASP9,TCL1A,YWHAZ,YWHAG,VEGFC,VEGFA,TSC1,TP53,TLR4,TLR2,THBS4,THBS2,THBS1,BRCA1,STK11,BDNF,RXRA,RPS6KB1,BCL2L1,BCL2,CCND1,RHEB,RELA,RBL2,RAF1,RAC1,PTEN,MAP2K1,MAPK1,PKN2,PRKCA,PRKAA2,PRKAA1,PPP2R2A,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CB,PDGFRB,PDGFRA,PDGFB,PDGFA,NTRK2,NTF3,NRAS,NOS3,NFKB1,MYC,MYB,MET,MDM2,MCL1,LAMC2,LAMC1,KRAS,KIT,KDR,JAK2,JAK1,ITGB8,ITGB4,ITGB3,ITGB1,ITGAV,FASLG,ITGA5,ITGA3,IRS1,ITGA6,IL7,IL6R,IL6,IL4,IL2,IKBKB,IGF2,IGF1R,IGF1,IFNB1,HRAS,HGF,GSK3B,GRB2,MTOR,FN1,FOXO3,FGFR3,FGFR1,FGF9,FGF7,FGF2,AKT2,AKT1,ERBB4,ERBB3,ERBB2,EIF4E,EGFR,LPAR1,RPTOR,PDGFC,DDIT4,CSF1R,CREB1,COL4A2,COL4A1,COL1A2,COL1A1
MAPK signaling pathway                                       |hsa04010     |115        |1493      |216       |61686         |21.997376646572892 |6.451129999999999e-126 |5.0157599999999985e-124|CHUK,TAB2,RRAS2,DUSP10,MAP3K2,CDC42,CDC25B,RASGRP1,AKT3,RAPGEF2,MAP4K4,RPS6KA5,MAP3K14,RPS6KA4,CASP3,TRADD,CACNB3,CACNA1C,MAP3K12,VEGFC,VEGFA,TRAF6,TP53,TNF,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,STK3,SRF,BDNF,MAP2K4,RPS6KA3,RELA,RASA1,RAP1B,RAF1,RAC1,PTPN7,MAP2K6,MAP2K3,MAP2K1,MAPK13,MAPK9,MAPK7,MAPK1,PRKCA,PRKACB,PPM1B,PDGFRB,PDGFRA,PDGFB,PDGFA,PAK2,PAK1,NTRK2,NTF3,NRAS,NFKB2,NFKB1,NFATC3,NFATC1,NF1,MYD88,MYC,MET,MAP3K5,MAP3K4,MAP3K1,MEF2C,STMN1,KRAS,KIT,KDR,JUN,FASLG,IRAK1,IL1B,IL1A,IKBKB,IGF2,IGF1R,IGF1,HSPA1B,HRAS,HGF,GRB2,FOS,FGFR3,FGFR1,FGF9,FGF7,FGF2,AKT2,AKT1,MECOM,ERBB4,ERBB3,ERBB2,EGFR,DUSP5,DUSP4,DUSP2,DUSP1,PDGFC,DAXX,NLK,CSF1R,MAPK14,IRAK4,CRKL,CRK,MAP3K8
Human papillomavirus infection                               |hsa05165     |114        |1493      |214       |61686         |22.00989039192243  |7.357279999999998e-125 |4.576229999999999e-123 |CHUK,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CDC42,AKT3,IKBKE,CREB5,CCNE1,CCND3,CCND2,CCNA2,CCNE2,CASP8,CASP3,FADD,TRADD,FZD7,FZD6,FZD4,AXIN2,FZD5,WNT10B,WNT7A,WNT1,VEGFA,TSC1,TP53,TNF,TLR3,THBS4,THBS2,THBS1,TCF7,STAT1,RPS6KB1,CCND1,RHEB,BAX,RELA,RBL2,RBL1,RB1,RAF1,PXN,PTGS2,PTGER4,PTEN,ATR,MAP2K1,MAPK1,PRKACB,PPP2R2A,PKM,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PDGFRB,ATM,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB1,MDM2,LAMC2,LAMC1,KRAS,JAK1,ITGB8,ITGB4,ITGB3,ITGB1,ITGAV,FASLG,ITGA5,ITGA3,ITGA6,IKBKB,IFNB1,APC,HES1,HRAS,HLA-G,HDAC1,GSK3B,GRB2,MTOR,FN1,TICAM1,FOXO1,AKT2,AKT1,WNT3A,EGFR,JAG1,TCF7L1,WNT10A,E2F1,DVL2,DVL1,PALS1,CTNNB1,WNT4,CSNK1A1,CREB1,TBK1,COL4A2,COL4A1,COL1A2,COL1A1
Proteoglycans in cancer                                      |hsa05205     |98         |1493      |168       |61686         |24.101473543201607 |7.930469999999998e-113 |4.110629999999999e-111 |RRAS2,CDKN1A,CDC42,CD44,AKT3,ROCK2,CAV1,CASP3,CAMK2D,FZD7,FZD6,FZD4,FZD5,WNT10B,WNT7A,WNT1,VEGFA,VAV2,TWIST1,TP53,TNF,TLR4,TLR2,TIMP3,TIAM1,THBS1,TGFB2,TGFB1,BRAF,STAT3,SRC,SLC9A1,SDC1,RPS6KB1,CCND1,ROCK1,RAF1,RAC1,PXN,PTCH1,MAP2K1,MAPK13,MAPK1,PRKCA,PRKACB,PPP1CC,PLAU,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PAK1,NRAS,MYC,MMP9,MMP2,MET,MDM2,SMAD2,RHOA,KRAS,KDR,ITGB3,ITGB1,ITGAV,FASLG,ITGA5,IL12B,IGF2,IGF1R,IGF1,HRAS,HIF1A,HGF,ANK3,GRB2,GPC1,MTOR,FN1,FGFR1,FGF2,AKT2,AKT1,ESR1,ERBB4,ERBB3,ERBB2,WNT3A,EGFR,WNT10A,NANOG,CTNNB1,WNT4,MAPK14,PLCE1,PDCD4,COL1A2,COL1A1
Hepatitis B                                                  |hsa05161     |90         |1493      |141       |61686         |26.37243305639082  |6.290879999999999e-109 |2.794949999999999e-107 |CHUK,TAB2,CDKN1A,CDK2,AKT3,IKBKE,CREB5,CCNE1,CCNA2,CCNE2,CASP9,CASP8,CASP3,FADD,YWHAZ,TRAF6,TP53,TNF,TLR4,TLR3,TLR2,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,STAT6,STAT5B,STAT5A,STAT4,STAT3,STAT1,SRC,MAP2K4,BCL2,BAX,RELA,RB1,RAF1,MAP2K6,MAP2K3,MAP2K1,MAPK13,MAPK9,MAPK1,PRKCA,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PCNA,NRAS,NFKB1,NFATC3,NFATC1,MYD88,MYC,MMP9,MAP3K1,SMAD4,SMAD3,KRAS,JUN,JAK2,JAK1,FASLG,IRAK1,CXCL8,IL6,IKBKB,IFNB1,BIRC5,HRAS,APAF1,GRB2,TICAM2,FOS,TICAM1,AKT2,PTK2B,AKT1,EGR2,E2F3,E2F2,E2F1,MAPK14,IRAK4,CREB1,TBK1
Breast cancer                                                |hsa05224     |79         |1493      |115       |61686         |28.382853315472204 |1.0490099999999997e-99 |4.078009999999999e-98  |FRAT2,CDKN1A,CDK6,CDK4,AKT3,NCOA1,TNFSF11,FZD7,FZD6,FZD4,AXIN2,NCOA3,FZD5,WNT10B,WNT7A,WNT1,TP53,BRAF,TCF7,BRCA1,SP1,SHC1,RPS6KB1,CCND1,BAX,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PGR,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB2,MYC,LRP6,KRAS,KIT,JUN,IGF1R,IGF1,APC,HES1,HRAS,GSK3B,GRB2,MTOR,FOS,FGFR1,FGF9,FGF7,FGF2,AKT2,AKT1,ESR2,ESR1,ERBB2,WNT3A,EGFR,JAG1,TCF7L1,WNT10A,E2F3,E2F2,E2F1,DVL2,DVL1,DLL4,CTNNB1,WNT4,CSNK1A1,LEF1,DLL1
Human cytomegalovirus infection                              |hsa05163     |91         |1493      |175       |61686         |21.48474212993972  |2.05917e-98            |7.115559999999999e-97  |CHUK,ADCY1,CDKN2A,CDKN1A,CDK6,CDK4,AKT3,CREB5,BCAR1,ROCK2,CASP9,CASP8,CASP3,FADD,TRADD,CXCR4,VEGFA,TSC1,TP53,TNF,TAP1,STAT3,SRC,SP1,CXCL12,CX3CL1,CCL5,CCL2,RPS6KB1,CCND1,ROCK1,RHEB,BAX,RELA,RB1,RAF1,RAC1,PXN,PTGS2,PTGER4,MAP2K6,MAP2K1,MAPK13,MAPK1,PRKCA,PRKACB,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PDGFRA,NRAS,NFKB1,NFATC3,NFATC1,MYC,MDM2,RHOA,KRAS,JAK1,ITGB3,ITGAV,FASLG,IL10RA,CXCR2,CXCL8,IL6R,IL6,IL1B,IKBKB,IFNB1,HRAS,HLA-G,GSK3B,PDIA3,GRB2,MTOR,AKT2,PTK2B,AKT1,EGFR,E2F3,E2F2,E2F1,CTNNB1,MAPK14,CRKL,CRK,CREB1,TBK1,CCR1
Gastric cancer                                               |hsa05226     |77         |1493      |118       |61686         |26.960970404259427 |1.9424599999999994e-94 |6.0410499999999995e-93 |FRAT2,CDX2,CDKN2B,CDKN1B,CDKN1A,CDK2,CDH1,AKT3,CCNE1,CCNE2,FZD7,FZD6,FZD4,AXIN2,FZD5,WNT10B,WNT7A,WNT1,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,TCF7,SHC1,RXRA,RPS6KB1,BCL2,CCND1,BAX,RB1,RARB,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,ABCB1,NRAS,MYC,MLH1,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,APC,HRAS,HGF,GSK3B,GRB2,MTOR,FGF9,FGF7,FGF2,AKT2,AKT1,ERBB2,WNT3A,REG4,EGFR,TCF7L1,WNT10A,E2F3,E2F2,E2F1,DVL2,DVL1,CTNNB1,WNT4,CSNK1A1,LEF1
