description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Pathways in cancer                                           |hsa05200     |174        |960       |400       |61686         |27.951468749999997 |3.5896799999999983e-206|1.0517799999999995e-203|CKS2,CHUK,RASSF1,CEBPA,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CDH1,CDC42,BCL2L11,AKT3,ROCK2,CCNE1,CCND3,CCND2,CCNE2,RUNX1,CASP3,IKBKG,CUL2,FZD7,NCOA3,CXCR4,WNT7A,WNT5A,WNT1,VHL,VEGFC,VEGFA,TRAF6,TPM3,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,TERT,BRAF,STK4,STAT5A,STAT3,STAT1,SPI1,SP1,SMO,BID,SKP2,CXCL12,RPS6KB1,BCL2,CCND1,ROCK1,BAX,RET,BAK1,RB1,RALA,RAF1,RAD51,RAC1,PTGS2,PTGER4,PTEN,PTCH1,MAP2K1,MAPK9,MAPK1,PPARG,PMAIP1,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,NRAS,NOTCH4,NOTCH2,NOTCH1,NOS2,NFKBIA,NFKB2,NFKB1,MYC,MSH3,MMP9,MMP2,MMP1,MITF,MET,ARNT,MDM2,SMAD4,SMAD3,SMAD2,LRP6,RHOA,LAMC2,LAMC1,LAMB3,KRAS,KIT,AR,JUN,JAK2,ITGB1,FASLG,ITGA3,ITGA6,IL13RA1,IL7,IL6,IL2,IKBKB,IGF2,IGF1R,IGF1,IFNG,BIRC5,XIAP,HRAS,APAF1,HMOX1,HIF1A,HGF,HDAC2,GSK3B,GNAI2,GLI2,MTOR,ABL1,FOS,FN1,FOXO1,FGFR3,FGFR1,FGF9,FGF2,AKT2,AKT1,EGLN3,EGLN2,ETS1,ESR2,ESR1,ERBB2,EPAS1,EGFR,JAG1,TCF7L1,EDNRA,EDN1,LPAR1,E2F3,E2F2,E2F1,DVL2,GADD45A,DAPK3,DLL4,CTNNB1,LEF1,CRKL,CRK,COL4A2,COL4A1,BBC3
MicroRNAs in cancer                                          |hsa05206     |103        |960       |142       |61686         |46.60840669014084  |1.7621899999999998e-154|2.5816099999999995e-152|ZFPM2,SIRT1,DICER1,RASSF1,CDKN1B,CDKN1A,CDK6,CDC25A,PAK4,CD44,BCL2L11,HDAC5,ZEB2,HDAC4,KIF23,CCNE1,CCND2,CCNE2,CASP3,IRS2,SOCS1,RECK,HMGA2,VIM,EZR,VEGFA,UBE2I,TP53,TIMP3,THBS1,TGFB2,ZEB1,STAT3,BMPR2,SOX4,BMI1,FSCN1,SHC1,BCL2L2,BCL2,CCND1,ROCK1,BAK1,RAF1,PTGS2,PTEN,MAP2K1,MAPK7,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,ATM,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB1,MYC,ABCC1,MMP16,MMP9,MET,MDM2,MCL1,RHOA,STMN1,KRAS,ITGB3,ITGA5,IRS1,IKBKB,HRAS,HMOX1,HDAC2,MTOR,ABL1,FGFR3,EZH2,ERBB3,ERBB2,BMF,SLC45A3,EGFR,EFNA1,E2F3,E2F2,E2F1,DNMT3B,DNMT3A,DNMT1,CYP1B1,DDIT4,CRKL,CRK,PDCD4
PI3K-Akt signaling pathway                                   |hsa04151     |104        |960       |250       |61686         |26.730600000000003 |1.1122299999999997e-119|1.08628e-117           |CHUK,PHLPP1,PHLPP2,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,BCL2L11,AKT3,CCNE1,CCND3,CCND2,CCNE2,IKBKG,TCL1A,VEGFC,VEGFA,TP53,TLR2,THBS1,TEK,BDNF,RPS6KB1,BCL2,CCND1,RBL2,RAF1,RAC1,PTEN,MAP2K1,MAPK1,PPP2R2A,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CB,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,NTRK2,NTF3,NRAS,NOS3,NFKB1,MYC,MYB,MET,MDM2,MCL1,LAMC2,LAMC1,LAMB3,KRAS,KIT,KDR,JAK2,ITGB8,ITGB4,ITGB3,ITGB1,FASLG,ITGA5,ITGA3,IRS1,ITGA6,INSR,IL7,IL6,IL2,IKBKB,IGF2,IGF1R,IGF1,IFNB1,HRAS,HGF,ANGPT2,GSK3B,MTOR,FN1,FLT1,FOXO3,FGFR3,FGFR1,FGF9,FGF2,AKT2,AKT1,ERBB3,ERBB2,EIF4EBP1,EIF4E,EGFR,EFNA1,LPAR1,PDGFC,DDIT4,COL4A2,COL4A1,COL1A1
Human papillomavirus infection                               |hsa05165     |91         |960       |202       |61686         |28.947122524752476 |1.1094399999999998e-108|8.126659999999999e-107 |CHUK,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CDC42,AKT3,TBPL1,CCNE1,CCND3,CCND2,CCNE2,CASP3,TRADD,IKBKG,FZD7,WNT7A,WNT5A,WNT1,VEGFA,TP53,TNF,THBS1,TERT,STAT1,RPS6KB1,CCND1,BAX,BAK1,RBL2,RBL1,RB1,RAF1,PXN,PTGS2,PTGER4,PTEN,MAP2K1,MAPK1,PRKCZ,PPP2R2A,PKM,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,ATM,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB1,MDM2,LFNG,LAMC2,LAMC1,LAMB3,KRAS,ITGB8,ITGB4,ITGB3,ITGB1,FASLG,ITGA5,ITGA3,ITGA6,IKBKB,IFNB1,HRAS,HDAC2,GSK3B,MTOR,FN1,TICAM1,FOXO1,AKT2,AKT1,EIF4EBP1,EGFR,JAG1,TCF7L1,E2F1,DVL2,CTNNB1,TBK1,COL4A2,COL4A1,COL1A1
Proteoglycans in cancer                                      |hsa05205     |83         |960       |158       |61686         |33.75486550632911  |1.5738099999999997e-106|9.222549999999999e-105 |CDKN1A,CDC42,CD44,AKT3,ROCK2,CASP3,FZD7,WNT7A,WNT5A,WNT1,EZR,VEGFA,TWIST1,TP53,TNF,TLR2,TIMP3,THBS1,TGFB2,TGFB1,BRAF,STAT3,SRC,SMO,SDC4,SDC1,ACTB,RPS6KB1,CCND1,ROCK1,RAF1,RAC1,PXN,PTPN11,PTCH1,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PAK1,NRAS,MYC,MSN,MMP9,MMP2,MET,MDM2,SMAD2,RHOA,KRAS,KDR,ITPR1,ITGB3,ITGB1,FASLG,ITGA5,IGF2,IGF1R,IGF1,HRAS,HIF1A,HGF,GPC1,MTOR,FN1,FGFR1,FGF2,AKT2,AKT1,ESR1,ERBB3,ERBB2,EGFR,NANOG,DDX5,CTNNB1,MAPK14,PLCE1,PDCD4,COL1A1
MAPK signaling pathway                                       |hsa04010     |89         |960       |214       |61686         |26.723393691588786 |2.348779999999999e-102 |1.1469899999999997e-100|CHUK,MAP3K2,CDC42,AKT3,MAP4K4,CASP3,TRADD,IKBKG,MAP3K12,VEGFC,VEGFA,TRAF6,TP53,TNF,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,TEK,BRAF,STK4,SRF,BDNF,RPS6KA3,RAP1B,RAF1,RAC1,PTPN7,MAP2K6,MAP2K3,MAP2K1,MAPK9,MAPK7,MAPK1,PPP3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,PAK1,NTRK2,NTF3,NRAS,NFKB2,NFKB1,NFATC3,NFATC1,MYC,MET,MAP3K5,STMN1,KRAS,KIT,KDR,PLA2G4B,JUN,FASLG,INSR,IKBKB,IGF2,IGF1R,IGF1,HRAS,HGF,ANGPT2,FOS,FLT1,FGFR3,FGFR1,FGF9,FGF2,AKT2,AKT1,ERBB3,ERBB2,EGFR,EFNA1,DUSP6,DUSP5,DUSP4,DUSP2,DUSP1,GADD45A,PDGFC,NLK,MAPK14,CRKL,CRK
Breast cancer                                                |hsa05224     |64         |960       |104       |61686         |39.54230769230769  |1.3242299999999998e-88 |5.542869999999998e-87  |CDKN1A,CDK6,CDK4,AKT3,TNFSF11,FZD7,NCOA3,WNT7A,WNT5A,WNT1,TP53,BRAF,SP1,SHC1,RPS6KB1,CCND1,BAX,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PGR,NRAS,NOTCH4,NOTCH2,NOTCH1,NFKB2,MYC,LRP6,KRAS,KIT,JUN,IGF1R,IGF1,HRAS,GSK3B,MTOR,FOS,FGFR1,FGF9,FGF2,AKT2,AKT1,ESR2,ESR1,ERBB2,EGFR,JAG1,TCF7L1,E2F3,E2F2,E2F1,DVL2,GADD45A,DLL4,CTNNB1,LEF1
Focal adhesion                                               |hsa04510     |71         |960       |149       |61686         |30.618750000000002 |4.113319999999999e-87  |1.5064999999999997e-85 |CDC42,PAK4,AKT3,ROCK2,CCND3,CCND2,ACTN1,VEGFC,VEGFA,THBS1,BRAF,SRC,SHC1,ACTB,BCL2,CCND1,ROCK1,RAP1B,RAF1,RAC1,PXN,PTEN,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,PAK1,MYLK,MET,ARHGAP5,RHOA,LAMC2,LAMC1,LAMB3,KDR,JUN,ITGB8,ITGB4,ITGB3,ITGB1,ITGA5,ITGA3,ITGA6,ILK,IGF1R,IGF1,XIAP,HRAS,HGF,GSK3B,FN1,FLT1,AKT2,AKT1,ERBB2,EGFR,PDGFC,CTNNB1,CRKL,CRK,COL4A2,COL4A1,COL1A1
Cellular senescence                                          |hsa04218     |66         |960       |120       |61686         |35.3409375         |1.2245099999999999e-86 |3.986449999999999e-85  |SIRT1,CHEK1,CDKN1A,CDK6,TRAF3IP2,CDK4,CDK2,CDC25A,AKT3,CCNE1,CCND3,CCND2,CCNE2,BTRC,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,CCND1,RBL2,RBL1,RB1,RAF1,PTEN,MAP2K6,MAP2K3,MAP2K1,MAPK1,PPP3CA,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,SERPINE1,ATM,NRAS,NFKB1,NFATC3,NFATC1,MYC,MDM2,SMAD3,SMAD2,KRAS,ITPR1,IL6,HRAS,GATA4,MTOR,FOXO3,FOXO1,FOXM1,AKT2,AKT1,ETS1,EIF4EBP1,E2F5,E2F3,E2F2,E2F1,GADD45A,MAPK14,HIPK2
Hepatitis B                                                  |hsa05161     |68         |960       |138       |61686         |31.6625            |8.95959e-85            |2.6251599999999995e-83 |CHUK,CDKN1A,CDK2,AKT3,CCNE1,CCNE2,CASP3,IKBKG,TRAF6,TP53,TNF,TLR2,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,STAT5A,STAT3,STAT1,SRC,BID,BCL2,BAX,RB1,RAF1,MAP2K6,MAP2K3,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKBIA,NFKB1,NFATC3,NFATC1,MYC,MMP9,SMAD4,SMAD3,KRAS,JUN,JAK2,FASLG,IL6,IKBKB,IFNB1,BIRC5,HRAS,APAF1,FOS,TICAM1,AKT2,AKT1,TIRAP,EGR2,E2F3,E2F2,E2F1,DDX3X,MAPK14,TBK1
