"ID","Up_regulated"
"hsa-miR-502-3p","ZNF560"
"hsa-miR-218-5p","PI16"
"hsa-miR-185-5p","IKBIP"
"hsa-miR-34a-5p","BBC3"
"hsa-miR-22-3p","SCARA3"
"hsa-miR-145-3p","RGS5"
"hsa-miR-27b-5p","PCDHB14"
"hsa-miR-30a-3p","TMEM63B"
"hsa-miR-29b-2-5p","PIWIL1"
"hsa-miR-503-5p","CA12"
"hsa-let-7a-2-3p","KRTAP4-11"
"hsa-miR-133a","ASB11"
"hsa-let-7b-5p","LACTB2"
"hsa-miR-181a-2-3p","DAPK2"
"hsa-miR-30e-5p","SEPT11"
"hsa-miR-664a-5p","TREM1"
"hsa-miR-132-3p","ARMCX2"
"hsa-miR-450a-5p","C10orf131"
"hsa-miR-99a-3p","DSP"
"hsa-miR-106b-5p","HYAL4"
"hsa-miR-574-3p","MUM1L1"
"hsa-miR-375","WDR86"
"hsa-miR-222-5p","CAMK1"
"hsa-let-7e-5p","XKR7"
"hsa-miR-532-5p","DHRS3"
"hsa-miR-221-3p","BID"
"hsa-miR-139-3p","DVL1"
"hsa-miR-486-5p","ZIM2"
"hsa-miR-181c-3p","XKR5"
"hsa-miR-144-5p","HBA2"
"hsa-miR-186-5p","OIT3"
"hsa-miR-25-3p","CDH2"
"hsa-miR-101-3p","SESN2"
"hsa-miR-1301","MAP3K5"
"hsa-miR-589-5p","IKZF2"
"hsa-miR-181c-5p","RNF146"
"hsa-miR-451a","C1orf158"
"hsa-miR-199b-3p","HNMT"
"hsa-miR-338-3p","RIMBP2"
"hsa-miR-140-5p","GTF2IRD1"
"hsa-let-7e-3p","ESM1"
"hsa-miR-152","CTXN1"
"hsa-miR-708-3p","ARAP3"
"hsa-miR-301a-3p","THRSP"
"hsa-miR-30c-2-3p","OR9A4"
"hsa-miR-21-5p","RUNX1"
"hsa-let-7b-3p","INPP5F"
"hsa-miR-135a-5p","C10orf72"
"hsa-miR-148b-3p","CTHRC1"
"hsa-miR-455-3p","PGA4"
"hsa-miR-27a-5p","NR4A1"
"hsa-miR-708-5p","PCDHGA7"
"hsa-miR-150-5p","CNR2"
"hsa-miR-30a-5p","CPXCR1"
"hsa-miR-140-3p","OR51A7"
"hsa-miR-17-3p","GOLGA6C"
"hsa-miR-143-3p","GPR116"
"hsa-miR-146b-3p","CCNI2"
"hsa-miR-199a-5p","PCDH7"
"hsa-miR-497-5p","PIK3C2G"
"hsa-miR-106a-5p","C9orf171"
"hsa-miR-26a-5p","FAM71C"
"hsa-miR-181a-3p","OR7A5"
"hsa-miR-181b-5p","AGRN"
"hsa-let-7i-5p","INHBB"
"hsa-miR-203a","DMBX1"
"hsa-miR-20a-5p","PLA2G12B"
"hsa-miR-374b-5p","NEB"
"hsa-miR-194-5p","COL5A3"
"hsa-miR-542-3p","CACNA2D2"
"hsa-miR-222-3p","LPAR5"
"hsa-let-7d-5p","CHST6"
"hsa-miR-365a-3p","SNTN"
"hsa-miR-3065-3p","LOC647946"
"hsa-miR-16-2-3p","GNAO1"
"hsa-miR-99a-5p","CARNS1"
"hsa-miR-126-3p","ELF3"
"hsa-miR-100-5p","ACO1"
"hsa-miR-23b-3p","FOLH1B"
"hsa-miR-450b-5p","DACH2"
"hsa-miR-652-3p","ANKRD37"
"hsa-miR-29c-5p","TNIK"
"hsa-miR-374a-5p","C5orf49"
"hsa-miR-182-5p","PCDHGB5"
"hsa-miR-181d","PIP5KL1"
"hsa-miR-28-3p","FOXP4"
"hsa-miR-195-5p","LOC100131496"
"hsa-miR-126-5p","KIAA0284"
"hsa-miR-181a-5p","ADH1B"
"hsa-miR-183-5p","FAM171A2"
"hsa-miR-28-5p","IGSF9B"
"hsa-miR-142-5p","ZNF80"
"hsa-miR-193a-3p","GPR6"
