"ID","Up_regulated"
"hsa-miR-30a-5p","MESDC1,FOSB,B3GNT5,TIPARP,MIDN,EPHA2,SGK1,ANKRD57"
"hsa-miR-141-5p","PDZRN3,PARK2,ASB5,FAM168B,C17orf39,STON1,KBTBD10,TSPAN18,NEXN,ANTXR2,PTGFR,SPOP,KCTD7,NCAM1,ARHGEF37,PITX2,DPYSL3,C2orf40,EIF4E3,CKMT2,EPM2A,RAB23,ACOX2,JAM3,ABI2,C5orf53,EFHA2,RAB9B,C7orf41,RBPMS,TCEAL1,COL4A6,PPAPDC3,DMGDH,CNN1,ABL1,LAMA4,EML1,PJA2,SLC25A4,PPP1R14A,STRN3,CSRP1,HABP4,VCL,FXYD6,TRIM3,TAGLN,FBXL22,SPARCL1,AQP1,ENTPD1,MLXIP,RABGAP1,NBEA,KCNH2,RHOB,ARHGAP24,TCEAL2,HECTD2,AKAP6,PTGIS,TNFAIP8L3,SSPN,SETBP1,GPR133,TACC2,FAM129A,GATA5,DACT3,TTLL11,GPRASP1,PDLIM3,RYR3,GPR135,TMEM229A,RBMS3,ALDH1B1,FBXO31,PPP1R12B,RNF38,RIC8B,CRTC3,BVES,SETD7,HAND2,TSHZ3,TPM1,ADCY9,AFAP1,FBXL7,NCALD,PRELP,NEURL1B,NRP2,GYG1,MSRB3,ITPR1,LMOD1,ZNF25,LOC653653,KIAA0427,LSM11,PDE1C,PSD,CPEB1,RBPMS2,FAM36A,MBD5,NEURL,LONRF2,APBB1,ACTA2,C21orf34,FLNA,JPH2,CALM1,INPP5A,SPEG,HLF,NBLA00301,TMOD1,SH3BGRL,HPSE2,ZHX3,NXPH3,REEP2,KCNJ8,CASQ2,NFIA,ZMYND11,REEP1,FNBP1,LIMS2,ASXL3,DCHS1,FOXN3,OSBPL10,KLHL4,MCAM,CCDC69,MEF2A,DIXDC1,DYM,PTGS1,PBX3,CGNL1,BCHE,NR3C2,MRAS,KLHL13,JAZF1,ITGA7,ARHGAP10,RCAN2,KLHL10,DSTN,LMO3,FAM54B,NLGN1,PCP4,SLC2A4,ARHGEF17,ADAMTSL3,FERMT2,KCNMB1,CACNB2,ANGPTL1,ATP1A2,TGFB1I1,C20orf166,HEPH,ARHGAP1,PYGM,FYN,RAP1A,KLHDC5,NECAB1,CRTAP,ACTC1,IL17RD,ACTN1,TSPAN2,PGM5P2,CFL2,PNMA1,KLF12,SGCB,C16orf45,MKX,ADD1,CNTN1,MYL9,PALLD,RNF180,ARMCX1,ADARB1,FGF2,SYT11,ZNF280D,C1orf70,DTNA,FOXP2,ZFPM2,SMTN,C20orf200,ROCK1,CLIP3,ZAK,PGM5,GCOM1,HPD,FHL1,ANGPTL2,ZEB1,SH3D19,GATA6,PRDM6,RASL12,PRDM8,WBSCR17,GEFT,RERG,BNC2,FAM190B,STXBP5L,RUNX1T1,BHMT2,PITPNM2,TMEM55A,BCL2L2,MARCH2,ADAM33,SOBP,MFN2,NNAT,MYH11,STX2,KIAA1614,TMEM35,KY,MAMDC2,AOC3,RAI2,PTBP2,GNAL,PPP1R12A,SCUBE3,RIMS3,ITPKB,MRVI1,AXL,CDC42BPA,GTF2A1L,PLSCR4,CACNA1H,C3orf70,RUSC2,MACF1,DISP1,C3orf18,IGSF21,CACNA1C,PDZRN4,LOC92973,PIP5K1C,KANK2,SLC25A12,HRNBP3,CAMK2A,DES,LRCH2,PDE2A,FYCO1,NEGR1,ZCCHC24,FGF10,CHRM3,ANO5,SLMAP,TOR1AIP1,MAOB,GNAO1,TPM2,TMEM108,PKIG,MYOM1,MYLK,MAP4,STAT5B,FBXO30,EPHA7,SLC8A1,OSBPL1A,TNS1,KLF17,PPP3CB,ANXA6,PDE3B,P2RX1,SDPR,NEK9,DOK6,SGCA,SLC25A23,C6orf168,CC2D2A,LOC399959,FGL2,ARHGEF9,SORBS2,DPT,ABCC9,LOC283174,TACR2,LOC644538,HDAC4,NCS1,PDE1A,SORBS1,CKB,MITF,MBNL1,CNST,DIP2C,EEF2K,CORO1C,PDLIM7,ARHGAP20,ILK,COPZ2,WFS1,PLCD4,MXRA7,KCNK3"
"hsa-miR-337-3p","CCL14"
"hsa-miR-24-2-5p","RNF150,FILIP1,CACNA2D1,MTTP,AHNAK,C9orf47,LMOD3,DMD,TBX20,MAP1B,MAPT,DYSF,CPXM2,DAAM2,TNFAIP8L3,TACC1,TACC2,DYNC1I1,SH3BGR,ATP2B4,AKAP2,ZBTB47,PRKG1,LRRK2,SGCD,MID2,MAP1A,PARVA,AMOTL1,ITGA9,ROR1,PRUNE2,PBX1,ITGB3,C7orf58,ZYG11B,TMOD4,NACC2,SLAIN2,NFIC,PKD1,PRKAA2,KIF1B,KCNMA1,PLCB4,TLN1,LOC92249,MYOCD,KATNAL1,MPDZ,CCDC50,RANBP3L,GLP2R,IGSF9B"
"hsa-miR-195-5p","C18orf34,RERGL"
"hsa-miR-148a-3p","RNF150,FILIP1,CACNA2D1,CELF2,OMD,MTTP,NOVA1,KIRREL,SGK269,AFF3,FAT4,DNAJC18,C9orf47,ECM2,FAM110B,IL6ST,LMOD3,NFIX,DMD,TBX20,MAP1B,MAPT,AQP1,SPON1,NFIB,DYSF,CPXM2,CSRNP3,DAAM2,SETBP1,TACC1,ITIH5,DYNC1I1,OGN,SH3BGR,ATP2B4,KIAA0754,CCDC80,AKAP2,ZBTB47,LOC653653,PRKG1,LRRK2,PLCL1,SGCD,MAP1A,FAM180B,PABPC5,ABI3BP,AOX1,PARVA,PBX3,DCLK1,CNRIP1,RCAN2,PCDHGB7,SLC30A4,PDE5A,AMOTL1,ITGA9,ST8SIA1,C9orf102,ROR1,C10orf72,PCDHGA12,PODN,FBLN5,PRUNE2,PBX1,TRPC1,ITGB3,ATP8B2,C7orf58,ZYG11B,TMOD4,SYT11,C10orf108,NACC2,NFIC,ANGPTL2,PKD1,GRM7,PCDH7,FGFR1,GABRA2,PRKAA2,KCNMA1,SDC2,ZNF354C,SLIT2,PLCB4,TLN1,CHRM2,TNXB,LOC92249,DCN,SLC2A13,MYOCD,KATNAL1,ABCC9,ZEB2,LAMA2,MPDZ,PRIMA1,CCDC50,ARHGAP20,RANBP3L,GLP2R,IGSF9B,GPR124"
"hsa-let-7a-3p","PDZRN3,PARD3B,ASB5,TSPAN18,ANTXR2,PTGFR,SPOP,NCAM1,DPYSL3,RAB23,ABI2,LOC100302640,PPAPDC3,CNN1,LAMA4,CSRP1,HABP4,VCL,FXYD6,TRIM3,SPARCL1,RHOB,PTGIS,GATA5,DACT3,GPRASP1,CRTC3,BVES,ZNF25,KIAA0427,LSM11,HTR1B,RBPMS2,APBB1,ACTA2,JPH2,SPEG,TMOD1,SH3BGRL,HPSE2,KCNJ8,NFIA,DCHS1,MEF2A,DIXDC1,ARHGEF17,FERMT2,KCNMB1,CACNB2,ANGPTL1,TGFB1I1,HEPH,ARHGAP1,FYN,KLHDC5,NECAB1,CFL2,KLF12,C16orf45,MKX,PALLD,C1orf70,HPD,FHL1,PRDM6,RASL12,PPP1R1A,PRDM8,GEFT,BNC2,PITPNM2,STX2,KIAA1614,PTBP2,MRVI1,PLSCR4,MACF1,CACNA1C,KANK2,EZH1,ZCCHC24,ANO5,TPM2,TMEM108,STAT5B,OSBPL1A,ANXA6,PDE3B,P2RX1,SGCA,C6orf168,LOC399959,LOC283174,MBNL1,PDLIM7,ILK"
"hsa-miR-185-5p","RNF150,FILIP1,ASH1L,LRRN4CL,CACNA2D1,CELF2,OMD,MTTP,PPARGC1B,C5orf53,NOVA1,PCDHGA5,DLG2,KIRREL,SGK269,AFF3,FAT4,DNAJC18,C9orf47,IL6ST,LMOD3,NFIX,DMD,TBX20,MAP1B,MAPT,SPON1,KCND3,DYSF,CPXM2,CSRNP3,DAAM2,TACC1,EVC,DYNC1I1,OGN,EDNRA,SH3BGR,ATP2B4,EPHA3,NHSL2,KIAA0754,AKAP2,ZBTB47,LOC653653,PRKG1,DCUN1D4,SGCD,MAP1A,FAM180B,PABPC5,AOX1,PARVA,PBX3,DCLK1,JMY,PCDHGB7,SLC30A4,ZFHX4,PDE5A,AMOTL1,ITGA9,C9orf102,ROR1,C10orf72,PCDHGA12,PRUNE2,PBX1,ITGB3,C5orf41,ATP8B2,C7orf58,ZYG11B,TMOD4,ZNF280D,NAP1L2,C10orf108,NACC2,TTBK2,NFIC,SMAD9,PKD1,ADAM33,GABRA2,PRKAA2,KCNMA1,SDC2,ZNF354C,SLIT2,PLCB4,TLN1,PAM,CHRM2,LOC92249,MYOCD,MYST4,MYO9A,KATNAL1,MPDZ,PRIMA1,CCDC50,PCDH18,RANBP3L,GLP2R,IGSF9B,C20orf194,GPR124,RECK"
"hsa-miR-19b-3p","CCDC136,FAIM2,PARK2,FAM168B,C17orf39,STON1,LRRN4CL,KBTBD10,CSGALNACT1,CELF2,OMD,PI16,SCARA5,ARHGEF37,C2orf40,EIF4E3,CKMT2,EPM2A,PPARGC1B,ACOX2,JAM3,ABI2,C5orf53,NOVA1,EFHA2,RAB9B,C7orf41,KIRREL,SGK269,COL4A6,DMGDH,ABL1,AFF3,EML1,PJA2,PRRG3,FAT4,DNAJC18,SLC25A4,ECM2,HABP4,FAM110B,IL6ST,NFIX,AQP1,MLXIP,RABGAP1,SPON1,NBEA,NFIB,KCNH2,TCEAL2,HECTD2,CSRNP3,SSPN,SETBP1,ITIH5,GPR133,EVC,FAM129A,RYR3,ALDH1B1,PPP1R12B,RNF38,OGN,SETD7,TSHZ3,TPM1,ADCY9,FBXL7,NCALD,PRELP,EPHA3,UNC5C,GPRASP2,MSRB3,KIAA0754,ITPR1,LMOD1,CCDC80,LOC653653,PDE1C,PSD,CPEB1,FAM36A,LRRK2,MBD5,PRKACB,LONRF2,DCUN1D4,C21orf34,FLNA,PLCL1,CALM1,HLF,NBLA00301,C15orf51,ZHX3,NXPH3,REEP2,TUB,SYNE1,KANK1,CASQ2,ZMYND11,FAM180B,REEP1,PABPC5,LIMS2,ASXL3,FOXN3,OSBPL10,MCAM,CCDC69,ABI3BP,RBM24,DYM,PTGS1,PBX3,NR3C2,JMY,CNRIP1,ARHGAP10,RCAN2,PCDHGB7,LDB3,DSTN,LMO3,FAM54B,NLGN1,SLC2A4,ADAMTSL3,ZFHX4,ATP1A2,NAP1L3,PDE5A,ST8SIA1,C9orf102,PYGM,RAP1A,C10orf72,CRTAP,PCDHGA12,ACTC1,PODN,FBLN5,TSPAN2,PGM5P2,FZD7,SGCB,PBX1,TRPC1,ADD1,CNTN1,MYL9,C5orf41,RNF180,ARMCX1,ATP8B2,SYT11,ZNF280D,NAP1L2,FOXP2,C10orf108,ZFPM2,SMTN,ROCK1,CLIP3,ZAK,PGM5,GCOM1,ANGPTL2,ZEB1,SH3D19,WBSCR17,GRM7,RERG,FAM190B,STXBP5L,RUNX1T1,BHMT2,PCDH7,FGFR1,ADAM33,SOBP,MFN2,NNAT,PCOLCE2,MYH11,TMEM35,KY,MAMDC2,AOC3,RAI2,GNAL,PPP1R12A,SDC2,ITPKB,CDC42BPA,ZNF354C,CACNA1H,C3orf70,RUSC2,C3orf18,PDZRN4,LOC92973,PIP5K1C,CAMK2A,LRCH2,PDE2A,FYCO1,NEGR1,FGF10,CHRM3,PAM,TOR1AIP1,CHRM2,TNXB,MAOB,PCDHGA6,GNAO1,MYOM1,MAP4,SLIT3,FBXO30,EPHA7,SLC8A1,FAM138F,DCN,TNS1,SLC2A13,MYST4,MYO9A,SDPR,NEK9,SLC25A23,CC2D2A,FGL2,ARHGEF9,SORBS2,DPT,ABCC9,ZEB2,TACR2,LAMA2,LOC644538,HDAC4,NCS1,CKB,ZBTB4,MITF,CNST,DIP2C,PRIMA1,PCDH18,ARHGAP20,WFS1,MXRA7,ABCB5,GPR124,KCNK3,RECK"
"hsa-miR-181c-3p","TBX1"
