"ID","Up_regulated"
"hsa-miR-130b-5p","OTUD7A,ATP10D,ITPR2,FBXL17"
"hsa-miR-215","CCL14-CCL15,CPA1,UGT1A7,HNF1A,VIL1,SLC6A18,GLYCTK,SLC23A1,BBOX1,ALDH4A1,SLC47A1,BAIAP2L2,SLC36A2,KHDRBS2,GSTA1,SLC2A5,XPNPEP2,CLRN3,USH1C,AK3L1,DMGDH,SLC7A9,C11orf90,GDPD3,DAB2,PLCH2,FGFR4,GATM,CIDEB,GGTLC1,ABCC6P2,GK,GGT1,TMEM150B,TFEC,RBP4,IL22RA1,FAM132A,ENPP6,CTXN3,MT1F,SLC27A2,DEPDC7,TMEM27,FUT6,KHK,SPEF1,UGT1A8,RNF186,SLC10A2,CAPN3,XYLB,CDH9,TNNI1,TMEM82,TMEM106A,UGT1A9,ARSF,PKLR,GALNT11,TMEM174,SPNS3,ACY3,SLC6A13,CLEC18A,MOGAT2,LBP,SLC13A3,NYX,DNAJC16,CLDN2,CXCL14,BHMT,ACSM2B,COLEC11,LIME1,SLC22A8,CPN2,SUSD2,DNAJC22,CHST13,SLC22A4,NLRP6,MYOM3,CYP4F2,PDZK1P1,GGTLC2,C8orf80,ACE2,SHMT1,CALML4,MTMR11,DPYS,PHYHIP,HAO2,ABCC6P1,MYOM2,FRMD1,TREH,KCNK5,THPO,GLB1L,ENOX1,PDZK1IP1,SLC7A13,UGT3A1,RBP5,LHX4,AMN,ASS1,NAPSA,AOX1,RAB7L1,SLC17A2,AGXT2,AGMAT,ABCC6,KCNH6,PBLD,SLC39A5,ANXA13,GLYATL1,SLC5A11,C19orf21,SLC23A3,SLC17A1,LOC389332,FADS6,ABCC2,ASPDH,NRXN2,CLEC18C,C1orf106,MT1H,PROC,ACSM5,CYP4F12,LRP2,DIO1,EHHADH,DPEP1,SLC5A9,SLC34A1,FMO1,LYG1,SLC7A7,DLGAP2,ENPP7,PTGDS,CUBN,NAT8,SGK494,RGL1,NAT8B,SARDH,HECW1,A1CF,GIPC2,TRIM15,SLC28A1,SLC2A2,BST1,ALDH6A1,STRA6,SOAT2,GBA3,SLC13A1,LRRC7,HMX2,SLC16A9,CYP17A1,ACSF2,SLC22A6,SLC22A24,FUT3,BHMT2,PDZD3,CYP4F3,TRIM10,DDC,LOC340094,SLC22A7,GLTPD2,SLC22A11,KMO,TTBK1,SLC22A13,CDHR5,SLC13A2,HRSP12,KCNK10,C14orf73,CYP4A11,CCL15,TMEM132E,PIPOX,SLC28A2,CDKN1C,TM6SF2,ALAD,TMEM200A,C19orf69,DHRS4,ALDH8A1,SLC34A3,AMDHD1,GLYAT,MSRA,FTCD,ACSM2A,FMO4,ETNK2,PC,ANKS4B,DGKB,SLC6A19,ACMSD,AGT,ADH6,ZCCHC16,PPP1R16B,CHDH,SLC22A1,NPHS2,HNF4A,SLC5A10,NGEF,CFI,ZNF804B,ALPL,CDHR2,DAO,SLC5A2,TM4SF5,ABAT,CHRNA4,C6orf208,LOC283314,SLC22A12,METTL7B,PNPLA1,PEPD,PRODH2,SLC5A12,C7orf10,HNF4G"
"hsa-miR-182-5p","PKIA"
"hsa-miR-148a-3p","ACSS3,COQ2,RAD50,ATP10D,ARHGAP6,SLC4A5,NSUN7,TMEM38A,SKIV2L2,ITPR2,PLCL2,STXBP5L,VPRBP,FBXL17,FYCO1,LIN7A"
"hsa-miR-671-3p","RERGL,TPPP3,MYOZ1,AADACL4,PTGDS,MSTN,EMCN,B3GALT2,FAM26E"
"hsa-miR-221-3p","ART1,CHST9,RGS9,PKNOX2,CDO1,ALPK2,FOLR4,CD1C,CLEC10A,FAM26E,RXFP1,DACT2"
"hsa-miR-98-5p","CCL14-CCL15,CPA1,UGT1A7,HNF1A,VIL1,SLC6A18,GLYCTK,SLC23A1,BBOX1,ADIPOR2,TUBAL3,ALDH4A1,SLC47A1,GYPA,BAIAP2L2,CCDC158,G6PC,NXNL2,DDN,SLC36A2,KHDRBS2,GSTA1,NPC1L1,SLC2A5,XPNPEP2,CLRN3,SLC47A2,USH1C,AK3L1,AKR1C3,DMGDH,SLC7A9,C11orf90,GDPD3,DAB2,ALDOB,FGFR4,GATM,CIDEB,GGTLC1,ABCC6P2,GK,GGT1,TMEM150B,TFEC,DLK1,IL22RA1,FAM132A,CIRH1A,ENPP6,CTXN3,MT1F,SLC27A2,CLIC5,DEPDC7,TMEM27,FUT6,KHK,SPEF1,UGT1A8,RNF186,INSL4,SLC10A2,CAPN3,XYLB,CDH9,TRIM6,LRRC55,TNNI1,TMEM82,MGC34034,TMEM106A,UGT1A9,ARSF,OR2G6,FGF1,SFXN2,ART4,LOC144776,PKLR,GALNT11,TMEM174,SLC2A9,SPNS3,ACY3,GLIS1,SLC6A13,CLEC18A,MOGAT2,LBP,SLC13A3,NYX,DNAJC16,FABP1,CLDN2,CRHBP,RNF183,BMP5,CXCL14,EHD3,BHMT,WT1,ACSM2B,ST7OT2,COLEC11,LIME1,SLC22A8,CPN2,SUSD2,DNAJC22,DNAJC12,CHST13,SLC22A4,NLRP6,MYOM3,CYP4F2,IGSF11,PDZK1P1,TNNT2,GGTLC2,C8orf80,FABP2,MT1E,UGT2A3,CYP8B1,ACE2,SHMT1,CMAH,CALML4,CTSL3,RALYL,MTMR11,C8orf85,DPYS,PHYHIP,KLK6,HAO2,ABCC6P1,TRIM54,MYOM2,HHLA2,UGT1A10,FRMD1,TREH,HMX3,OR2T5,FAM75A3,CRYBB3,SLC22A18AS,ERRFI1,KCNK5,THPO,GLB1L,ENOX1,PDZK1IP1,SLC7A13,CLEC18B,UGT3A1,MYLK3,KIRREL2,RBP5,PROS1,ALPK2,GPD1,CAPN12,MS4A8B,KLK7,AMN,ASS1,ABHD12B,TTPA,AOX1,MUC13,RAB7L1,SLC17A2,AGXT2,AGMAT,ABCC6,KANK4,KCNH6,TACR3,PBLD,AQP7P1,SLC39A5,OR2T10,SERPINA7,ANXA13,GLYATL1,C1orf125,SLC5A11,C19orf21,SLC23A3,SLC17A1,ASB15,ASB17,LOC389332,FADS6,LRRC48,ABCC2,ASPDH,NRXN2,CYP2B6,CLEC18C,C1orf106,C3orf30,MT1H,C9orf71,PROC,C6orf122,LOC285768,ACSM5,LRP2,PRUNE2,OR2T3,DIO1,EHHADH,SLC17A4,DPEP1,SLC5A9,SLC34A1,FMO1,LYG1,C15orf50,CST11,SLC7A7,DLGAP2,ENPP7,PTGDS,CUBN,NAT8,SGK494,RGL1,NAT8B,SARDH,HECW1,LOC145837,SLC12A3,A1CF,DTX4,GIPC2,TRIM15,MIOX,SLC28A1,SLC2A2,UGT2A1,HPD,BST1,ALDH6A1,STRA6,SOAT2,CRYAA,GBA3,SLC13A1,LRRC7,LOC148709,HMX2,SLC16A9,CYP17A1,LOC647309,ACSF2,FCAMR,SLC22A6,SLC22A24,FUT3,BHMT2,PDZD3,CYP4F3,TRIM10,PDZK1,UPP2,DDC,PCOLCE2,LOC340094,SLC22A7,GLTPD2,GPR44,SLC22A11,RHOBTB1,KMO,AQP7P3,TTBK1,SLC22A13,CDHR5,ANPEP,SLC13A2,HRSP12,KCNK10,C14orf73,CYP4A11,CCL15,TMEM132E,PIPOX,SLC28A2,CDKN1C,DPP6,ALAD,CRB2,TMEM200A,ENPEP,C19orf69,DHRS4,ALDH8A1,SLC34A3,AMDHD1,KLK5,C9orf66,KRT85,GABRB2,GLYAT,MSRA,C22orf45,FTCD,ACSM2A,VSIG8,FMO4,ETNK2,C10orf114,PC,ANKS4B,DGKB,C1orf186,SLC6A19,ACMSD,AGT,ADH6,ZCCHC16,PPP1R16B,CHDH,SLC22A1,NPHS2,HNF4A,SLC5A10,NGEF,TMEM176A,KIAA1755,CFI,ZNF804B,ALPL,ASPG,FAM26E,CDHR2,DAO,CCDC150,SLC5A2,RXFP1,TM4SF5,ABAT,PTPRO,C6orf208,LOC283314,TRPC5,SOST,SLC22A12,TTC38,METTL7B,DHRS4L2,LUZP2,PNPLA1,TUBA4B,PEPD,PRODH2,WIT1,UCN3,SLC5A12,C7orf10,HNF4G,GP5,ST6GALNAC3"
"hsa-miR-10a-5p","CCL14-CCL15,CPA1,UGT1A7,HNF1A,VIL1,SLC6A18,GLYCTK,SLC23A1,BBOX1,ADIPOR2,TUBAL3,ALDH4A1,SLC47A1,GYPA,BAIAP2L2,CCDC158,G6PC,NXNL2,DDN,SLC36A2,KHDRBS2,GSTA1,NPC1L1,SLC2A5,MYOG,XPNPEP2,CLRN3,SLC47A2,USH1C,AK3L1,AKR1C3,DMGDH,SLC7A9,C11orf90,GDPD3,DAB2,ALDOB,FGFR4,GATM,CIDEB,GGTLC1,ABCC6P2,GK,GGT1,TMEM150B,TFEC,DLK1,IL22RA1,FAM132A,CIRH1A,ENPP6,CTXN3,MT1F,SLC27A2,CLIC5,DEPDC7,TMEM27,FUT6,KHK,SPEF1,UGT1A8,RNF186,INSL4,SLC10A2,CAPN3,XYLB,CDH9,TRIM6,LRRC55,TNNI1,TMEM82,MGC34034,TMEM106A,UGT1A9,ARSF,OR2G6,FGF1,SFXN2,ART4,LOC144776,PKLR,GALNT11,TMEM174,SLC2A9,SPNS3,ACY3,GLIS1,SLC6A13,CLEC18A,MOGAT2,LBP,SLC13A3,NYX,DNAJC16,FABP1,CLDN2,CRHBP,RNF183,BMP5,CXCL14,BHMT,WT1,ACSM2B,ST7OT2,COLEC11,LIME1,SLC22A8,CPN2,SUSD2,DNAJC22,DNAJC12,CHST13,SLC22A4,NLRP6,MYOM3,CYP4F2,IGSF11,PDZK1P1,TNNT2,GGTLC2,C8orf80,FABP2,LOC100129034,MT1E,UGT2A3,CYP8B1,ACE2,SHMT1,CMAH,CALML4,CTSL3,RALYL,MTMR11,C8orf85,DPYS,PHYHIP,KLK6,HAO2,ABCC6P1,TRIM54,MYOM2,HHLA2,UGT1A10,FRMD1,TREH,HMX3,OR2T5,CRYBB3,SLC22A18AS,ERRFI1,KCNK5,THPO,GLB1L,ENOX1,PDZK1IP1,SLC7A13,CLEC18B,UGT3A1,MYLK3,KIRREL2,RBP5,PROS1,ALPK2,GPD1,CAPN12,MS4A8B,KLK7,AMN,ASS1,ABHD12B,TTPA,AOX1,MUC13,RAB7L1,SLC17A2,AGXT2,AGMAT,ABCC6,KANK4,KCNH6,TACR3,PBLD,AQP7P1,SLC39A5,OR2T10,SERPINA7,ANXA13,GLYATL1,C1orf125,SLC5A11,C19orf21,SLC23A3,SLC17A1,ASB15,ASB17,LOC389332,FADS6,LRRC48,ABCC2,ASPDH,NRXN2,CYP2B6,CLEC18C,C1orf106,C3orf30,MT1H,C9orf71,PROC,C6orf122,LOC285768,ACSM5,LRP2,OR51B4,PRUNE2,OR2T3,DIO1,EHHADH,SLC17A4,DPEP1,SLC5A9,SLC34A1,FMO1,LYG1,C15orf50,CST11,SLC7A7,DLGAP2,ENPP7,PTGDS,CUBN,NAT8,SGK494,RGL1,NAT8B,SARDH,HECW1,LOC145837,SLC12A3,A1CF,DTX4,GIPC2,TRIM15,MIOX,SLC28A1,SLC2A2,UGT2A1,HPD,BST1,ALDH6A1,STRA6,SOAT2,CRYAA,GBA3,SLC13A1,LRRC7,LOC148709,HMX2,SLC16A9,CYP17A1,LOC647309,GJA3,ACSF2,FCAMR,SLC22A6,SLC22A24,FUT3,BHMT2,PDZD3,CYP4F3,TRIM10,PDZK1,UPP2,DDC,PCOLCE2,LOC340094,SLC22A7,GLTPD2,GPR44,SLC22A11,RHOBTB1,KMO,AQP7P3,TTBK1,SLC22A13,CDHR5,ANPEP,SLC13A2,HRSP12,KCNK10,C14orf73,CYP4A11,CCL15,TMEM132E,PIPOX,SLC28A2,CDKN1C,DPP6,TM6SF2,ALAD,CRB2,TMEM200A,ENPEP,C19orf69,DHRS4,ALDH8A1,SLC34A3,AMDHD1,KLK5,C9orf66,KRT85,GABRB2,GLYAT,MSRA,C22orf45,FTCD,CAMK2A,ACSM2A,VSIG8,FMO4,ETNK2,C10orf114,PC,ANKS4B,DGKB,C1orf186,SLC6A19,ACMSD,AGT,ADH6,ZCCHC16,PPP1R16B,CHDH,SLC22A1,NPHS2,HNF4A,SLC5A10,NGEF,TMEM176A,CLEC10A,KIAA1755,CFI,ZNF804B,ALPL,ASPG,FAM26E,CDHR2,DAO,CCDC150,SLC5A2,RXFP1,TM4SF5,ABAT,PTPRO,C6orf208,LOC283314,TRPC5,SOST,SLC22A12,TTC38,METTL7B,DHRS4L2,PNPLA1,TUBA4B,PEPD,PRODH2,WIT1,UCN3,SLC5A12,C7orf10,HNF4G,GP5,ST6GALNAC3"
"hsa-miR-361-5p","CDA"
"hsa-miR-320a","C2orf88"
