"ID","Up_regulated"
"hsa-miR-199a-5p","FAIM2"
"hsa-miR-130a-3p","EIF4E1B"
"hsa-miR-509-3p","PKHD1L1"
"hsa-miR-210","KNG1,WEE2,SCN7A,MME,EGLN3,ALDH4A1,MAPK4,ABCA8,DDN,SLC36A2,ACLY,TCF21,ACOX2,NOS1,XPNPEP2,SFRP1,SLC47A2,DLG2,SLC5A7,AK3L1,WDR72,ALDOB,GATM,SAT2,SUCLG1,NT5C1A,GK,PNPLA3,PM20D1,LRRC2,GLOD5,IQGAP2,TMEM207,MCCD1,RAET1E,RGN,LOC283070,MT1F,CLIC5,BPHL,HRG,HADH,WNT8B,AGPAT9,TNNI1,ACAA1,FGF1,SFXN2,SLC13A3,DNAJC16,DACH1,FABP1,CRHBP,ACSL6,C12orf59,DUSP26,TGFBR3,CR1,GGT6,PLCE1,SLC22A8,SUSD2,ZNF488,SLC2A12,TYRO3,CYP4F2,IGSF11,RIPPLY1,TNNT2,ERBB4,SHMT1,RALYL,ADAMTS16,NPHS1,SPHK2,DPYS,KLK6,HAO2,PLCL1,ZDHHC6,ADAMTS19,LIN52,SLC7A8,BNIP3,KCNJ10,ENOX1,MYLK3,KIRREL2,KLK7,ASS1,TTPA,ECHS1,COL4A3,GAS1,IYD,CDC14A,AGMAT,FAM190A,CACNB4,TACR3,ACOX1,NPNT,MYOZ2,FGF9,SUCLG2,GLYATL1,CAMK2G,FMN2,TPPP2,C1orf125,GK3P,SGEF,GALM,ASB15,PECI,ANXA4,ACADSB,ASPDH,C14orf37,GRIK2,NRK,CYP2B6,MRO,SEMA5A,REEP6,DPEP1,NKD1,LMX1B,SLC34A1,CNTN1,SUCNR1,DLGAP2,SLC6A4,SLC22A3,HECW1,LPPR1,C1orf64,WNK1,ACPP,SEMA5B,HPD,ALDH6A1,STRA6,CRYAA,KCTD8,CEL,LOC148709,HMX2,ACY1,AGBL4,AGPHD1,ACSF2,QDPR,FNDC5,ESRRG,PAH,TMCC1,PIK3C2G,PRELID2,ACSM3,UPP2,LOC340094,PLA2R1,SLC13A2,C2orf71,SLC15A4,KCNK10,AAA1,CALB1,SLC4A9,PIPOX,DPP6,CTH,ALAD,CRB2,C19orf69,AFM,SLC34A3,EFHD1,GLYAT,CAMK2A,CXCR4,VSIG8,NFASC,PPARA,FMO4,SERPINA5,PRLR,NTNG1,ADH6,ZCCHC16,FBP1,CLDN16,NPHS2,B3GALT2,HACL1,SORD,PHYH,KCNE1,DAO,FAM151A,SLC5A2,ABAT,CHRNA4,PTPRO,SOST,SLC30A2,PTH1R,NELL1,NETO2,PEPD,INSRR,PRODH2,LOC100130691,PCK2"
"hsa-miR-93-5p","LTB4R,AHSA2,FAM156A,ANKZF1,GNRH1,ATG16L2"
"hsa-miR-155-5p","HLA-DOA,HLA-DPA1,HLA-DMA"
"hsa-miR-101-3p","QRFPR"
"hsa-let-7e-3p","DPP9,DTX2"
"hsa-miR-142-5p","HLA-DOA,HLA-DPA1,HLA-DMA,BTN3A2,CD300C,TNFAIP8L2"
"hsa-miR-103a-3p","EFCAB3"
