"ID","Up_regulated"
"hsa-miR-455-3p","DIRAS2"
"hsa-miR-210","EGLN3"
"hsa-miR-194-5p","UPB1"
"hsa-miR-28-3p","DMRTC1"
"hsa-miR-10b-5p","LGALS12"
"hsa-miR-200a-3p","C9orf152"
"hsa-miR-29a-5p","GRIK3"
"hsa-miR-30b-5p","CLDN20"
"hsa-miR-374a-3p","HTR3B"
"hsa-let-7g-3p","MAPK8IP3"
"hsa-miR-21-5p","GGT6"
"hsa-miR-142-3p","HLA-DQA2"
"hsa-miR-203a","KLHL14"
"hsa-miR-629-5p","ZNF488"
"hsa-miR-378a-5p","SLCO3A1"
"hsa-miR-500a-3p","TBC1D4"
"hsa-miR-3605-3p","CROCCL1"
"hsa-miR-139-5p","DNAJB13"
"hsa-miR-378a-3p","PAGE3"
"hsa-miR-21-3p","PGBD5"
"hsa-miR-93-5p","NCRNA00201"
"hsa-miR-193a-5p","RALYL"
"hsa-miR-155-5p","ETV7"
"hsa-miR-199a-5p","PDGFRA"
"hsa-let-7g-5p","PPFIA4"
"hsa-miR-196a-5p","PNCK"
"hsa-miR-99b-5p","PTPN6"
"hsa-miR-145-3p","ODZ1"
"hsa-let-7i-5p","TBC1D13"
"hsa-miR-532-5p","FGF11"
"hsa-miR-204-5p","COL4A3"
"hsa-miR-10b-3p","CDC14A"
"hsa-miR-126-3p","PPAP2A"
"hsa-miR-330-5p","C10orf82"
"hsa-miR-152","CGREF1"
"hsa-miR-30a-3p","C2"
"hsa-miR-125b-5p","C5orf52"
"hsa-miR-3607-3p","PRKY"
"hsa-miR-454-3p","LPPR5"
"hsa-miR-29c-5p","ZAP70"
"hsa-miR-221-3p","RIMKLA"
"hsa-miR-2355-5p","AMTN"
"hsa-miR-106b-3p","KCTD8"
"hsa-miR-20a-3p","CCDC88B"
"hsa-let-7b-5p","VWA1"
"hsa-let-7e-3p","UBXN11"
"hsa-miR-15a-5p","RPS6KA6"
"hsa-miR-200b-3p","C2orf15"
"hsa-miR-218-5p","TRPV5"
"hsa-miR-505-5p","SNHG12"
"hsa-miR-664a-5p","ATG16L2"
"hsa-miR-200c-3p","SH2D4A"
"hsa-miR-27b-5p","ZNF683"
"hsa-miR-200a-5p","ZNF395"
"hsa-miR-10a-5p","TACSTD2"
"hsa-miR-142-5p","MAN2B1"
"hsa-miR-532-3p","CNTN5"
"hsa-miR-584-5p","NOVA2"
"hsa-miR-30a-5p","ANKRD34B"
"hsa-miR-181a-2-3p","ST6GALNAC3"
