"ID","Up_regulated"
"hsa-miR-374a-3p","IL32,WDR13,COX6A1,EIF5A"
"hsa-miR-139-5p","SLC26A7,FBN3,VWA5B1,FAM184B,ATP6V1C2,SLC9A3R2,SLC4A1,C17orf104,HEPACAM2,INPP5J"
"hsa-let-7a-3p","PPFIBP1,PLAGL1,LRRK2,TULP3"
"hsa-miR-148b-3p","SLC14A1,KNG1,SIAH3,JAM2,AQP2,GLTP,DNASE1,DTX1,SCNN1B,PFKFB3,PTGER1,C7orf41,RAP1GAP,EMID2,C15orf56,PRDM16,FAM43A,ADAMTS6,SYP,B4GALNT2,DHH,CLDN19,IGSF10,GPIHBP1,DNAJC19,FLJ42875,CLCNKA,CYFIP2,MPPED2,NDRG2,DNAJC11,GALNTL4,LOC25845,GPBAR1,WNK4,H1F0,SLC9A3R2,SIM2,PADI2,C5orf38,LOC100303728,LGR5,SORCS2,GPR113,UBTD1,USHBP1,C20orf160,MYO3B,FLRT1,EGF,IRX1,FAM43B,SUSD4,MFSD4,SYN3,SYT7,C14orf50,CCNI2,IRX2,APBB1IP,GPR12,LMO1,C21orf82,MUC15,KIAA1467,NOS3,MRPS6,VWA3B,GALNTL2,NMUR2,LRIT3,AQP3,ESAM,C7orf51,RPLP0P2,GLIPR1L2,INPP5J,PLEKHG4B,TMEM72,RANBP3L,C10orf55"
"hsa-miR-455-3p","SULT1C4"
"hsa-miR-125a-5p","SLC14A1,SIAH3,C6orf105,GPC3,JAM2,AQP2,GLTP,DNASE1,DTX1,PFKFB3,SVOPL,PTGER1,C7orf41,CADM1,C5orf47,RAP1GAP,GPM6A,EMID2,C15orf56,NUDT4,PRDM16,FAM43A,ASPHD2,ADAMTS6,IL1R2,HYAL4,SYP,TRAM1L1,B4GALNT2,DHH,PLAU,CLDN19,IGSF10,GPIHBP1,DNAJC19,FLJ42875,CLCNKA,MPPED2,NDRG2,DNAJC11,GALNTL4,LOC25845,GPBAR1,C21orf130,RGS6,H1F0,LOC255167,SIM2,C5orf38,LOC100303728,LGR5,SNCAIP,SORCS2,SCTR,LMO3,GPR113,UBTD1,SYTL4,ITGB1BP1,C20orf160,C9orf70,FLRT1,CPAMD8,IRX1,FAM43B,SUSD4,SLC4A8,MFSD4,SGCG,SYN3,C14orf50,CCNI2,SOX17,RPRM,CASP12,UNCX,IRX2,APBB1IP,GPR12,LMO1,PLCH1,NTS,C21orf82,MUC15,KIAA1467,EYA4,NOS3,MRPS6,LGI2,RBP7,VWA3B,LTBP1,AMPH,GALNTL2,NMUR2,KCNJ9,AQP3,ESAM,DPT,C7orf51,RPLP0P2,PLEKHG4B,PRIMA1,RANBP3L,PNMA2,C10orf55"
"hsa-miR-874","FBN3,VWA5B1,NOS1,WNT8B,KLHL3,UNC5C,ADAMTS19,FRMD1,PTPRQ,FMN2,MUC6,LMX1B,SLC12A3,C1orf64,MRGPRF,FRMD7,NPHS2,HEPACAM2,PODXL,C3orf32,PTPRO"
"hsa-miR-199a-5p","RERGL,SUSD5,SLC9A3R2,USHBP1"
"hsa-miR-1307-3p","ABCA4,ROS1,GPM6A,HYAL4,TRAM1L1,H1F0,CALCA,LGR5,SNCAIP,SCTR,C9orf70,TIE1,PGM5P2,NTS,RAG2,LGI2"
"hsa-miR-151a-3p","SLC14A1,SIAH3,JAM2,AQP2,ABCA4,GLTP,DNASE1,DTX1,PFKFB3,GATA2,RAP1GAP,EMID2,C15orf56,FAM43A,ASPHD2,ADAMTS6,IL1R2,HYAL4,B4GALNT2,DHH,CLDN19,GPIHBP1,DNAJC19,CLCNKA,MPPED2,DNAJC11,LOC25845,GPBAR1,TSPAN8,H1F0,CCL11,CALCA,SIM2,NAT8L,C5orf38,SULT2B1,LGR5,SORCS2,SCTR,GPR113,UBTD1,SYTL4,C9orf70,FLRT1,CPAMD8,IRX1,FAM43B,SUSD4,MFSD4,SGCG,C14orf50,CCNI2,APBB1IP,GPR12,C21orf82,EYA4,NOS3,MRPS6,LGI2,VWA3B,LTBP1,AQP3,ESAM,C7orf51,RPLP0P2,MYOC,PLEKHG4B,C10orf55"
"hsa-miR-532-3p","KNG1,GRM1,AKAP4,TMEM207,HRG,GPR98,RALYL,KCNJ10,DAGLB,OPCML,ACPP,CEL,HCRTR2,FECH,TYRP1,CLDN16,LRRC20"
"hsa-miR-199b-3p","GHR,NES,KDR,TCF21,NOS1,PCSK2,ART1,IQGAP2,WNT8B,ITGA8,IGFBP5,DAAM2,PDLIM2,NPHS1,FRMD1,MYLK3,ZNF804A,ATP1A2,C14orf37,GJA5,TMTC1,ADAMTSL1,MRGPRF,RNF152,NFASC,FAM26E,PODXL,PTPRO,ARHGAP28,SOST"
"hsa-miR-671-5p","SYCP1"
"hsa-miR-766-3p","KRIT1,AGK,ZKSCAN5,SUN1,ZNF12,C17orf97,C7orf63,HOXA3,ZNF655,CREB5,WDR60"
"hsa-miR-132-3p","NCRNA00052"
"hsa-miR-145-3p","KNG1,UMOD,SLC43A1,GPC3,LPL,DNASE1,GRM1,SCNN1B,PTGER1,C7orf41,LOC284578,OLFM3,PLCB1,HRG,GPM6A,RGS7BP,C15orf56,NUDT4,PRDM16,IL1R2,SYP,TRAM1L1,PLAU,CLDN19,IGSF10,LOC100192426,GPIHBP1,PRMT8,DUSP9,FLJ42875,PGAM2,DNASE1L3,CYFIP2,MPPED2,NDRG2,GALNTL4,C21orf130,GP2,TSPAN8,WNK4,TFAP2B,LOC255167,SIM2,NAT8L,KCNJ10,C5orf38,LOC100303728,SGIP1,CDH18,LPHN3,F11,LOC400043,LMO3,GPR113,TPPP2,ANGPTL1,KIF26A,SYTL4,C20orf160,OPCML,MYO3B,FLRT1,SEMA6D,EGF,IRX1,ESRRB,SLC4A8,MFSD4,SYT7,PXDNL,SOX17,CLDN5,IRX2,TDGF1,C6orf146,SLC12A1,FECH,MUC15,CASR,TPTE2P3,TEK,AMPH,DNM3,GALNTL2,LRIT3,ESAM,LRRC20,GLIPR1L2,TMEM72,TDGF3,NELL1"
"hsa-miR-342-5p","SLC14A1,KNG1,SIAH3,UMOD,SLC43A1,GPC3,JAM2,GLTP,LPL,DNASE1,DTX1,SCNN1B,SVOPL,PTGER1,C7orf41,CADM1,C5orf47,RAP1GAP,LOC284578,PLCB1,HRG,GPM6A,RGS7BP,GADL1,EMID2,C15orf56,NUDT4,PRDM16,FAM43A,ADAMTS6,IL1R2,HYAL4,SYP,TRAM1L1,B4GALNT2,DHH,PLAU,CLDN19,IGSF10,LOC100192426,GPIHBP1,PRMT8,SLC9A4,DNAJC19,DUSP9,FLJ42875,PGAM2,CLCNKA,NUAK2,CYFIP2,MPPED2,NDRG2,DNAJC11,GALNTL4,LOC25845,GPBAR1,C21orf130,GP2,RGS6,TSPAN8,WNK4,H1F0,TFAP2B,LOC255167,BMPR1B,SIM2,NAT8L,KCNJ10,PADI2,C5orf38,LOC100303728,SGIP1,LPHN3,F11,LOC400043,SORCS2,LMO3,GPR113,UBTD1,ANGPTL1,KIF26A,SYTL4,ITGB1BP1,C20orf160,C9orf70,MYO3B,TIE1,FLRT1,CPAMD8,EGF,IRX1,FAM43B,ESRRB,PCDH11Y,SUSD4,SLC4A8,MFSD4,SYN3,SYT7,C14orf50,SOX17,RPRM,CLDN5,UNCX,IRX2,APBB1IP,GPR12,C6orf146,SLC12A1,UNC13C,PLCH1,FECH,SLC5A3,C21orf82,MUC15,KIAA1467,EYA4,NOS3,CASR,MRPS6,HELT,TPTE2P3,RBP7,VWA3B,LTBP1,AMPH,DNM3,GALNTL2,KCNJ9,LRIT3,AQP3,ESAM,LRRC20,C7orf51,ADCY4,RPLP0P2,GLIPR1L2,PRIMA1,TMEM72,NELL1,C10orf55"
"hsa-miR-423-3p","PHKG2,STON2,MGC45800,ZNF18"
"hsa-miR-140-3p","SPON1"
"hsa-miR-101-3p","SNRPD2,PQLC2,MRPL27,AARSD1,MTX1,UQCRQ,MRPL24,GADD45GIP1,KRTCAP2,RPS19,GLRX2,PSMB3,NDUFA7,RPL38,TM9SF2,RUVBL2,NT5C,C15orf63,COX6A1"
"hsa-miR-502-3p","KNG1,SIAH3,UMOD,SLC43A1,GPC3,JAM2,AQP2,GLTP,LPL,AMELY,DNASE1,GRM1,DTX1,SCNN1B,SVOPL,PTGER1,C7orf41,CADM1,RAP1GAP,LOC284578,PLCB1,HRG,GPM6A,GADL1,C15orf56,NUDT4,PRDM16,FAM43A,ADAMTS6,IL1R2,SYP,TRAM1L1,B4GALNT2,DHH,CLDN19,IGSF10,C1QTNF9,GPIHBP1,PRMT8,SLC9A4,DNAJC19,DUSP9,FLJ42875,PGAM2,CLCNKA,CYFIP2,MPPED2,NDRG2,DNAJC11,GALNTL4,LOC25845,GPBAR1,C21orf130,GP2,RGS6,TSPAN8,WNK4,TFAP2B,LOC255167,BMPR1B,SIM2,SCNN1G,NAT8L,KCNJ10,PADI2,C5orf38,LOC100303728,SGIP1,LPHN3,F11,LOC400043,SORCS2,LMO3,GPR113,UBTD1,TPPP2,USHBP1,ANGPTL1,KIF26A,SYTL4,C20orf160,MYO3B,TIE1,FLRT1,SEMA6D,EGF,IRX1,ESRRB,SUSD4,SLC4A8,MFSD4,SYN3,SYT7,PXDNL,MPV17,SOX17,AGRP,IRX2,TDGF1,GABRA2,GPR12,C6orf146,LMO1,SLC12A1,UNC13C,FECH,SLC5A3,C21orf82,MUC15,KIAA1467,NOS3,CASR,MRPS6,HELT,YARS2,VWA3B,C8orf12,AMPH,DNM3,GALNTL2,NMUR2,KCNJ9,LRIT3,AQP3,ESAM,LRRC20,RPLP0P2,GLIPR1L2,INPP5J,PRIMA1,TMEM72,TDGF3,NELL1,C10orf55"
"hsa-miR-99a-5p","RAB36,ZMYND10,HOXA3,WDR93,MRPS16,GPR125,TTC25,DACT2"
"hsa-miR-26a-5p","KCNH2"
"hsa-miR-30a-3p","PUS1,KRT10,NOP2,PA2G4"
"hsa-miR-629-5p","HK2"
"hsa-let-7d-3p","ZKSCAN5,SUN1,IQCE,ZNF12,ZMYND10,C17orf72,ZNF498,HOXA3,ZNF655,WDR60,MDH1B,TTC25,MAD1L1"
"hsa-miR-190a","EFHC1,MGC12982,MKS1"
"hsa-miR-3127-5p","EDDM3B"
"hsa-miR-30a-5p","GADL1,C21orf94"
"hsa-let-7e-3p","TMEM188"
"hsa-miR-660-5p","C7orf16"
