"ID","Up_regulated"
"hsa-miR-30a-5p","SLC14A1"
"hsa-miR-629-5p","FAM162B,C1QTNF2,PLAC9,ANGPTL5,FXYD1"
"hsa-miR-93-5p","DDX39,UHRF1"
"hsa-let-7f-5p","C11orf80"
"hsa-miR-505-5p","PI16"
"hsa-let-7c","THUMPD2"
"hsa-let-7e-5p","LOC286359"
"hsa-miR-9-5p","ESPL1"
"hsa-miR-374a-3p","CYP1A2"
"hsa-miR-181c-3p","ZNF285"
"hsa-miR-185-5p","FASTKD3"
"hsa-miR-28-5p","TMEM87B"
"hsa-miR-143-3p","ACADL,PDIA4,C1orf107,C13orf15,NECAB1,ADRB2,PYCR1,LIN7A,IRAK1"
"hsa-miR-425-5p","EXOC3"
"hsa-miR-497-5p","ZNF74"
"hsa-miR-181d","TDRD10"
"hsa-miR-145-3p","MFSD9"
"hsa-let-7b-3p","IFNK"
"hsa-miR-126-5p","TSPAN18,ADRA1D,GPM6A,GPER,AGER,WNT3A,CDH5,PAICS"
"hsa-miR-200a-5p","ADCY8,CFL2"
"hsa-miR-375","KCNH2"
"hsa-miR-34a-5p","CFD,FAM43A"
"hsa-miR-511","APOC2"
"hsa-miR-186-5p","ZNF75A"
"hsa-miR-24-2-5p","KCNAB1"
"hsa-miR-486-5p","SAMD14"
"hsa-miR-221-3p","CDCA2,ATAD5"
"hsa-miR-192-5p","BCMO1"
"hsa-miR-26b-3p","GPR172A"
"hsa-miR-378a-3p","KRT82"
"hsa-miR-338-5p","DCC"
"hsa-miR-199b-3p","NOX4"
"hsa-miR-28-3p","WDR8,C17orf56"
"hsa-miR-27b-3p","CEACAM1"
"hsa-miR-148a-3p","GPM6A,GPIHBP1,MYCT1,CYYR1,LDB2,RTKN2,GPX3,COLEC10"
"hsa-miR-22-5p","PPIB"
"hsa-miR-191-5p","ZNF785,ZNF354B"
"hsa-miR-93-3p","TBC1D3,C6orf134"
"hsa-miR-30c-2-3p","SFTPC,C1orf107"
"hsa-miR-29b-3p","NFS1"
"hsa-let-7a-5p","BMPR2,PDIA4,OTUD1"
"hsa-miR-16-5p","HBA2"
"hsa-let-7g-5p","MGAM"
"hsa-miR-29c-3p","DERL3"
"hsa-miR-106b-3p","ANXA8L1"
"hsa-miR-155-5p","TTC9"
"hsa-miR-339-3p","STAP2"
"hsa-miR-146b-5p","KLC4,SMPDL3A"
"hsa-miR-15a-5p","HPSE2"
"hsa-miR-451a","SLC4A1"
"hsa-miR-141-3p","C1GALT1C1"
"hsa-miR-212-3p","EFCAB4A"
"hsa-miR-22-3p","C1orf107,NVL"
"hsa-miR-106b-5p","SDC1"
"hsa-miR-24-3p","PTPN5"
"hsa-miR-331-3p","SLC27A6"
"hsa-miR-30c-5p","HERC2P2"
"hsa-miR-148a-5p","TMPRSS4"
