"ID","Up_regulated"
"hsa-miR-16-1-3p","C15orf42,KIF7,FANCI"
"hsa-miR-320a","FST"
"hsa-miR-708-5p","PALM2-AKAP2,TNNC1,CDC45,AURKA,CLEC3B,PKMYT1,KHDRBS2,ESPL1,VWA5B1,TCF21,GDF10,ANLN,LTC4S,FGFR4,KIF23,GRK5,GATA2,C10orf67,CKAP2,MCM4,TDRD10,SKA3,BUB1B,EPAS1,SLC1A1,FOLR1,AGER,HPGD,ANXA3,GRAMD2,CCDC85A,OTUD1,LMO7,KLF2,GPBAR1,GNA14,SULT1A2,SLC9A3R2,HMGA1,UHRF1,AK1,CAV1,CA4,NUSAP1,SPAG5,CYP4B1,ERCC6L,FXYD4,CENPI,KIF4A,FXYD1,CENPF,TTK,KANK3,USHBP1,PTPN21,CCNF,SFTA1P,C16orf59,RNASE4,AQP4,CNTN6,CFL2,CLDN18,TROAP,BEND2,GTSE1,GSTM5,RS1,CENPO,MCM2,FANCI,INMT,GCOM1,EXO1,FHL1,RTKN2,C6orf174,KIF18B,ZWILCH,OIP5,LOC400804,SLC39A8,SSTR1,FMO2,ADRB2,RCC1,KIF14,BUB1,SKA1,ASF1B,EMCN,CENPA,CCDC48,FCN3,FAM105A,RAD51,TIMELESS,RAMP3,POLQ,SDPR,MKI67,NCAPH,ADCY4,RAMP2,XRCC2,CENPE,TMEM125,PRC1,ARHGAP11A,HJURP"
"hsa-miR-378c","PAIP1"
"hsa-miR-21-5p","PALM2-AKAP2,CDC45,GINS2,AURKA,SCN7A,CLEC3B,PKMYT1,ABCA8,ESPL1,LPL,C14orf132,FIGF,TCF21,DKC1,PTPRB,C4orf31,MFSD2B,KIF15,GDF10,ATOH8,ANLN,HPRT1,AFF3,FGFR4,KIF23,TSPAN12,GRK5,HECW2,GGTLC1,GATA2,CKAP2,MCM4,LMOD3,TDRD10,SCUBE1,CLIC5,TBX4,MRPL3,FHL5,RSPO2,SKA3,LOC572558,C1QTNF7,C20orf20,SHE,GPR133,BUB1B,DUSP1,GIMAP8,EPAS1,SLC1A1,MYCT1,FOLR1,AGER,FLAD1,HPGD,ANXA3,SPTBN1,GRAMD2,SUSD2,CCDC85A,OTUD1,LMO7,C13orf15,GPBAR1,GNA14,AKAP2,CDO1,PDE1C,ALDH3B1,SLC9A3R2,HMGA1,UHRF1,UBE2S,CAV1,MS4A15,CA4,NUSAP1,ACVRL1,BTNL3,RNASE1,NXPH3,SYNE1,SEMA3G,SPAG5,SHROOM4,CYP4B1,ABI3BP,ERCC6L,TK1,VIPR1,FRMD3,CENPI,SH2D3C,KIF4A,FXYD1,CENPF,NPR1,TTK,ACTN2,EPR1,KANK3,NFKBIL2,CHRDL1,USHBP1,EDNRB,STARD8,CASS4,PHACTR2,PTPN21,CCNF,ITGA10,KIAA1462,GPR146,C16orf59,RNASE4,ASPA,AQP4,CNTN6,GPD1L,FOXF1,CFL2,CLDN18,TMEM100,SNRPA1,TROAP,C20orf202,MAGI3,BEND2,GTSE1,LDB2,KL,SELENBP1,CX3CR1,ERG,SLC6A4,GSTM5,RS1,CENPO,TXNIP,MCM2,FANCI,INMT,GCOM1,EXO1,CDH5,FHL1,CTNND2,GAPDH,GPR116,RTKN2,RASL12,C6orf174,KIF18B,HDAC1,ARRB1,FAM189A2,ZWILCH,OIP5,ARHGEF15,AURKB,FMO2,SPN,ADRB2,RCC1,AOC3,MRC1,KIF14,GRIA1,TPSAB1,BUB1,SKA1,BTNL9,LRRN3,DISP1,SLIT2,ASF1B,NCKAP5,GPX3,DLC1,EMCN,CENPA,CYBRD1,C19orf48,CCDC48,NEGR1,TEK,C11orf9,TPSB2,RFC3,FCN3,FAM105A,CAV3,RAD51,TIMELESS,C1orf198,EMP2,RAMP3,EPB41L5,SH3GL2,LIMCH1,UNG,TNS1,POLQ,CD302,SDPR,MKI67,ESAM,CD300LG,S1PR1,RXFP1,FAM13C,NCAPH,RAMP2,XRCC2,CENPE,NMUR1,ADH1B,PRC1,ARHGAP11A,WFS1,HJURP"
"hsa-miR-671-5p","PALM2-AKAP2,CDC45,GINS2,AURKA,SCN7A,LOC286467,FLT4,ZMYND19,PKMYT1,ABCA8,KHDRBS2,NLRC4,ESPL1,LPL,C14orf132,FIGF,TCF21,DKC1,PTPRB,C4orf31,MFSD2B,KIF15,GDF10,DNAH12,ATOH8,ANLN,AK3L1,HPRT1,C6orf103,AFF3,RSPH10B2,KIF23,TSPAN12,GRK5,CDKL2,ACADL,GGTLC1,RAD51AP1,GATA2,CKAP2,UPF3B,MCM4,DAPK2,TDRD10,SCUBE1,CLIC5,TBX4,MRPL3,GPM6A,VEPH1,CCDC65,FHL5,RSPO2,FOXM1,SKA3,TMTC3,KIAA1751,FAM83H,C1QTNF7,KIAA1529,SFTA3,C20orf20,SHE,GPR133,BUB1B,WWC2,GIMAP8,SLC1A1,MYCT1,FOLR1,AGER,FLJ42875,FLAD1,RSPH4A,ANXA3,SFTPC,SPTBN1,SPTBN2,GRAMD2,SUSD2,CCDC85A,OTUD1,LMO7,VSIG4,ADAM29,C13orf15,KLF2,ACOXL,EXOC3L,GPBAR1,GNA14,SULT1A2,CDO1,PDE1C,ALDH3B1,PLA2G1B,HMGA1,PER1,UHRF1,IMMT,LTA4H,UBE2S,C3orf15,MIA2,RXFP2,AK1,CAV1,SLFNL1,FGD5,CA4,NUSAP1,ACVRL1,RNASE1,MSH6,CHAF1A,DTHD1,SYNE1,SPAG5,F11,COL4A3,IYD,SHROOM4,CYP4B1,ABI3BP,KCMF1,ERCC6L,TK1,FRMD3,CENPI,MS4A7,SH2D3C,KIF4A,FXYD1,CENPF,NPR1,TTK,MSR1,ACTN2,EPR1,GPR120,NFKBIL2,USHBP1,KIAA1377,EDNRB,CASS4,HNF1B,PHACTR2,PTPN21,CCNF,ITGA10,GYPE,SFTA1P,KIAA1462,SNX30,TFAP4,GPR146,C16orf59,RNASE4,YSK4,AQP4,CNTN6,GPD1L,FOXF1,PLEKHH2,CFL2,CLDN18,PZP,SNRPA1,TROAP,CSE1L,MAGI3,AGBL1,GTSE1,LDB2,KL,SELENBP1,DPEP2,ERG,H2AFX,GSTM5,WDR78,DENND3,CENPO,CLEC14A,TXNIP,AATK,MCM2,LYVE1,FANCI,INMT,PGM5,GCOM1,EXO1,LIMD1,CDH5,FHL1,CTNND2,GAPDH,ALOX5,GPR116,RTKN2,RASL12,C6orf174,ITLN2,KIF18B,HDAC1,ARRB1,SYT15,FAM189A2,ZWILCH,KIAA0087,CAPN9,OIP5,ARHGEF15,AURKB,SLC19A3,FMO2,SPN,ADRB2,GUCA2A,GMPS,RCC1,AOC3,MRC1,KIF14,C6orf97,BUB1,SKA1,NEK10,LRRN3,DISP1,TEX10,SLIT2,ASF1B,LOC158376,C19orf69,NCKAP5,PYCR1,CACNA2D2,SLC16A12,DLC1,CENPA,CYBRD1,C19orf48,CCDC48,RFC5,TEK,C11orf9,RFC3,TMEM212,C2orf77,FAM105A,C17orf53,LRP2BP,RAD51,FBP1,TIMELESS,SLC46A2,CCDC81,C1orf198,EMP2,TMEM177,EPB41L5,SH3GL2,TFB2M,LIMCH1,UNG,TNS1,LRRC36,POLQ,CD302,C7orf11,SDPR,MKI67,ESAM,TRPC2,RXFP1,FAM13C,PNPLA6,NCAPH,GYPB,XRCC2,NEK5,PRCC,SMAD6,C10orf79,CENPE,NMUR1,OVCH2,ABCA6,NOVA2,TMEM125,PRC1,RGS22,ARHGAP11A,WFS1,C1orf168,HJURP,ROBO4"
"hsa-miR-29b-3p","BDH1"
"hsa-miR-27a-5p","JUND,CKAP2,SGMS2,TMTC3,GADD45B,CSRNP1,RND1,AG2,MYBPHL,NAPSA,CD83,ICAM4,TMEM88,CXCL2,JDP2,POLQ,CENPE"
"hsa-miR-107","AFAP1L2"
"hsa-miR-222-3p","DQX1"
