"ID","Up_regulated"
"hsa-miR-10a-5p","HOXB5"
"hsa-miR-23b-3p","HTR1A"
"hsa-miR-204-5p","C3orf36"
"hsa-miR-744-3p","PREP"
"hsa-miR-1976","CCDC89,DPYSL3,HMGCLL1,JAZF1,ANGPTL1,C1QL1,FGF2,LOC399959"
"hsa-miR-203a","ADRB3"
"hsa-miR-335-5p","CCND2,ENO2"
"hsa-miR-200c-3p","EPHA10"
"hsa-miR-660-5p","NKX2-3"
"hsa-miR-423-3p","C20orf56"
"hsa-miR-99a-5p","NKAIN1"
"hsa-miR-423-5p","DNAJC18,IL33,ITSN1,CDC42EP3,EPHA3,FAM13B,KCNJ8,STARD8,IRAK3,BEST1,C7orf58,KIAA1614,PPP1R12A,FRMD6,DPT"
"hsa-miR-146b-5p","DUOXA1"
"hsa-miR-25-3p","ANKMY2,TMLHE,LONRF3,PLEKHA2,LCA5,FRMD6,STK33"
"hsa-miR-30d-5p","C8orf45"
"hsa-miR-141-5p","CHD5"
"hsa-miR-17-5p","NCCRP1"
"hsa-miR-889","CRHBP"
"hsa-miR-134","BDKRB2"
"hsa-miR-27b-3p","LGR6"
"hsa-miR-381-3p","DEFB118"
"hsa-miR-146b-3p","ANKRD43"
"hsa-miR-136-3p","IGSF1"
"hsa-miR-532-5p","RSPO3"
"hsa-let-7g-5p","SNORA18"
"hsa-miR-452-5p","MST1R"
"hsa-miR-411-5p","DNAJB1"
"hsa-miR-100-5p","SCGB3A1"
"hsa-miR-182-5p","TMLHE,LONRF3,STOX2,FRMD6"
"hsa-miR-96-5p","TNNI3K"
"hsa-miR-103a-3p","DUSP19"
"hsa-miR-148a-5p","DNAJB4,FGF2,FRMD6"
"hsa-miR-200c-5p","LPHN3"
"hsa-let-7f-5p","POU2F2"
"hsa-miR-26a-5p","IL20RB"
"hsa-miR-151a-5p","RPGRIP1"
"hsa-miR-3065-3p","SPESP1"
"hsa-miR-361-3p","SP5"
"hsa-miR-148a-3p","CPA6"
"hsa-miR-451a","GFRA2"
"hsa-miR-106b-5p","ERN2"
"hsa-miR-769-5p","LMX1B"
"hsa-miR-21-5p","TGM5"
"hsa-miR-181a-5p","FAM55D"
"hsa-miR-141-3p","SLC25A45"
"hsa-miR-99b-3p","C12orf75"
"hsa-miR-19b-1-5p","LOC256880"
"hsa-miR-484","LOC100128554"
"hsa-miR-22-5p","TTR"
"hsa-miR-92a-3p","ANO6,PLEKHA2,EPS8,STOX2,LCA5"
"hsa-miR-152","C3orf65"
"hsa-miR-126-5p","ATXN8OS"
"hsa-miR-183-5p","DPYSL3,GRK5,KCNJ8,JAZF1,FGF2,AOC3,RIMS3,C7orf51"
"hsa-miR-1307-3p","HCG22"
"hsa-miR-320a","OR8G5"
"hsa-miR-191-5p","PRDM5,STOX2"
"hsa-miR-19a-3p","APOC1"
"hsa-miR-22-3p","TJP3"
"hsa-miR-20a-5p","F12"
"hsa-miR-221-3p","MAMLD1,FAM107A"
"hsa-miR-143-3p","KCND1,FHOD3,MPRIP,ITSN1,JAZF1,TBL1X,STARD8,CLIP3,EHD2,AOC3,PPP1R12A,TLN1,SEC23A,HRH2"
"hsa-miR-148b-3p","NOX1"
"hsa-miR-181c-5p","CCK"
"hsa-miR-181b-5p","SERPINA12"
"hsa-miR-181a-3p","SCNN1A"
"hsa-miR-378c","TRIM9"
"hsa-miR-93-5p","FER,TMLHE,KITLG,SLC16A4,IRAK3,RNF180,EPS8,LCA5,FRMD6,RORA"
"hsa-miR-17-3p","GPR37L1"
"hsa-miR-361-5p","RAET1G"
"hsa-miR-708-3p","DAB1"
"hsa-miR-135a-5p","CERK"
"hsa-miR-19b-3p","POLN"
"hsa-miR-200a-5p","FAM65C"
"hsa-miR-145-3p","SNHG3-RCC1"
"hsa-miR-27a-3p","OR2J3"
"hsa-miR-375","MTMR8"
