"ID","Up_regulated"
"hsa-miR-222-3p","CPA1"
"hsa-miR-652-3p","HOXB5"
"hsa-miR-148b-3p","ENPP3"
"hsa-miR-29b-3p","TMEM86A"
"hsa-miR-221-3p","ACSS3"
"hsa-miR-200c-3p","DPYSL3"
"hsa-miR-19b-1-5p","BDH1"
"hsa-miR-330-5p","HOMEZ"
"hsa-miR-99b-3p","ME1"
"hsa-miR-451a","TBX2"
"hsa-miR-139-5p","NKAIN1"
"hsa-miR-17-5p","LOC100130331"
"hsa-miR-25-3p","TMLHE"
"hsa-miR-27a-3p","PCDHGB1"
"hsa-miR-10b-3p","IL18R1"
"hsa-miR-30c-2-3p","SPON2"
"hsa-miR-744-5p","CDH9"
"hsa-miR-92a-3p","TRIM6"
"hsa-miR-29c-5p","SLC16A7"
"hsa-miR-30d-3p","PRKACG"
"hsa-miR-145-3p","DKFZP434H168"
"hsa-miR-423-5p","PAK3"
"hsa-miR-505-3p","TMEM213"
"hsa-miR-452-5p","ANXA8"
"hsa-miR-183-5p","C1orf183"
"hsa-let-7a-3p","CTTNBP2"
"hsa-miR-135a-5p","KIF26B"
"hsa-miR-708-3p","CCDC46"
"hsa-miR-146b-3p","ANKRD43"
"hsa-miR-340-5p","SNORA18"
"hsa-miR-200a-5p","CCDC80"
"hsa-let-7a-5p","ENO2"
"hsa-miR-382-5p","DNTT"
"hsa-miR-375","CACHD1"
"hsa-miR-141-5p","ZNF423"
"hsa-miR-143-5p","RNF126P1"
"hsa-miR-34a-5p","NLRP12"
"hsa-miR-21-5p","FAM167A"
"hsa-miR-152","THSD1P1"
"hsa-miR-93-5p","ADAMTS5"
"hsa-miR-411-5p","PCDHA4"
"hsa-miR-103a-3p","TBL1X"
"hsa-miR-1976","NTRK1"
"hsa-miR-181b-5p","PRND"
"hsa-miR-17-3p","CPNE2"
"hsa-miR-146b-5p","ALDH1A2"
"hsa-miR-194-5p","SNORA12"
"hsa-miR-203a","CFL2"
"hsa-miR-136-5p","CALCR"
"hsa-miR-486-5p","HBB"
"hsa-miR-126-3p","FAM55D"
"hsa-let-7b-3p","FKBP7"
"hsa-miR-10a-5p","USP44"
"hsa-miR-150-5p","APOC1P1"
"hsa-miR-200c-5p","CLIP3"
"hsa-miR-136-3p","DHDPSL"
"hsa-miR-23b-3p","GCOM1"
"hsa-miR-374a-3p","OR10A3"
"hsa-miR-200b-3p","HDAC1"
"hsa-miR-365a-3p","PLIN5"
"hsa-miR-589-5p","RAGE"
"hsa-miR-151a-5p","OR51A4"
"hsa-miR-148a-5p","RIMS3"
"hsa-miR-320a","CTU1"
"hsa-miR-191-5p","PRDM5"
"hsa-miR-96-5p","ARL10"
"hsa-miR-29c-3p","CDH7"
"hsa-let-7d-5p","B4GALNT4"
"hsa-miR-148a-3p","CLVS2"
"hsa-let-7f-5p","PDZRN4"
"hsa-miR-335-5p","SNORA72"
"hsa-miR-532-5p","OR10A6"
"hsa-miR-378c","TRIM9"
"hsa-miR-143-3p","FRMD6"
"hsa-miR-127-3p","EDN2"
"hsa-miR-204-5p","LOC284551"
"hsa-miR-27b-3p","POU3F1"
"hsa-miR-378a-5p","C13orf39"
"hsa-miR-19b-3p","GMDS"
"hsa-miR-140-3p","KIAA1210"
"hsa-let-7g-5p","CCDC74B"
"hsa-miR-99a-5p","LRRN1"
"hsa-miR-182-5p","MTMR8"
"hsa-miR-141-3p","RECK"
