"ID","Up_regulated"
"hsa-miR-145-5p","RHAG"
"hsa-miR-218-5p","LRRN4CL,PI16,SCARA5,FAM180B,F10,PODN"
"hsa-let-7a-2-3p","AGR3"
"hsa-miR-181d","PLEKHG4"
"hsa-miR-1180","VAV3"
"hsa-miR-28-5p","CCND2,CCND1"
"hsa-miR-338-3p","CA12"
"hsa-miR-10a-5p","KRTAP4-11"
"hsa-miR-181a-2-3p","DAPK2"
"hsa-miR-146b-3p","ARMCX3,ARMCX2,ARMCX6,ETNK2"
"hsa-miR-502-3p","IGFBP5"
"hsa-miR-30c-5p","HRH1,DPY19L1,FAM84A,XPR1,MDFIC"
"hsa-miR-222-5p","HPN,MGAT4B"
"hsa-miR-221-3p","ZC3H12C,SLC26A7,C11orf80,CCDC67,PAPSS2,BBC3,GPM6A,RYR2,BID,C8orf84,INF2,EPHA3,PROX1,LSR,AOX1,GALE,LRP1B,OCA2,GLT1D1,DDX25,LASP1,PLA2R1,GOLT1A,PAR5,MAP3K6,PTP4A3,NEK10,TAX1BP3,TMEM41A,ADK,EPHA6,TOMM34,ABR,ARAP2,ZNF804B,NPC2,C6orf168,NEK5,PDLIM4,TSPAN19,CNTN5"
"hsa-miR-30a-5p","ITGA2,C5orf62,MICAL2,STAC,NOX4,MBOAT2,MTMR11,RUNX1,COL8A2,LAMC2,ANKLE2"
"hsa-miR-125a-5p","C20orf203"
"hsa-miR-27b-3p","ANKH,ANKRD43,PLEKHA4,CD47"
"hsa-miR-486-5p","ZIM2"
"hsa-miR-16-2-3p","HBA2,HBB"
"hsa-miR-576-5p","TYRO3"
"hsa-let-7b-3p","DDX3X,DCDC1,PAR5,RPS6KA5,ZNF295,ARAP2"
"hsa-miR-96-5p","BRSK1"
"hsa-miR-193a-3p","ATP11A"
"hsa-miR-628-5p","THBS4"
"hsa-miR-652-3p","MYO16"
"hsa-miR-155-5p","TMEM156,CD79A,IL16"
"hsa-miR-152","PTPRF,HPSE,ERBB3,ACVR1,MBOAT2,AMOT,IQGAP1,PLEKHA4,MAP3K5,POU2F3,GTF2IRD1,TMEM43,IL17RD,PLEKHA6,IDS,ANKLE2,STAM,CD47,VWA5A,ZHX2,PAM,LLGL1,PTPRE"
"hsa-miR-23a-3p","ABCC6"
"hsa-miR-183-5p","PLEKHA4,RARG,MXRA8,CDC42EP1,PDLIM1"
