"ID","Up_regulated"
"hsa-miR-92a-3p","CXorf36,NEXN,KDR,JAM2,SLCO2A1,PJA2,TIMP3,MEF2C,DMD,GPM6A,SPARCL1,ITGA8,FLI1,CTNNA3,BEND4,MMRN2,GIMAP8,GPRASP1,MYCT1,PPP1R12B,ITPR1,CCDC80,AKAP2,PEAR1,CALCRL,SH3BGRL,PDE8B,CLIC2,KCNJ8,ABCB1,DIXDC1,KCNA1,DSTN,FERMT2,STARD8,KIAA1462,TIE1,SYNPO2,PGM5P2,PBX1,ERG,LRCH1,CLEC14A,TXNIP,ZAK,PGM5,ZEB1,GPR116,PI15,PCDH12,RERG,BNC2,SYT15,GAB1,SELP,PPP1R12A,KCNMA1,GIMAP5,HEG1,EMCN,ABCG2,SVIL,NPY5R,STAT5B,TNS1,ESAM,S1PR1,ABCC9,RASA4,SORBS1,GLP2R,ARHGAP31,ZNF366,GNG12,RECK"
"hsa-miR-22-5p","N4BP2L1,C5orf53,TMEM8A,C5orf4"
"hsa-miR-141-5p","SAP30L,ANTXR2,GLT8D2,C5orf53,ANO6,NKAPL,PRNP,PJA2,MEF2C,FXYD6,GPM6A,NEDD4,SPARCL1,ARHGAP6,ENO1,GPRASP1,ITM2A,PCDHGA2,GPRASP2,TMEM8A,MID2,HLF,SH3BGRL,NXPH3,PDE8B,KCNJ8,C4orf12,DIXDC1,CNRIP1,KIAA1462,METTL7A,C5orf4,PGM5P2,CALHM2,ANKRD29,KLHL33,C7orf58,LRCH1,NAP1L2,TXNIP,AKT3,PGM5,ZEB1,PRDM8,BNC2,TMEM55A,CASP12,MXI1,GAB1,CYP2U1,MAMDC2,PPP1R12A,CBX7,KANK2,CYBRD1,MAOB,PCDHGA6,UCHL3,STAT5B,SMOC2,ADCY2,CD302,SDPR,RHOJ,ZNF483,C1orf21"
"hsa-miR-32-5p","AURKA"
"hsa-miR-100-5p","TRIM61"
"hsa-miR-425-3p","SIGLECP3"
"hsa-miR-191-5p","TSHB"
"hsa-miR-23b-3p","CD248"
"hsa-miR-15b-3p","MRPL36,DRG1"
"hsa-miR-423-3p","TSPAN18,NEXN,DPYSL3,TIMP2,DMD,IL33,CLIC4,DSTN,SYNPO2,C16orf45,PBX1,FAM69A,FGF2,AKT3,GAB1,CALD1,KCNMA1,TNS1,SGCA,ABCC9,SORBS1,MBNL1,GNG12"
"hsa-miR-1307-3p","N4BP2L1,SAP30L,ANTXR2,GLT8D2,PGCP,C5orf53,PRNP,PJA2,FXYD6,GPM6A,ARHGAP6,ENO1,PRELP,GPRASP2,TMEM8A,MID2,HLF,NXPH3,PDE8B,KCNJ8,C4orf12,ABI3BP,CNRIP1,CCNB1,KIAA1462,EPT1,C5orf4,TROAP,CALHM2,ANKRD29,C7orf58,NAP1L2,PGM5,FLJ35390,CYP2U1,MAMDC2,CBX7,KANK2,CYBRD1,UCHL3,STAT5B,SMOC2,CD302"
"hsa-let-7c","LOC100240735"
"hsa-miR-181b-5p","APOBEC3B"
"hsa-miR-361-5p","NXF2"
"hsa-miR-27b-3p","TBX2"
"hsa-miR-16-5p","IDH2,TMEM8A"
"hsa-miR-107","LRRC2,ADAMTS5,BACH2"
"hsa-miR-29a-3p","FFAR1"
"hsa-miR-195-5p","OXER1"
"hsa-miR-148b-3p","CCL14,PECAM1,AQP1,PTGIS,ART4,C10orf54,CTSG"
"hsa-miR-150-5p","RSPO4"
"hsa-miR-125a-5p","KCNS2"
"hsa-miR-30a-5p","APOL1"
"hsa-miR-99a-5p","ESX1"
"hsa-miR-339-5p","FAM24B"
"hsa-miR-24-1-5p","PRR23A"
"hsa-miR-186-5p","TMEM14C"
"hsa-miR-590-5p","CXorf36,MEF2C,SPARCL1,ITGA8,CD93,MMRN2,MYCT1,AKAP2,PEAR1,ABCB1,STARD8,PGM5P2,ERG,LRCH1,GPR116,PCDH12,BNC2,SYT15,SELP,PPP1R12A,KCNMA1,HEG1,EMCN,ESAM,S1PR1,ARHGAP31,ZNF366"
