description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Pathways in cancer                                           |hsa05200     |172        |1148      |403       |61686         |22.93338290348518  |1.1932499999999995e-187|3.7229299999999986e-185|CHUK,CEBPA,CDKN2A,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,TXNRD2,CDH1,CDC42,RASGRP1,BCL2L11,AKT3,KEAP1,TRAF4,ROCK2,CCNE1,CCND3,CCND2,CCNE2,RUNX1,CASP8,CASP7,CASP3,FADD,IKBKG,FZD7,FZD6,AXIN2,NCOA3,FZD5,CXCR4,WNT7A,WNT1,VHL,VEGFA,TPM3,TP53,TGFBR2,TGFBR1,TGFB2,TGFA,TERT,BRCA2,BRAF,STAT5B,STAT5A,STAT4,STAT3,STAT1,SPI1,SP1,BMP2,SMO,CXCL12,RPS6KB1,BCL2,CCND1,ROCK1,RET,BAK1,RB1,RAF1,RAD51,RAC1,PTEN,MAPK9,MAPK1,PRKCA,PRKACB,PMAIP1,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,NRAS,NOTCH2,NOTCH1,NKX3-1,NFKBIA,NFKB1,MYC,MSH3,MSH2,MMP9,MMP2,MMP1,MLH1,MITF,MET,ARNT,MDM2,SMAD4,SMAD3,SMAD2,LRP5,LRP6,RHOA,LAMC2,KRAS,JUN,JAK2,JAK1,ITGB1,FASLG,FAS,ITGA6,IL13RA1,IL12A,CXCL8,IL6R,IL6,IKBKB,IGF2,IGF1R,IGF1,IFNGR1,IFNAR1,BIRC5,XIAP,HSP90AA1,APC,HES1,HRAS,APAF1,HMOX1,HIF1A,HDAC2,MSH6,GSK3B,GLI1,MTOR,ABL1,FOS,FN1,FOXO1,FGFR2,FGFR3,FGF7,FGF2,AKT2,AKT1,ETS1,ESR1,ERBB2,EPOR,EPO,EPAS1,AGTR1,EGFR,JAG1,TCF7L1,EDNRA,EDN1,LPAR1,E2F3,E2F2,E2F1,DAPK3,DAPK1,EGLN1,CTNNB1,CTBP2,SUFU,CSF1R,LEF1,CRKL,COL4A2,COL4A1,BBC3
MicroRNAs in cancer                                          |hsa05206     |103        |1148      |145       |61686         |38.16927790460171  |1.6812299999999997e-144|2.6227199999999992e-142|ZFPM2,SIRT1,DICER1,CDKN2A,CDKN1B,CDKN1A,CDK6,CDC25C,CDC25A,PAK4,SPRY2,CD44,BCL2L11,ZEB2,CCNG1,CCNE1,CCND2,CCNE2,CASP3,IRS2,SOCS1,TP63,RECK,HMGA2,VIM,EZR,VEGFA,UBE2I,TPM1,TP53,TIMP3,TGFB2,ZEB1,STAT3,BMPR2,BMI1,FSCN1,SHC1,BCL2L2,BCL2,CCND1,ROCK1,BAK1,RDX,RAF1,PTEN,MAPK7,MAPK1,PRKCE,PRKCA,PLAU,PIK3R1,PIK3CD,PIK3CB,PIK3CA,SERPINB5,ABCB1,PDGFRB,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MYC,ABCC1,MMP16,MMP9,MET,MDM2,MCL1,MARCKS,RHOA,KRAS,ITGB3,ITGA5,IRS1,IKBKB,APC,HRAS,HNRNPK,HMOX1,HDAC2,hsa-let-7c,GLS,MTOR,ABL1,FGFR3,EZH2,ERBB3,ERBB2,BMF,EGFR,EFNA1,E2F3,E2F2,E2F1,DNMT3B,DNMT3A,DNMT1,RPTOR,CYP24A1,CRKL,PDCD4
PI3K-Akt signaling pathway                                   |hsa04151     |105        |1148      |251       |61686         |22.478136235545623 |9.179159999999998e-113 |9.546319999999996e-111 |CHUK,CHRM1,PHLPP1,PHLPP2,ITGA11,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,BCL2L11,AKT3,CCNE1,CCND3,CCND2,CCNE2,IKBKG,YWHAZ,YWHAG,VEGFA,TSC1,TP53,THBS4,TGFA,SYK,RPS6KB1,BCL2,CCND1,RHEB,RBL2,RAF1,RAC1,PTEN,MAPK1,PKN2,PRKCA,PPP2R5E,PPP2R2A,PPP2CB,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,NTRK2,NTF3,NRAS,NOS3,NFKB1,MYC,MYB,MET,MDM2,MCL1,LAMC2,KRAS,KDR,JAK2,JAK1,ITGB8,ITGB3,ITGB1,FASLG,ITGA5,IRS1,ITGA6,INSR,IL6R,IL6,IKBKB,IGF2,IGF1R,IGF1,IFNB1,IFNAR1,HSP90AA1,HRAS,ANGPT2,GSK3B,G6PC1,MTOR,FN1,FLT1,FOXO3,FGFR2,FGFR3,FGF7,FGF2,AKT2,AKT1,ERBB3,ERBB2,EPOR,EPO,EIF4EBP1,EIF4E,EGFR,EFNA1,LPAR1,RPTOR,CSF1R,CREB1,COL4A2,COL4A1,COL1A2
Human papillomavirus infection                               |hsa05165     |96         |1148      |206       |61686         |25.040830824397013 |7.751869999999998e-109 |6.046459999999999e-107 |CHUK,ITGA11,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CDC42,AKT3,IKBKE,CCNE1,CCND3,CCND2,CCNE2,CASP8,CASP3,FADD,IKBKG,FZD7,FZD6,AXIN2,FZD5,WNT7A,WNT1,VEGFA,TSC1,TP53,TNF,TLR3,THBS4,TERT,STAT1,RPS6KB1,CCND1,RHEB,BAK1,RBL2,RBL1,RB1,RAF1,PXN,PTEN,MAPK1,PRKCZ,PRKACB,PPP2R5E,PPP2R2A,PPP2CB,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MDM2,LAMC2,KRAS,JAK1,ITGB8,ITGB3,ITGB1,FASLG,ITGA5,FAS,IRF1,ITGA6,IKBKB,IFNB1,IFNAR1,APC,HES1,HRAS,HDAC2,GSK3B,MTOR,FN1,FOXO1,AKT2,AKT1,EIF4EBP1,EGFR,JAG1,TCF7L1,E2F1,PALS1,CTNNB1,CSNK1A1,CREB1,TBK1,COL4A2,COL4A1,COL1A2
Hepatitis B                                                  |hsa05161     |78         |1148      |139       |61686         |30.152583159952876 |4.6196199999999987e-97 |2.8826399999999996e-95 |CHUK,TAB2,CDKN1A,CDK2,AKT3,IKBKE,CCNE1,CCNE2,CASP8,CASP3,FADD,IKBKG,YWHAZ,TP53,TNF,TLR3,TGFBR2,TGFBR1,TGFB2,BRAF,STAT5B,STAT5A,STAT4,STAT3,STAT1,SRC,MAP2K4,BCL2,RB1,RAF1,MAP2K6,MAP2K3,MAPK13,MAPK9,MAPK1,PRKCA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKBIA,NFKB1,NFATC1,MYD88,MYC,MMP9,MAP3K1,SMAD4,SMAD3,KRAS,JUN,JAK2,JAK1,FASLG,FAS,IRAK1,CXCL8,IL6,IKBKB,IFNB1,IFNAR1,BIRC5,HRAS,APAF1,TICAM2,FOS,AKT2,PTK2B,AKT1,TIRAP,EGR2,E2F3,E2F2,E2F1,MAPK14,CREB1,TBK1
Proteoglycans in cancer                                      |hsa05205     |81         |1148      |162       |61686         |26.86672473867596  |3.746059999999999e-95  |1.9479499999999994e-93 |RRAS2,CDKN1A,CDC42,CD44,AKT3,ROCK2,CAV1,CASP3,FZD7,FZD6,FZD5,WNT7A,WNT1,EZR,VEGFA,TWIST1,TP53,TNF,TIMP3,TIAM1,TGFB2,BRAF,STAT3,SRC,SMO,ACTB,RPS6KB1,CCND1,ROCK1,RDX,RAF1,RAC1,PXN,PTPN11,MAPK13,MAPK1,PRKCA,PRKACB,PPP1CA,PLAU,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,MYC,MSN,MMP9,MMP2,MET,MDM2,SMAD2,RHOA,KRAS,KDR,ITGB3,ITGB1,FASLG,ITGA5,FAS,IGF2,IGF1R,IGF1,HSPB2,HRAS,HIF1A,MTOR,FN1,FGF2,AKT2,AKT1,ESR1,ERBB3,ERBB2,EGFR,NANOG,CTNNB1,MAPK14,PLCE1,PDCD4,COL1A2
MAPK signaling pathway                                       |hsa04010     |86         |1148      |209       |61686         |22.110414617474948 |1.3211899999999997e-91 |5.888719999999999e-90  |CHUK,TAB2,RRAS2,DUSP10,CDC42,RASGRP1,AKT3,RAPGEF2,MAP4K4,MAP3K14,CASP3,IKBKG,CACNA1C,MAP3K12,VEGFA,TP53,TNF,TGFBR2,TGFBR1,TGFB2,TGFA,BRAF,STK3,MAP2K4,RPS6KA1,RASA1,RAP1B,RAF1,RAC1,MAP2K6,MAP2K3,MAPK13,MAPK9,MAPK7,MAPK1,PRKCA,PRKACB,PPP3CA,PDGFRB,PAK2,NTRK2,NTF3,NRAS,NFKB1,NFATC1,NF1,MYD88,MYC,MAP3K11,MET,MAP3K1,MEF2C,KRAS,KDR,JUN,FASLG,FAS,IRAK1,INSR,IL1B,IL1A,IKBKB,IGF2,IGF1R,IGF1,HSPA1B,HRAS,ANGPT2,FOS,FLT1,FGFR2,FGFR3,FGF7,FGF2,AKT2,AKT1,ERBB3,ERBB2,EGFR,EFNA1,DUSP6,DUSP1,DAXX,CSF1R,MAPK14,CRKL
AGE-RAGE signaling pathway in diabetic complications         |hsa04933     |62         |1148      |88        |61686         |37.85765758631612  |9.480879999999998e-87  |3.2866999999999993e-85 |CDKN1B,CDK4,CDC42,AKT3,CASP3,VEGFA,TNF,TGFBR2,TGFBR1,TGFB2,STAT5B,STAT5A,STAT3,STAT1,SELE,CCL2,BCL2,CCND1,RAC1,MAPK13,MAPK9,MAPK1,PRKCZ,PRKCE,PRKCA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,SERPINE1,NRAS,NOS3,NFKB1,NFATC1,MMP2,SMAD4,SMAD3,SMAD2,KRAS,JUN,JAK2,CXCL8,IL6,IL1B,IL1A,ICAM1,HRAS,FN1,FOXO1,AKT2,AKT1,AGTR1,EGR1,EDN1,CYBB,MAPK14,PLCE1,NOX4,COL4A2,COL4A1,COL3A1,COL1A2
Human cytomegalovirus infection                              |hsa05163     |78         |1148      |174       |61686         |24.087408386399133 |8.619289999999997e-87  |3.36152e-85            |CHUK,CDKN2A,CDKN1A,CDK6,CDK4,AKT3,ROCK2,CASP8,CASP3,FADD,IKBKG,CXCR4,VEGFA,TSC1,TP53,TNF,TAP1,STAT3,SRC,SP1,CXCL12,CCL5,CCL4,CCL2,RPS6KB1,CCND1,ROCK1,RHEB,BAK1,RB1,RAF1,RAC1,PXN,MAP2K6,MAPK13,MAPK1,PRKCA,PRKACB,PPP3CA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKBIA,NFKB1,NFATC1,MYC,MDM2,RHOA,KRAS,JAK1,ITGB3,FASLG,FAS,CXCL8,IL6R,IL6,IL1B,IKBKB,IFNB1,HRAS,GSK3B,MTOR,AKT2,PTK2B,AKT1,EIF4EBP1,EGFR,E2F3,E2F2,E2F1,CTNNB1,MAPK14,CRKL,CREB1,TBK1,CCR1
Kaposi sarcoma-associated herpesvirus infection              |hsa05167     |72         |1148      |146       |61686         |26.498687413488618 |4.545319999999998e-84  |1.4181399999999997e-82 |GABARAPL1,CHUK,ATG14,CDKN1A,CDK6,CDK4,AKT3,IKBKE,CASP8,CASP3,FADD,IKBKG,ZFP36,VEGFA,TP53,TLR3,SYK,STAT3,STAT1,SRC,MAP2K4,CCND1,BAK1,RB1,RAF1,RAC1,MAP2K6,MAPK13,MAPK9,MAPK1,PPP3CA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKBIA,NFKB1,NFATC1,MYC,KRAS,JUN,JAK2,JAK1,FAS,CXCL8,IL6,IKBKB,IFNGR1,IFNB1,IFNAR1,ICAM1,HRAS,HIF1A,ANGPT2,GSK3B,CXCL2,MTOR,FOS,FGF2,AKT2,AKT1,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,MAPK14,LEF1,CREB1,TBK1,CCR1
