description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Pathways in cancer                                           |hsa05200     |150        |933       |397       |61686         |24.980764090809693 |1.2222799999999996e-167|3.5568399999999993e-165|CHUK,CDKN2B,CDKN1B,CDKN1A,CDK6,CDK2,TXNRD2,CDH1,CDC42,RASGRP1,BCL2L11,AKT3,RBX1,KEAP1,ROCK2,CCNE1,CCND2,CCNA2,CCNE2,RUNX1,CCNA1,CASP8,CASP3,FADD,PIK3R3,FZD6,FZD4,FZD1,NCOA3,CXCR4,WNT2,WNT1,VHL,VEGFC,VEGFA,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TERT,STAT5B,STAT3,STAT1,BMP4,SPI1,SP1,BMP2,SLC2A1,SKP2,RPS6KB1,BCL2,CCND1,ROCK1,RET,RB1,RAD51,RAC1,PTGS2,PTGER4,PTEN,MAP2K1,PPARG,PMAIP1,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,PDGFRA,NRAS,NOTCH2,NOTCH1,NKX3-1,NFKB1,NFE2L2,MYC,MSH2,MMP9,MLH1,MITF,MET,MDM2,SMAD4,SMAD3,SMAD2,LRP6,RHOA,KRAS,KIT,JUN,JAK2,ITGB1,ITGAV,FASLG,ITGA3,IL13RA1,IL13,IL12RB2,IL12A,CXCL8,IL2,IKBKB,IGF1R,IGF1,IFNGR1,IFNG,XIAP,BIRC2,HSP90AA1,APC,HRAS,APAF1,HIF1A,HGF,MSH6,GSK3B,GRB2,MTOR,ABL1,FOS,FN1,FOXO1,FGF7,AKT2,AKT1,ETS1,ESR2,ESR1,ERBB2,WNT3A,AGTR1,EGFR,JAG1,TCF7L1,EDNRA,EDN1,LPAR1,E2F3,E2F2,E2F1,DVL3,EGLN1,DLL4,CTNNB1,WNT4,CSF1R,CRKL,COL4A1
MicroRNAs in cancer                                          |hsa05206     |98         |933       |145       |61686         |44.685131389289275 |3.913339999999999e-143 |5.693909999999999e-141 |ZFPM2,SIRT1,DICER1,CDKN1B,CDKN1A,CDK6,IGF2BP1,CDC25A,SPRY2,CD44,BCL2L11,ZEB2,CCNE1,CCND2,CCNE2,CASP3,IRS2,SOCS1,TP63,PIK3R3,RECK,HMGA2,VIM,EZR,VEGFA,UBE2I,TPM1,TP53,TIMP3,THBS1,TGFB2,ZEB1,BRCA1,STAT3,BMPR2,SOX4,BMI1,FSCN1,SHC1,BCL2L2,BCL2,CCND1,ROCK1,PTGS2,PTEN,MAP2K1,MAPK7,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,SERPINB5,ABCB1,PDGFRA,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MYC,ABCC1,MMP16,MMP9,MET,MDM4,MDM2,MCL1,MARCKS,RHOA,STMN1,KRAS,ITGB3,ITGA5,IKBKB,APC,HRAS,HNRNPK,GRB2,MTOR,ABL1,EZH2,ERBB3,ERBB2,WNT3A,EGFR,EFNA1,E2F3,E2F2,E2F1,DNMT3B,DNMT3A,DNMT1,RPTOR,CRKL,PDCD4,FOXP1
Human papillomavirus infection                               |hsa05165     |84         |933       |200       |61686         |27.76861736334405  |3.981549999999999e-98  |3.8620999999999996e-96 |CHUK,CDKN1B,CDKN1A,CDK6,CDK2,CDC42,AKT3,IKBKE,CREB5,CCNE1,CCND2,CCNA2,CCNE2,CCNA1,CASP8,CASP3,FADD,PIK3R3,FZD6,FZD4,FZD1,WNT2,WNT1,VEGFA,TP53,TNF,TLR3,THBS1,TERT,STAT1,RPS6KB1,CCND1,RHEB,RB1,PTGS2,PTGER4,PTEN,MAP2K1,PRKCZ,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MX1,MDM2,KRAS,ITGB3,ITGB1,ITGAV,FASLG,ITGA9,ITGA5,ITGA3,IKBKB,IFNB1,APC,HRAS,HLA-G,GSK3B,GRB2,MTOR,FN1,FOXO1,AKT2,AKT1,WNT3A,EGFR,JAG1,TCF7L1,E2F1,DVL3,PALS1,CTNNB1,WNT4,CSNK1A1,CREB1,TBK1,COL4A1
PI3K-Akt signaling pathway                                   |hsa04151     |88         |933       |239       |61686         |24.34387654885711  |1.3434499999999998e-96 |9.773629999999998e-95  |CHUK,PHLPP1,CDKN1B,CDKN1A,CDK6,CDK2,BCL2L11,AKT3,CREB5,CCNE1,CCND2,CCNE2,PIK3R3,YWHAZ,VEGFC,VEGFA,TP53,TLR4,TLR2,THBS1,BRCA1,SYK,BDNF,RPS6KB1,BCL2,CCND1,RHEB,RAC1,PTEN,MAP2K1,PKN2,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CB,PIK3CA,PDGFRA,NTRK2,NTF3,NRAS,NOS3,NFKB1,MYC,MYB,MET,MDM2,MCL1,AREG,KRAS,KIT,KDR,JAK2,ITGB3,ITGB1,ITGAV,FASLG,ITGA9,ITGA5,ITGA3,IL2,IKBKB,IGF1R,IGF1,IFNB1,HSP90AA1,HRAS,HGF,GSK3B,GRB2,MTOR,FN1,FLT1,FOXO3,FGF7,AKT2,AKT1,ERBB4,ERBB3,ERBB2,EGFR,EFNA1,LPAR1,RPTOR,CSF1R,CSF1,CREB1,COL4A1
Proteoglycans in cancer                                      |hsa05205     |75         |933       |158       |61686         |31.38406121535268  |8.85654e-93            |5.15451e-91            |CDKN1A,CDC42,CD44,AKT3,ROCK2,CAV1,CASP3,PIK3R3,FZD6,FZD4,FZD1,WNT2,WNT1,EZR,VEGFA,ACTG1,TWIST1,TP53,TNF,TLR4,TLR2,TIMP3,TIAM1,THBS1,TGFB2,TGFB1,STAT3,RPS6KB1,CCND1,ROCK1,RAC1,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,MYC,MSN,MMP9,MET,MDM2,SMAD2,RHOA,KRAS,KDR,ITPR1,ITGB3,ITGB1,ITGAV,FASLG,ITGA5,IGF1R,IGF1,HRAS,HIF1A,HGF,GRB2,MTOR,FN1,AKT2,AKT1,ESR1,ERBB4,ERBB3,ERBB2,WNT3A,EGFR,HBEGF,CTNNB1,WNT4,MAPK14,PDCD4
MAPK signaling pathway                                       |hsa04010     |79         |933       |207       |61686         |25.232583065380496 |3.1689899999999995e-88 |1.5369599999999998e-86 |CHUK,TAB2,DUSP10,CDC42,RASGRP1,AKT3,RAPGEF2,MAPK8IP1,MAP3K14,CASP3,MAP4K3,MAP3K12,VEGFC,VEGFA,TP53,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,MAP3K7,SRF,BDNF,MAP2K4,RPS6KA3,RASA1,RAP1B,RAC1,MAP2K3,MAP2K1,MAPK13,MAPK7,PDGFRA,PAK2,NTRK2,NTF3,NRAS,NFKB1,NFATC3,MYD88,MYC,MAP3K11,MET,MAP3K5,MEF2C,STMN1,AREG,KRAS,KIT,KDR,JUN,FASLG,IRAK1,IL1B,IL1A,IKBKB,IGF1R,IGF1,HSPA1B,HRAS,HGF,GRB2,FOS,FLT1,FGF7,AKT2,AKT1,ERBB4,ERBB3,ERBB2,EGFR,EFNA1,DUSP1,DAXX,NLK,CSF1R,CSF1,MAPK14,CRKL
Hepatitis B                                                  |hsa05161     |69         |933       |139       |61686         |32.820051354414865 |3.4967399999999995e-87 |1.45365e-85            |CHUK,TAB2,CDKN1A,CDK2,AKT3,IKBKE,CREB5,CCNE1,CCNA2,CCNE2,CCNA1,CASP8,CASP3,FADD,PIK3R3,YWHAZ,TP53,TNF,TLR4,TLR3,TLR2,TGFBR2,TGFBR1,TGFB2,TGFB1,MAP3K7,STAT5B,STAT3,STAT1,MAP2K4,BCL2,RB1,MAP2K3,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKB1,NFATC3,MYD88,MYC,MMP9,SMAD4,SMAD3,KRAS,JUN,JAK2,FASLG,IRAK1,CXCL8,IKBKB,IFNB1,HRAS,APAF1,GRB2,TICAM2,FOS,AKT2,AKT1,E2F3,E2F2,E2F1,MAPK14,CREB1,TBK1
Hepatocellular carcinoma                                     |hsa05225     |64         |933       |116       |61686         |36.477658276970836 |5.739639999999999e-85  |2.0877899999999994e-83 |CDKN1A,CDK6,TXNRD2,AKT3,KEAP1,PIK3R3,FZD6,FZD4,FZD1,ARID1A,WNT2,WNT1,ACTG1,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TERT,SMARCB1,SMARCA4,SMARCA2,SHC1,RPS6KB1,CCND1,RB1,PTEN,MAP2K1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFE2L2,MYC,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,IGF1R,APC,HRAS,HGF,GSK3B,GRB2,MTOR,ARID2,AKT2,AKT1,WNT3A,EGFR,TCF7L1,E2F3,E2F2,E2F1,DVL3,PBRM1,CTNNB1,WNT4,CSNK1A1,BRD7
Gastric cancer                                               |hsa05226     |62         |933       |109       |61686         |37.6071270538954   |1.6486999999999997e-83 |5.330799999999999e-82  |CDX2,CDKN2B,CDKN1B,CDKN1A,CDK2,CDH1,AKT3,CCNE1,CCNE2,PIK3R3,FZD6,FZD4,FZD1,WNT2,WNT1,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TERT,SHC1,RPS6KB1,BCL2,CCND1,RB1,MAP2K1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ABCB1,NRAS,MYC,MLH1,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,APC,HRAS,HGF,GSK3B,GRB2,MTOR,FGF7,AKT2,AKT1,ERBB2,WNT3A,EGFR,TCF7L1,E2F3,E2F2,E2F1,DVL3,CTNNB1,WNT4,CSNK1A1
Epstein-Barr virus infection                                 |hsa05169     |66         |933       |146       |61686         |29.88794432453861  |7.02375e-80            |2.0439099999999997e-78 |CHUK,TAB2,CDKN1B,CDKN1A,CDK6,CDK2,CD44,BCL2L11,AKT3,IKBKE,NCOR2,CCNE1,CCND2,CCNA2,CCNE2,RUNX3,MAP3K14,CCNA1,CASP8,CASP3,FADD,PIK3R3,VIM,TP53,TNFAIP3,TNF,TLR2,TAP1,MAP3K7,SYK,STAT3,STAT1,SKP2,MAP2K4,BCL2,CCND1,RB1,RAC1,MAP2K3,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKB1,MYD88,MYC,MDM2,JUN,IRAK1,CXCL10,IKBKB,IFNB1,ICAM1,APAF1,HLA-G,PDIA3,AKT2,AKT1,E2F3,E2F2,E2F1,SAP30L,MAPK14,TBK1
