description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Pathways in cancer                                           |hsa05200     |202        |1203      |413       |61686         |25.07969784980648  |2.188979999999999e-232 |6.545059999999997e-230 |ADCY9,CHUK,FRAT2,ADCY6,RASSF1,CDKN2A,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CDH1,CDC42,RASGRP1,BCL2L11,AKT3,KEAP1,ROCK2,CCNE1,CCND3,CCND2,CCNA2,CBL,CCNE2,RUNX1,CASP8,CASP7,CASP3,FADD,CAMK2D,PIK3R3,FZD7,FZD6,FZD4,AXIN2,NCOA3,FZD5,CXCR4,WNT7A,WNT1,VHL,VEGFC,VEGFA,TRAF6,TRAF3,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TGFA,BRCA2,BRAF,STAT6,STAT5B,STAT5A,STAT4,STAT3,STAT1,SP1,BMP2,SOS1,SMO,SLC2A1,SKP2,CXCL12,RPS6KB1,BCL2L1,BCL2,CCND1,ROCK1,BAX,RET,RELA,BAK1,RB1,RARB,RALA,RAF1,RAD51,RAC1,PTGS2,PTGER4,PTGER2,PTEN,MAP2K1,MAPK9,MAPK8,MAPK1,PRKACB,PPARG,PMAIP1,PLD1,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,PDGFRB,PDGFRA,NRAS,NOTCH2,NOTCH1,NFKB2,NFKB1,MYC,MSH2,MMP9,MMP2,MLH1,MITF,MET,ARNT,MDM2,SMAD4,SMAD3,SMAD2,LRP5,LRP6,RHOA,LAMC2,LAMC1,KRAS,KIT,AR,JUN,JAK2,JAK1,ITGB1,FASLG,ITGA3,FAS,ITGA6,IL13RA1,IL13,IL12B,IL12A,CXCL8,IL6R,IL6,IL4,IKBKB,IGF2,IGF1R,IGF1,IFNG,BIRC5,XIAP,HSP90AA1,APC,HES1,HRAS,APAF1,HIF1A,HGF,HDAC2,MSH6,GSK3B,GRB2,GLI1,MTOR,ALK,ABL1,FOS,FN1,FOXO1,FGFR3,FGFR1,FGF9,FGF8,FGF2,AKT2,AKT1,EGLN3,ETS1,ESR2,ESR1,ERBB2,WNT3A,EPAS1,EGFR,JAG1,TCF7L1,EDNRA,EDN1,LPAR1,E2F3,E2F2,E2F1,DAPK3,DAPK1,EGLN1,DLL4,CTNNB1,CTBP2,WNT4,CRKL,COL4A2,COL4A1,BBC3,FGF21
MicroRNAs in cancer                                          |hsa05206     |116        |1203      |153       |61686         |38.87653415480905  |3.601379999999999e-166 |5.384069999999998e-164 |ZFPM2,SIRT1,DICER1,RASSF1,CDKN2A,CDKN1B,CDKN1A,CDK6,IGF2BP1,CDC25C,CDC25A,SPRY2,CD44,BCL2L11,HDAC5,ZEB2,HDAC4,CCNG1,CCNE1,CCND2,CCNE2,CASP3,SOCS1,TP63,PIK3R3,RECK,HMGA2,VIM,EZR,VEGFA,UBE2I,TPM1,TP53,TIMP3,THBS1,TGFB2,ZEB1,BRCA1,STAT3,ST14,BMPR2,SOX4,SOS1,BMI1,FSCN1,SHC1,BCL2L2,BCL2,CCND1,ROCK1,BAK1,RAF1,PTGS2,PTEN,MAP2K1,MAPK7,MAPK1,PRKCE,PLAU,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,SERPINB5,ABCB1,PDGFRB,PDGFRA,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MYC,MMP9,MET,MDM4,MDM2,MCL1,MARCKS,RHOA,STMN1,KRAS,ITGB3,ITGA5,IKBKB,APC,HRAS,HOXD10,HNRNPK,HDAC2,hsa-let-7c,GRB2,GLS,MTOR,ABL1,FGFR3,EZH2,ERBB3,ERBB2,BMF,WNT3A,SLC45A3,EGFR,EFNA1,E2F3,E2F2,E2F1,DNMT3B,DNMT3A,DNMT1,CYP1B1,CRKL,PDCD4,GLS2
PI3K-Akt signaling pathway                                   |hsa04151     |123        |1203      |256       |61686         |24.636903834164592 |3.877629999999999e-139 |3.864699999999999e-137 |CHUK,CHRM1,PHLPP1,PHLPP2,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,BCL2L11,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNE2,PIK3R3,TCL1A,YWHAZ,YWHAG,VEGFC,VEGFA,TSC1,TP53,TLR4,TLR2,THBS2,THBS1,TGFA,BRCA1,STK11,SPP1,SOS1,BDNF,RPS6KB1,BCL2L1,BCL2,CCND1,RELA,RBL2,RAF1,RAC1,PTEN,MAP2K1,MAPK1,PRKAA1,PPP2R5E,PPP2R2A,PPP2CB,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CB,PIK3CA,PDGFRB,PDGFRA,NTRK2,NTF3,NRAS,NOS3,NFKB1,MYC,MYB,MET,MDM2,MCL1,LAMC2,LAMC1,AREG,KRAS,KIT,KDR,JAK2,JAK1,ITGB8,ITGB4,ITGB3,ITGB1,FASLG,ITGA5,ITGA3,ITGA6,INSR,IL6R,IL6,IL4,IKBKB,IGF2,IGF1R,IGF1,HSP90AA1,HRAS,HGF,GSK3B,GRB2,G6PC1,MTOR,FN1,FLT1,FOXO3,FGFR3,FGFR1,FGF9,FGF8,FGF2,AKT2,AKT1,ERBB4,ERBB3,ERBB2,EIF4EBP1,EIF4E,EGFR,EFNA1,LPAR1,CSF1,CREB1,COL4A2,COL4A1,COL1A2,COL1A1,FGF21
Human papillomavirus infection                               |hsa05165     |110        |1203      |211       |61686         |26.731985202869602 |1.2955099999999996e-129|9.683909999999998e-128 |CHUK,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CDC42,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNA2,CCNE2,CASP8,CASP3,FADD,PIK3R3,FZD7,FZD6,FZD4,AXIN2,FZD5,WNT7A,WNT1,VEGFA,TSC1,TRAF3,TP53,TNF,TLR3,THBS2,THBS1,STAT1,SPP1,SOS1,RPS6KB1,CCND1,BAX,RELA,BAK1,RBL2,RBL1,RB1,RAF1,PTGS2,PTGER4,PTEN,ATR,MAP2K1,MAPK1,PRKCZ,PRKACB,PPP2R5E,PPP2R2A,PPP2CB,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,ATM,NRAS,NOTCH2,NOTCH1,NFKB1,MDM2,LFNG,LAMC2,LAMC1,KRAS,JAK1,ITGB8,ITGB4,ITGB3,ITGB1,FASLG,ITGA5,ITGA3,FAS,IRF1,ITGA6,IKBKB,APC,HES1,HRAS,HLA-G,HDAC2,GSK3B,GRB2,MTOR,FN1,FOXO1,AKT2,AKT1,WNT3A,EIF4EBP1,EGFR,JAG1,TCF7L1,E2F1,CTNNB1,WNT4,CREB1,TBK1,COL4A2,COL4A1,COL1A2,COL1A1
Proteoglycans in cancer                                      |hsa05205     |98         |1203      |164       |61686         |30.64101940271273  |9.765789999999997e-124 |5.839939999999998e-122 |RRAS2,CDKN1A,CDC42,CD44,AKT3,ROCK2,CBL,CAV1,CASP3,CAMK2D,PIK3R3,FZD7,FZD6,FZD4,FZD5,WNT7A,WNT1,EZR,VEGFA,TWIST1,TP53,TNF,TLR4,TLR2,TIMP3,TIAM1,THBS1,TGFB2,TGFB1,BRAF,STAT3,SRC,SOS1,SMO,SLC9A1,SDC1,RPS6KB1,CCND1,ROCK1,RAF1,RAC1,PTPN11,MAP2K1,MAPK1,PRKACB,PLAUR,PLAU,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PAK1,NRAS,MYC,MSN,MMP9,MMP2,MET,MDM2,SMAD2,RHOA,KRAS,KDR,ITGB3,ITGB1,FASLG,ITGA5,FAS,IL12B,IGF2,IGF1R,IGF1,HSPB2,HRAS,HOXD10,HIF1A,HGF,GRB2,GPC1,MTOR,FN1,FGFR1,FGF2,AKT2,AKT1,ESR1,ERBB4,ERBB3,ERBB2,WNT3A,EGFR,CTNNB1,WNT4,MAPK14,PDCD4,COL1A2,COL1A1
MAPK signaling pathway                                       |hsa04010     |100        |1203      |213       |61686         |24.07361876997647  |1.02483e-111           |5.107069999999998e-110 |CHUK,TAB2,RRAS2,DUSP10,MAP3K2,CDC42,RASGRP1,AKT3,MAP4K4,RPS6KA4,CASP3,MAP3K12,VEGFC,VEGFA,TRAF6,TP53,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,TGFA,BRAF,STK3,SRF,SOS1,BDNF,MAP2K4,RPS6KA3,RELA,RASA1,RAP1B,RAF1,RAC1,MAP2K3,MAP2K1,MAPK9,MAPK8,MAPK7,MAPK1,PRKACB,PPM1B,PDGFRB,PDGFRA,PAK1,NTRK2,NTF3,NRAS,NFKB2,NFKB1,NFATC3,NFATC1,NF1,MYD88,MYC,MET,MAP3K5,MEF2C,STMN1,AREG,KRAS,KIT,KDR,JUN,FASLG,FAS,IRAK1,INSR,IL1B,IL1A,IKBKB,IGF2,IGF1R,IGF1,HRAS,HGF,GRB2,FOS,FLT1,FGFR3,FGFR1,FGF9,FGF8,FGF2,AKT2,AKT1,ERBB4,ERBB3,ERBB2,EGFR,EFNA1,DUSP4,DUSP2,DUSP1,DAXX,NLK,CSF1,MAPK14,CRKL,FGF21
Hepatitis B                                                  |hsa05161     |86         |1203      |142       |61686         |31.05496821326964  |2.3714799999999995e-109|1.0129599999999997e-107|DDX58,CHUK,TAB2,CDKN1A,CDK2,AKT3,CREB5,CCNE1,CCNA2,CCNE2,CASP8,CASP3,FADD,PIK3R3,YWHAZ,TRAF6,TRAF3,TP53,TNF,TLR4,TLR3,TLR2,TGFBR2,TGFBR1,TGFB2,TGFB1,BRAF,STAT6,STAT5B,STAT5A,STAT4,STAT3,STAT1,SRC,SOS1,MAP2K4,BCL2,BAX,RELA,RB1,RAF1,MAP2K3,MAP2K1,MAPK9,MAPK8,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKB1,NFATC3,NFATC1,MYD88,MYC,MMP9,SMAD4,SMAD3,KRAS,JUN,JAK2,JAK1,FASLG,FAS,IRAK1,CXCL8,IL6,IKBKB,BIRC5,HRAS,APAF1,GRB2,TICAM2,FOS,AKT2,PTK2B,AKT1,EGR2,E2F3,E2F2,E2F1,MAPK14,CREB1,TBK1
Breast cancer                                                |hsa05224     |75         |1203      |110       |61686         |34.96145998639764  |1.8500899999999994e-101|6.914729999999999e-100 |FRAT2,CDKN1A,CDK6,CDK4,AKT3,TNFSF11,PIK3R3,FZD7,FZD6,FZD4,AXIN2,NCOA3,FZD5,WNT7A,WNT1,TP53,BRCA2,BRAF,BRCA1,SP1,SOS1,SHC1,RPS6KB1,CCND1,BAX,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NOTCH2,NOTCH1,NFKB2,MYC,LRP5,LRP6,KRAS,KIT,JUN,IGF1R,IGF1,APC,HES1,HRAS,GSK3B,GRB2,MTOR,FOS,FGFR1,FGF9,FGF8,FGF2,AKT2,AKT1,ESR2,ESR1,ERBB2,WNT3A,EGFR,JAG1,TCF7L1,E2F3,E2F2,E2F1,DLL4,CTNNB1,WNT4,FGF21
Human cytomegalovirus infection                              |hsa05163     |87         |1203      |176       |61686         |25.347058490138295 |8.610539999999998e-100 |2.8606099999999992e-98 |ADCY9,CHUK,ADCY6,CDKN2A,CDKN1A,CDK6,CDK4,AKT3,CREB5,ROCK2,CASP8,CASP3,FADD,PIK3R3,CXCR4,VEGFA,TSC1,TP53,TNF,TAP1,STAT3,SRC,SP1,SOS1,CXCL12,CX3CL1,CCL5,CCL4,CCL2,RPS6KB1,CCND1,ROCK1,BAX,RELA,BAK1,RB1,RAF1,RAC1,PTGS2,PTGER4,PTGER2,MAP2K1,MAPK1,PRKACB,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRA,NRAS,NFKB1,NFATC3,NFATC1,MYC,MDM2,RHOA,KRAS,JAK1,ITGB3,FASLG,FAS,IL10RA,CXCL8,IL6R,IL6,IL1B,IKBKB,HRAS,HLA-G,GSK3B,GRB2,MTOR,AKT2,PTK2B,AKT1,EIF4EBP1,EGFR,E2F3,E2F2,E2F1,CTNNB1,MAPK14,CRKL,CREB1,TBK1,CCR1
Cellular senescence                                          |hsa04218     |76         |1203      |123       |61686         |31.68323094702269  |1.0947499999999998e-97 |3.2732899999999992e-96 |SIRT1,CHEK1,RRAS2,CHEK2,CDKN2A,CDKN1A,CDK6,TRAF3IP2,CDK4,CDK2,CDC25A,HIPK3,AKT3,CCNE1,CCND3,CCND2,CCNA2,CCNE2,BTRC,PIK3R3,TSC1,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,CCND1,RELA,RBL2,RBL1,RBBP4,RB1,RAF1,PTEN,ATR,MAP2K3,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,SERPINE1,ATM,NRAS,NFKB1,NFATC3,NFATC1,MYC,MDM2,SMAD3,SMAD2,KRAS,CXCL8,IL6,IL1A,IGFBP3,HRAS,HLA-G,GATA4,MTOR,HIPK1,FOXO3,FOXO1,FOXM1,AKT2,AKT1,ETS1,EIF4EBP1,E2F5,E2F3,E2F2,E2F1,MAPK14,HIPK2
AGE-RAGE signaling pathway in diabetic complications         |hsa04933     |67         |1203      |90        |61686         |38.172734829592684 |4.486439999999999e-95  |1.2194999999999997e-93 |CDKN1B,CDK4,CDC42,AKT3,CASP3,PIK3R3,VEGFC,VEGFA,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT5B,STAT5A,STAT3,STAT1,SELE,CCL2,BCL2,CCND1,BAX,RELA,RAC1,MAPK9,MAPK8,MAPK1,PRKCZ,PRKCE,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,SERPINE1,NRAS,NOS3,NFKB1,NFATC1,MMP2,SMAD4,SMAD3,SMAD2,KRAS,JUN,JAK2,CXCL8,IL6,IL1B,IL1A,ICAM1,HRAS,FN1,FOXO1,AKT2,AKT1,EGR1,EDN1,CYBB,MAPK14,NOX4,COL4A2,COL4A1,COL3A1,COL1A2,COL1A1
Gastric cancer                                               |hsa05226     |72         |1203      |113       |61686         |32.67194844746541  |4.718539999999999e-94  |1.1756999999999996e-92 |FRAT2,CDX2,CDKN1B,CDKN1A,CDK2,CDH1,AKT3,CCNE1,CCNE2,PIK3R3,FZD7,FZD6,FZD4,AXIN2,FZD5,WNT7A,WNT1,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,BRAF,SOS1,SHC1,RPS6KB1,BCL2,CCND1,BAX,BAK1,RB1,RARB,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ABCB1,NRAS,MYC,MLH1,MET,SMAD4,SMAD3,SMAD2,LRP5,LRP6,KRAS,APC,HRAS,HGF,GSK3B,GRB2,MTOR,FGF9,FGF8,FGF2,AKT2,AKT1,ERBB2,WNT3A,EGFR,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,WNT4,FGF21
Hepatocellular carcinoma                                     |hsa05225     |70         |1203      |114       |61686         |31.485759285995538 |9.686069999999998e-90  |2.2277999999999998e-88 |FRAT2,CDKN2A,CDKN1A,CDK6,CDK4,AKT3,KEAP1,PIK3R3,FZD7,FZD6,FZD4,AXIN2,ARID1A,FZD5,WNT7A,WNT1,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TGFA,BRAF,SOS1,SMARCD3,SMARCA4,SHC1,RPS6KB1,BCL2L1,CCND1,BAX,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,MYC,MET,SMAD4,SMAD3,SMAD2,LRP5,LRP6,KRAS,IGF2,IGF1R,APC,HRAS,HGF,GSK3B,GRB2,MTOR,AKT2,AKT1,WNT3A,EGFR,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,WNT4,BRD7
