"ID","Up_regulated"
"hsa-miR-338-3p","MAPK8IP2"
"hsa-miR-425-3p","AURKA"
"hsa-miR-486-5p","CLEC3B"
"hsa-miR-335-3p","STON1-GTF2A1L"
"hsa-miR-92a-3p","CEP55"
"hsa-miR-766-3p","C1orf135"
"hsa-miR-15b-3p","HMMR"
"hsa-miR-183-5p","PM20D1"
"hsa-miR-19a-3p","CKAP2"
"hsa-miR-365a-3p","WASF3"
"hsa-miR-125b-5p","CLDN11"
"hsa-miR-20a-5p","H2AFZ"
"hsa-miR-378a-5p","ELMOD3"
"hsa-miR-141-5p","LGI4"
"hsa-miR-106b-3p","BUB1B"
"hsa-miR-200b-3p","EPAS1"
"hsa-miR-23b-3p","NEIL3"
"hsa-miR-144-5p","HBA2"
"hsa-miR-155-5p","CXCL11"
"hsa-miR-99a-5p","PDE1C"
"hsa-miR-451a","AADACL2"
"hsa-miR-130a-3p","OR5E1P"
"hsa-miR-361-3p","COL12A1"
"hsa-miR-193a-5p","GYS2"
"hsa-miR-452-5p","CA4"
"hsa-miR-152","NECAB3"
"hsa-miR-100-5p","DST"
"hsa-miR-10a-5p","HOXB2"
"hsa-miR-21-5p","H2AFY"
"hsa-let-7d-5p","CENPF"
"hsa-miR-142-3p","TNFRSF9"
"hsa-miR-22-3p","SLC1A3"
"hsa-miR-185-5p","PPBPL2"
"hsa-miR-139-5p","LHFP"
"hsa-let-7c","CAPN11"
"hsa-miR-103a-3p","C10orf82"
"hsa-miR-145-3p","ZBTB16"
"hsa-miR-98-5p","FAM189B"
"hsa-miR-375","KIAA1257"
"hsa-miR-28-3p","CCDC64"
"hsa-miR-182-5p","C4orf42"
"hsa-miR-195-5p","B3GALT1"
"hsa-miR-15a-5p","TMUB1"
"hsa-miR-17-5p","GART"
"hsa-miR-200a-5p","ERG"
"hsa-miR-10b-5p","GIPC2"
"hsa-miR-200c-3p","CDH5"
"hsa-miR-145-5p","PAMR1"
"hsa-miR-196a-5p","HOXC11"
"hsa-miR-17-3p","KIF18B"
"hsa-miR-30e-3p","TPRN"
"hsa-miR-27a-3p","OIP5"
"hsa-miR-28-5p","CXXC5"
"hsa-miR-151a-3p","NSMCE2"
"hsa-miR-141-3p","ADRB2"
"hsa-miR-106b-5p","SLC25A19"
"hsa-miR-19b-3p","SKA1"
"hsa-miR-151a-5p","C1orf59"
"hsa-miR-210","FAM83D"
"hsa-miR-93-3p","MELK"
