"ID","Up_regulated"
"hsa-let-7a-3p","SPACA3"
"hsa-miR-215","SLC6A18"
"hsa-miR-3127-5p","FBN3"
"hsa-miR-98-5p","USH1C"
"hsa-miR-425-5p","IFNA16"
"hsa-miR-10a-5p","DAB2"
"hsa-miR-29c-5p","CDA"
"hsa-miR-320a","C2orf88"
"hsa-miR-766-3p","RAB14"
"hsa-miR-30b-3p","LMBRD2"
"hsa-miR-338-3p","TMEM207"
"hsa-miR-455-3p","CIRH1A"
"hsa-miR-30a-5p","ASRGL1"
"hsa-miR-22-3p","GPM6A"
"hsa-miR-514a-3p","SPEF1"
"hsa-miR-30d-3p","SPARCL1"
"hsa-miR-199b-3p","SPON1"
"hsa-miR-424-5p","NUCB2"
"hsa-miR-143-5p","ATP10D"
"hsa-miR-1976","CPXM2"
"hsa-miR-10a-3p","TRIM7"
"hsa-miR-326","OR52N2"
"hsa-miR-145-5p","GATA5"
"hsa-miR-222-3p","WDR65"
"hsa-miR-185-3p","TMEM229A"
"hsa-miR-874","PROM1"
"hsa-miR-30e-5p","TMEM38A"
"hsa-miR-181a-5p","SSTR3"
"hsa-miR-125a-5p","C3P1"
"hsa-miR-26b-3p","PRELP"
"hsa-miR-30c-5p","DUXA"
"hsa-miR-181a-2-3p","KLK15"
"hsa-miR-221-5p","CKMT1B"
"hsa-miR-130a-3p","RIPPLY1"
"hsa-miR-542-5p","VSIG2"
"hsa-miR-1180","SETMAR"
"hsa-miR-629-3p","CSNK2A1P"
"hsa-miR-96-5p","GCM1"
"hsa-miR-222-5p","SCNN1G"
"hsa-miR-132-3p","CLCA3P"
"hsa-miR-125b-5p","NKX6-1"
"hsa-miR-182-5p","CABP1"
"hsa-miR-29b-2-5p","TTPA"
"hsa-miR-497-5p","MUC13"
"hsa-miR-183-5p","MYOZ1"
"hsa-miR-101-5p","ASB10"
"hsa-miR-181a-3p","CELF5"
"hsa-miR-145-3p","NLGN3"
"hsa-miR-99b-5p","C14orf72"
"hsa-miR-708-3p","BPI"
"hsa-miR-361-5p","DHCR7"
"hsa-miR-671-3p","KLHL1"
"hsa-miR-181c-3p","C1orf77"
"hsa-miR-221-3p","FAM174A"
"hsa-miR-675-3p","ELF5"
"hsa-miR-3065-3p","TSPAN2"
"hsa-miR-505-5p","ISM1"
"hsa-miR-217","LYG1"
"hsa-miR-204-5p","KL"
"hsa-miR-192-5p","PTGDS"
"hsa-miR-144-5p","CACNA1D"
"hsa-miR-378c","TMEM105"
"hsa-miR-28-5p","PLCL2"
"hsa-miR-3605-3p","DTNA"
"hsa-miR-30e-3p","OR2L2"
"hsa-miR-146b-5p","CFHR4"
"hsa-miR-100-5p","SERPINI1"
"hsa-miR-141-5p","HCN2"
"hsa-miR-508-3p","GPR44"
"hsa-miR-24-1-5p","GPHA2"
"hsa-miR-30b-5p","NTS"
"hsa-miR-185-5p","TYRP1"
"hsa-miR-1287","NPY1R"
"hsa-miR-339-3p","TNS4"
"hsa-miR-203a","LOC158376"
"hsa-miR-181d","RAG2"
"hsa-miR-24-3p","FBXL17"
"hsa-miR-532-3p","HELT"
"hsa-miR-27b-5p","C1orf65"
"hsa-miR-335-3p","SNTN"
"hsa-miR-195-5p","FOXE3"
"hsa-miR-30c-2-3p","CHDH"
"hsa-miR-30c-1-3p","C9orf140"
"hsa-miR-1271-5p","C7orf51"
"hsa-miR-23b-3p","ADH1B"
"hsa-miR-505-3p","GPRIN3"
"hsa-miR-423-3p","LHX9"
